Transcript,Exon,Beg,End,Outlier,Mean_GC
GA21235-RC ,         6,    386318,    386507,1,     7.000
GA30787-RA ,         1,    388945,    389142,1,     7.000
GA24602-RA ,         1,    389126,    389524,1,     7.000
GA24581-RA ,         1,    389596,    389771,1,     7.000
GA24581-RA ,         2,    389824,    390793,1,     7.000
GA11585-RA ,         1,    391395,    391619,1,     7.000
GA21385-RB ,         1,    392314,    392832,1,     7.000
GA21385-RB ,         2,    392894,    394932,1,     7.000
GA21385-RB ,         3,    394991,    395146,1,     7.000
GA21385-RB ,         4,    395220,    395616,1,     7.000
GA11585-RA ,         2,    397467,    397636,1,     7.000
GA11585-RA ,         3,    399265,    400021,1,     7.000
GA21054-RA ,         1,    400895,    400963,1,     7.000
GA21054-RA ,         2,    401036,    401119,1,     7.000
GA21054-RA ,         3,    401179,    401343,1,     7.000
GA21384-RA ,         1,    401714,    403042,1,     6.000
GA21384-RA ,         2,    403116,    404731,1,     6.000
GA21384-RA ,         3,    404798,    405089,1,     6.000
GA21384-RA ,         4,    405161,    405337,1,     6.000
GA21384-RA ,         5,    405398,    405548,1,     6.000
GA21384-RA ,         6,    405615,    406188,1,     6.000
GA21384-RA ,         7,    406440,    406632,1,     6.000
GA21384-RA ,         8,    406696,    407747,1,     6.000
GA21384-RA ,         9,    407831,    408048,1,     6.000
GA21384-RA ,        10,    408228,    408647,1,     5.931
GA21384-RA ,        11,    408960,    409085,1,     6.000
GA21384-RA ,        12,    409147,    409359,1,     6.000
GA21384-RA ,        13,    409431,    409646,1,     6.000
GA21384-RA ,        14,    409710,    410326,1,     5.041
GA24603-RA ,         1,    413338,    413346,1,     3.000
GA24603-RA ,         2,    413419,    413481,1,     3.000
GA24603-RA ,         3,    413553,    413738,1,     3.000
GA24580-RA ,         1,    414228,    414611,1,     4.000
GA24580-RA ,         2,    414759,    414770,1,     4.000
GA24579-RB ,         1,    416682,    417208,1,     3.000
GA24579-RB ,         2,    417274,    417480,1,     3.000
GA24604-RA ,         1,    418051,    418369,1,     3.000
GA24604-RA ,         2,    418444,    418577,1,     3.000
GA24579-RB ,         3,    419559,    419599,1,     3.000
GA24605-RA ,         1,    426449,    427363,1,     3.000
GA21078-RA ,         1,    427599,    428137,1,     3.000
GA21078-RA ,         2,    428199,    429180,1,     3.000
GA21078-RA ,         3,    429636,    429743,1,     3.000
GA13220-RB ,         1,    439877,    440219,1,     3.000
GA13220-RB ,         2,    440293,    440476,1,     3.000
GA13220-RB ,         3,    440865,    441070,1,     3.000
GA13220-RB ,         4,    441133,    441280,1,     3.000
GA13220-RB ,         5,    441343,    441660,1,     2.000
GA13220-RB ,         6,    441723,    442061,1,     2.000
GA13220-RB ,         7,    442139,    443383,1,     2.000
GA13220-RB ,         8,    446471,    446554,1,     6.000
GA13220-RB ,         9,    446621,    447633,1,     5.368
GA13220-RB ,        10,    447731,    447866,1,     5.000
GA13220-RB ,        11,    448991,    449123,1,     5.000
GA13224-RA ,         1,    454786,    454806,1,     4.000
GA13224-RA ,         2,    455054,    455115,1,     4.000
GA13224-RA ,         3,    455580,    455835,1,     4.000
GA24576-RA ,         1,    456556,    457047,1,     2.000
GA24576-RA ,         2,    457115,    457129,1,     2.000
GA21290-RA ,         1,    459479,    459729,1,     2.000
GA21290-RA ,         2,    459787,    459966,1,     2.000
GA21290-RA ,         3,    460032,    460407,1,     2.000
GA21290-RA ,         4,    460473,    460605,1,     2.000
GA21290-RA ,         5,    460680,    460909,1,     2.000
GA21290-RA ,         6,    460981,    461007,1,     2.000
GA20808-RC ,         1,    462892,    463089,1,     2.000
GA20808-RC ,         2,    463145,    463256,1,     2.000
GA20820-RA ,         1,    463291,    464655,1,     2.000
GA20808-RC ,         3,    465500,    465636,1,     2.000
GA20808-RC ,         4,    465807,    465902,1,     2.000
GA20808-RC ,         5,    466117,    466525,1,     2.000
GA20808-RC ,         6,    466631,    467116,1,     2.000
GA20808-RC ,         7,    467205,    467328,1,     2.000
GA20808-RC ,         8,    467402,    467507,1,     2.000
GA20808-RC ,         9,    467582,    467743,1,     2.000
GA24574-RC ,         1,    468405,    468518,1,     2.000
GA24574-RC ,         2,    468582,    468700,1,     2.000
GA24574-RC ,         3,    472986,    473216,1,     2.000
GA24574-RC ,         4,    474447,    474585,1,     1.576
GA24574-RC ,         5,    474716,    475836,1,     0.665
GA24574-RC ,         6,    500686,    500871,1,     0.000
GA24574-RC ,         7,    501475,    502039,1,     0.000
GA24606-RA ,         1,    523965,    524121,1,     0.000
GA24606-RA ,         2,    524725,    524910,1,     0.000
GA24606-RA ,         3,    527478,    527494,1,     2.000
GA20821-RC ,         1,    534180,    534403,1,     4.000
GA20821-RC ,         2,    538101,    539085,1,     2.000
GA20821-RC ,         3,    539190,    539292,1,     2.000
GA20821-RC ,         4,    539357,    539941,1,     3.000
GA20821-RC ,         5,    540006,    540135,1,     3.000
GA20821-RC ,         6,    540195,    540557,1,     3.000
GA20821-RC ,         7,    540620,    541508,1,     3.000
GA20821-RC ,         8,    541574,    541678,1,     3.000
GA15628-RO ,         1,    543585,    544667,1,     3.000
GA15628-RO ,         2,    544741,    544898,1,     3.000
GA15628-RO ,         3,    545156,    545293,1,     3.000
GA15628-RO ,         4,    545537,    545746,1,     3.000
GA15628-RO ,         5,    545931,    546315,1,     3.000
GA15628-RO ,         6,    546380,    546655,1,     3.000
GA15628-RO ,         7,    546919,    547151,1,     2.000
GA15628-RO ,         8,    547563,    547686,1,     2.000
GA15628-RO ,         9,    547768,    547889,1,     2.000
GA15628-RO ,        10,    547952,    548051,1,     2.000
GA15628-RO ,        11,    549476,    549802,1,     2.000
GA15628-RO ,        12,    550465,    550610,1,     2.000
GA15628-RO ,        13,    550674,    550864,1,     2.000
GA15628-RO ,        14,    551079,    551236,1,     3.000
GA15628-RO ,        15,    551371,    551520,1,     3.000
GA15628-RO ,        16,    552101,    552139,1,     3.000
GA15628-RO ,        17,    552523,    552579,1,     3.000
GA15628-RO ,        18,    553375,    553437,1,     3.000
GA15628-RO ,        19,    554525,    554599,1,     3.000
GA15628-RO ,        20,    554881,    555033,1,     3.000
GA15628-RO ,        21,    555098,    555309,1,     3.000
GA15628-RO ,        22,    555373,    555562,1,     3.000
GA15628-RO ,        23,    555622,    555814,1,     1.000
GA15628-RO ,        24,    558039,    558140,1,     3.000
GA15628-RO ,        25,    558236,    558392,1,     3.000
GA15628-RO ,        26,    558476,    558662,1,     4.000
GA15628-RO ,        27,    559331,    559478,1,     4.000
GA15628-RO ,        28,    559922,    560078,1,     3.000
GA15628-RO ,        29,    560385,    560521,1,     3.000
GA15628-RO ,        30,    560631,    560790,1,     3.000
GA15628-RO ,        31,    561385,    561457,1,     2.000
GA15628-RO ,        32,    561607,    561747,1,     2.000
GA15628-RO ,        33,    561830,    561992,1,     2.000
GA15628-RO ,        34,    562658,    562740,1,     1.000
GA15628-RO ,        35,    563789,    564121,1,     1.000
GA20825-RB ,         1,    573088,    574584,1,     2.565
GA20853-RA ,         1,    583344,    584360,1,     4.000
GA20854-RA ,         1,    584990,    585183,1,     5.000
GA20854-RA ,         2,    585241,    586031,1,     5.000
GA20854-RA ,         3,    587521,    589364,1,     5.000
GA20854-RA ,         4,    589418,    589885,1,     5.000
GA20854-RA ,         5,    589952,    590120,1,     5.000
GA20854-RA ,         6,    590202,    590479,1,     5.000
GA20855-RA ,         1,    591049,    593100,1,     5.000
GA20855-RA ,         2,    593181,    594542,1,     5.000
GA20855-RA ,         3,    594616,    594660,1,     5.000
GA24607-RB ,         1,    596385,    596410,1,     4.000
GA24607-RB ,         2,    596471,    596657,1,     4.000
GA20911-RA ,         1,    596918,    596982,1,     4.000
GA20911-RA ,         2,    597076,    597175,1,     4.000
GA24609-RB ,         1,    597812,    597862,1,     5.000
GA24608-RA ,         1,    598020,    598910,1,     5.294
GA24609-RB ,         2,    599556,    599747,1,     6.000
GA24570-RA ,         1,    600935,    601364,1,     5.000
GA24570-RA ,         2,    601416,    601621,1,     5.000
GA20914-RA ,         1,    602209,    602351,1,     5.000
GA20914-RA ,         2,    602427,    603615,1,     5.000
GA20914-RA ,         3,    603687,    604184,1,     5.000
GA20914-RA ,         4,    604245,    604367,1,     5.000
GA20914-RA ,         5,    604435,    604584,1,     5.000
GA24610-RA ,         1,    611011,    611795,1,     4.000
GA24610-RA ,         2,    611848,    612049,1,     4.000
GA24610-RA ,         3,    612102,    612257,1,     5.000
GA24610-RA ,         4,    612620,    612676,1,     5.000
GA12505-RA ,         1,    613425,    613784,1,     6.000
GA25599-RA ,         1,    623087,    626466,1,     3.672
GA25599-RA ,         2,    626534,    627293,1,     4.000
GA24611-RB ,         1,    627652,    628723,1,     3.104
GA24611-RB ,         2,    628782,    631066,1,     3.175
GA24568-RB ,         1,    642287,    642393,1,     3.000
GA24568-RB ,         2,    642480,    642666,1,     3.000
GA10576-RA ,         1,    644919,    645841,1,     3.000
GA10576-RA ,         2,    645921,    646239,1,     3.000
GA32666-RA ,         1,    662469,    662506,1,     2.000
GA14295-RB ,         1,    670780,    671037,1,     2.000
GA14295-RB ,         2,    671146,    671238,1,     2.000
GA32666-RA ,         2,    674757,    675090,1,     3.000
GA31802-RA ,         1,    696348,    696719,1,     4.000
GA24612-RA ,         1,    708720,    709394,1,     5.000
GA14294-RA ,         1,    730173,    730279,1,     6.000
GA14294-RA ,         2,    730348,    730541,1,     6.000
GA14294-RA ,         3,    730611,    731229,1,     6.000
GA14294-RA ,         4,    731308,    731572,1,     6.000
GA18392-RA ,         1,    732924,    733594,1,     6.000
GA18392-RA ,         2,    733660,    733856,1,     6.000
GA18392-RA ,         3,    734006,    734100,1,     6.000
GA17177-RB ,         1,    757209,    757365,1,     2.000
GA17177-RB ,         2,    757452,    757598,1,     2.381
GA17177-RB ,         3,    759988,    760094,1,     4.000
GA17177-RB ,         4,    760183,    760274,1,     4.000
GA17177-RB ,         5,    761832,    761958,1,     4.000
GA17177-RB ,         6,    762016,    762242,1,     4.000
GA17177-RB ,         7,    762368,    762544,1,     5.000
GA17177-RB ,         8,    762897,    763020,1,     5.000
GA17177-RB ,         9,    768586,    768714,1,     4.000
GA17177-RB ,        10,    769042,    769518,1,     4.000
GA14289-RC ,         1,    772638,    772725,1,     5.000
GA14289-RC ,         2,    772800,    772867,1,     5.000
GA14289-RC ,         3,    772926,    773692,1,     5.000
GA14289-RC ,         4,    774446,    774537,1,     5.000
GA14289-RC ,         5,    774655,    774806,1,     5.000
GA14289-RC ,         6,    776783,    776989,1,     7.000
GA24565-RA ,         1,    779393,    780154,1,     4.000
GA18378-RC ,         1,    783288,    784922,1,     4.000
GA18378-RC ,         2,    784982,    785078,1,     4.000
GA18378-RC ,         3,    785141,    785514,1,     4.000
GA18362-RA ,         1,    790014,    790205,1,     5.000
GA18362-RA ,         2,    790289,    790621,1,     5.000
GA18362-RA ,         3,    790792,    790821,1,     5.000
GA18357-RA ,         1,    797821,    798039,1,     3.000
GA18357-RA ,         2,    798127,    798249,1,     3.000
GA18357-RA ,         3,    798308,    798508,1,     3.000
GA18357-RA ,         4,    798568,    798717,1,     3.000
GA18446-RA ,         1,    799579,    800708,1,     3.000
GA18446-RA ,         2,    800769,    801024,1,     3.000
GA18446-RA ,         3,    801085,    801690,1,     3.000
GA24613-RA ,         1,    801860,    801996,1,     3.000
GA24613-RA ,         2,    802056,    802443,1,     3.000
GA17610-RA ,         1,    802531,    802662,1,     4.000
GA17610-RA ,         2,    802722,    802812,1,     4.000
GA17610-RA ,         3,    802866,    803041,1,     4.409
GA17610-RA ,         4,    803220,    803348,1,     4.000
GA17597-RA ,         1,    805032,    805154,1,     2.000
GA17597-RA ,         2,    805225,    805434,1,     2.000
GA17597-RA ,         3,    805496,    805789,1,     2.000
GA24564-RA ,         1,    806024,    806455,1,     2.000
GA24564-RA ,         2,    806514,    806525,1,     2.000
GA15689-RA ,         1,    806770,    807051,1,     2.000
GA15689-RA ,         2,    807111,    807224,1,     2.000
GA24561-RA ,         1,    811605,    812386,1,     2.000
GA24561-RA ,         2,    812476,    813457,1,     2.000
GA13983-RA ,         1,    815199,    815199,1,     2.000
GA13983-RA ,         2,    815284,    815472,1,     2.000
GA13983-RA ,         3,    816652,    816936,1,     1.000
GA13983-RA ,         4,    816997,    817364,1,     1.000
GA14018-RA ,         1,    818115,    818186,1,     1.000
GA14018-RA ,         2,    818239,    818637,1,     1.000
GA21766-RA ,         1,    818893,    818957,1,     1.000
GA21766-RA ,         2,    819061,    819165,1,     1.000
GA21766-RA ,         3,    819233,    819686,1,     1.000
GA16581-RA ,         1,    821019,    821385,1,     4.000
GA16581-RA ,         2,    821444,    822831,1,     4.000
GA16581-RA ,         3,    822897,    823001,1,     4.000
GA17095-RA ,         1,    826126,    826261,1,     2.000
GA17095-RA ,         2,    826318,    826634,1,     2.000
GA17095-RA ,         3,    826692,    827158,1,     2.000
GA17095-RA ,         4,    827219,    827303,1,     2.000
GA14426-RA ,         1,    827399,    827866,1,     2.000
GA14426-RA ,         2,    827925,    828008,1,     2.000
GA15850-RA ,         1,    830548,    831094,1,     3.000
GA15850-RA ,         2,    831157,    832261,1,     3.000
GA15850-RA ,         3,    833171,    833300,1,     2.000
GA14019-RA ,         1,    836335,    836351,1,     2.000
GA14019-RA ,         2,    836414,    837338,1,     2.000
GA15851-RA ,         1,    838610,    838790,1,     2.000
GA15851-RA ,         2,    838856,    839367,1,     2.000
GA15851-RA ,         3,    841758,    841884,1,     2.000
GA15851-RA ,         4,    842342,    842556,1,     2.000
GA15851-RA ,         5,    842610,    843044,1,     2.000
GA15851-RA ,         6,    843118,    843425,1,     2.000
GA15851-RA ,         7,    843512,    843734,1,     2.000
GA21774-RA ,         1,    846390,    846497,1,     2.000
GA21774-RA ,         2,    846558,    846739,1,     2.000
GA21774-RA ,         3,    846807,    846923,1,     2.000
GA21774-RA ,         4,    846991,    847189,1,     2.000
GA17085-RA ,         1,    847606,    847821,1,     2.556
GA17085-RA ,         2,    847887,    848996,1,     1.746
GA17429-RA ,         1,    849563,    849800,1,     1.000
GA17429-RA ,         2,    849863,    850236,1,     1.000
GA17429-RA ,         3,    850298,    850357,1,     1.000
GA17076-RA ,         1,    851054,    851099,1,     1.000
GA17076-RA ,         2,    851760,    851919,1,     1.000
GA17076-RA ,         3,    851992,    852328,1,     1.000
GA17076-RA ,         4,    852396,    852494,1,     1.000
GA17432-RA ,         1,    854919,    855063,1,     1.000
GA17432-RA ,         2,    855151,    855391,1,     1.000
GA17432-RA ,         3,    855469,    855650,1,     1.000
GA17432-RA ,         4,    856208,    856317,1,     2.000
GA17432-RA ,         5,    856606,    858597,1,     3.735
GA21780-RA ,         1,    876237,    876277,1,     3.000
GA21780-RA ,         2,    876459,    877515,1,     3.175
GA21782-RA ,         1,    877962,    878002,1,     5.415
GA21782-RA ,         2,    878061,    878964,1,     5.692
GA17066-RA ,         1,    903346,    903351,1,     6.000
GA17066-RA ,         2,    903470,    903531,1,     6.000
GA17066-RA ,         3,    903613,    903752,1,     6.000
GA17066-RA ,         4,    903820,    904309,1,     6.000
GA17066-RA ,         5,    904362,    905308,1,     7.791
GA17066-RA ,         6,    905382,    905560,1,     8.000
GA17066-RA ,         7,    905618,    905974,1,     8.000
GA17066-RA ,         8,    906039,    906524,1,     8.000
GA17055-RA ,         1,    907191,    907322,1,     7.000
GA17055-RA ,         2,    907378,    907631,1,     7.000
GA17055-RA ,         3,    907689,    908575,1,     7.000
GA17055-RA ,         4,    908642,    909117,1,     6.702
GA17043-RE ,         1,    912764,    912884,1,     6.000
GA17043-RE ,         2,    912955,    913100,1,     6.000
GA17043-RE ,         3,    913459,    913747,1,     5.000
GA17043-RE ,         4,    914922,    915064,1,     5.000
GA17043-RE ,         5,    915126,    915208,1,     5.000
GA17043-RE ,         6,    915269,    915369,1,     6.000
GA17043-RE ,         7,    915434,    915465,1,     6.000
GA17439-RB ,         1,    916613,    916736,1,     5.000
GA17439-RB ,         2,    916789,    916882,1,     5.000
GA17439-RB ,         3,    916977,    917127,1,     4.000
GA17439-RB ,         4,    917190,    917237,1,     4.000
GA21786-RA ,         1,    917709,    918644,1,     3.000
GA24555-RB ,         1,    923223,    923350,1,     4.000
GA24555-RB ,         2,    923419,    923768,1,     4.000
GA24555-RB ,         3,    923835,    923968,1,     4.000
GA24555-RB ,         4,    924284,    924454,1,     5.000
GA24555-RB ,         5,    924526,    924779,1,     4.000
GA24555-RB ,         6,    924852,    925213,1,     4.000
GA24555-RB ,         7,    926081,    926242,1,     4.000
GA24555-RB ,         8,    926352,    926528,1,     4.000
GA24555-RB ,         9,    927495,    927639,1,     4.000
GA24555-RB ,        10,    927903,    928048,1,     4.000
GA24555-RB ,        11,    928110,    928302,1,     4.000
GA24555-RB ,        12,    928381,    928522,1,     4.000
GA24555-RB ,        13,    928598,    928684,1,     4.000
GA24555-RB ,        14,    929229,    929326,1,     4.000
GA24555-RB ,        15,    929543,    929594,1,     4.000
GA24555-RB ,        16,    933436,    933582,1,     2.741
GA21788-RA ,         1,    939324,    939742,1,     0.000
GA21788-RA ,         2,    939811,    940912,1,     0.267
GA24555-RB ,        17,    951446,    951540,1,     2.000
GA24555-RB ,        18,    951632,    951774,1,     2.000
GA24555-RB ,        19,    955235,    955269,1,     2.000
GA24552-RA ,         1,    966912,    968486,1,     2.023
GA17170-RA ,         1,    970084,    970146,1,     3.000
GA17170-RA ,         2,    970456,    970892,1,     3.000
GA17170-RA ,         3,    970965,    971358,1,     3.000
GA13591-RA ,         1,    971629,    971741,1,     3.000
GA13591-RA ,         2,    971798,    971885,1,     3.000
GA13591-RA ,         3,    971950,    972078,1,     3.000
GA17459-RA ,         1,    972314,    972357,1,     4.000
GA17459-RA ,         2,    972427,    972565,1,     4.000
GA17459-RA ,         3,    972622,    972660,1,     4.000
GA17191-RB ,         1,    977235,    977392,1,     2.000
GA17191-RB ,         2,    978109,    978447,1,     3.000
GA17191-RB ,         3,    978518,    979104,1,     3.000
GA17191-RB ,         4,    980441,    981970,1,     2.054
GA17191-RB ,         5,    982029,    982141,1,     3.000
GA17191-RB ,         6,    982204,    982416,1,     3.000
GA13590-RB ,         1,    994262,    994469,1,     1.000
GA13590-RB ,         2,    995099,    995385,1,     1.000
GA13590-RB ,         3,    995814,    995886,1,     1.000
GA13590-RB ,         4,    996008,    997158,1,     0.749
GA13590-RB ,         5,    997446,    998121,1,     0.000
GA13590-RB ,         6,    998276,    998442,1,     0.000
GA21791-RB ,         1,   1022960,   1023223,1,     2.000
GA21791-RB ,         2,   1023284,   1023490,1,     2.913
GA21791-RB ,         3,   1024079,   1024372,1,     3.000
GA21791-RB ,         4,   1024445,   1024858,1,     3.616
GA21791-RB ,         5,   1024918,   1025184,1,     3.000
GA21791-RB ,         6,   1026826,   1027023,1,     2.000
GA24550-RC ,         1,   1043716,   1043786,1,     5.000
GA24550-RC ,         2,   1043843,   1043957,1,     5.000
GA24550-RC ,         3,   1044012,   1044154,1,     5.000
GA24550-RC ,         4,   1044214,   1044554,1,     5.000
GA24550-RC ,         5,   1044612,   1044725,1,     5.000
GA24550-RC ,         6,   1044776,   1044855,1,     5.000
GA24550-RC ,         7,   1044916,   1045457,1,     4.932
GA24550-RC ,         8,   1045516,   1045656,1,     4.000
GA24550-RC ,         9,   1045720,   1046145,1,     4.000
GA24550-RC ,        10,   1046203,   1046290,1,     4.000
