SubRegion	GC_Beg	GC_End	PP_Beg	PP_End	PP_Ori	ABeg	AEnd
01c	177773	183456	500001	750000	1	677773	683456
01c	177773	184824	500001	750000	1	677773	684824
01c	177780	177785	500001	750000	1	677780	677785
01c	184600	184824	500001	750000	1	684600	684824
01c	184600	185083	500001	750000	1	684600	685083
01c	190755	195135	500001	750000	1	690755	695135
01c	192202	209407	500001	750000	1	692202	709407
01c	198775	206305	500001	750000	1	698775	706305
01c	203941	228254	500001	750000	1	703941	728254
01c	210968	211507	500001	750000	1	710968	711507
01c	211876	231908	500001	750000	1	711876	731908
01c	214325	214346	500001	750000	1	714325	714346
01c	216853	231908	500001	750000	1	716853	731908
01c	218564	218684	500001	750000	1	718564	718684
01c	221371	221576	500001	750000	1	721371	721576
01c	221371	221485	500001	750000	1	721371	721485
01c	221586	231908	500001	750000	1	721586	731908
01c	221586	228254	500001	750000	1	721586	728254
01c	233217	246888	500001	750000	1	733217	746888
01c	233217	242955	500001	750000	1	733217	742955
01c	233602	246888	500001	750000	1	733602	746888
01c	237281	246041	500001	750000	1	737281	746041
01c	237281	237394	500001	750000	1	737281	737394
01c	237941	246041	500001	750000	1	737941	746041
01c	237997	249550	500001	750000	1	737997	749550
01c	241970	247052	500001	750000	1	741970	747052
01c	244509	246888	500001	750000	1	744509	746888
01d	857	18552	750001	1000000	1	750857	768552
01d	857	4328	750001	1000000	1	750857	754328
01d	1029	18552	750001	1000000	1	751029	768552
01d	4914	5238	750001	1000000	1	754914	755238
01d	10895	18552	750001	1000000	1	760895	768552
01d	27466	27977	750001	1000000	1	777466	777977
01d	38715	58989	750001	1000000	1	788715	808989
01d	45778	52380	750001	1000000	1	795778	802380
01d	45778	68193	750001	1000000	1	795778	818193
01d	52380	68193	750001	1000000	1	802380	818193
01d	54778	54811	750001	1000000	1	804778	804811
01d	55021	55620	750001	1000000	1	805021	805620
01d	63872	68193	750001	1000000	1	813872	818193
01d	68193	68195	750001	1000000	1	818193	818195
01d	68193	70150	750001	1000000	1	818193	820150
01d	70752	71121	750001	1000000	1	820752	821121
01d	75124	75151	750001	1000000	1	825124	825151
01d	75736	75771	750001	1000000	1	825736	825771
01d	75736	75763	750001	1000000	1	825736	825763
01d	77193	83926	750001	1000000	1	827193	833926
01d	79367	91917	750001	1000000	1	829367	841917
01d	79367	79443	750001	1000000	1	829367	829443
01d	79367	80959	750001	1000000	1	829367	830959
01d	80079	93645	750001	1000000	1	830079	843645
01d	80079	95784	750001	1000000	1	830079	845784
01d	80920	80959	750001	1000000	1	830920	830959
01d	83621	84819	750001	1000000	1	833621	834819
01d	89836	91917	750001	1000000	1	839836	841917
01d	89836	89872	750001	1000000	1	839836	839872
01d	90570	91917	750001	1000000	1	840570	841917
01d	90956	91132	750001	1000000	1	840956	841132
01d	93495	95784	750001	1000000	1	843495	845784
01d	93817	97580	750001	1000000	1	843817	847580
01d	95756	95784	750001	1000000	1	845756	845784
01d	97580	103641	750001	1000000	1	847580	853641
01d	111531	114331	750001	1000000	1	861531	864331
01d	113247	114331	750001	1000000	1	863247	864331
01d	113550	125893	750001	1000000	1	863550	875893
01d	116586	125893	750001	1000000	1	866586	875893
01d	116586	116800	750001	1000000	1	866586	866800
01d	116586	118394	750001	1000000	1	866586	868394
01d	116586	120199	750001	1000000	1	866586	870199
01d	119625	120851	750001	1000000	1	869625	870851
01d	123295	125696	750001	1000000	1	873295	875696
01d	123295	136905	750001	1000000	1	873295	886905
01d	123295	123613	750001	1000000	1	873295	873613
01d	124718	125696	750001	1000000	1	874718	875696
01d	125208	125893	750001	1000000	1	875208	875893
01d	125897	134370	750001	1000000	1	875897	884370
01d	125897	126601	750001	1000000	1	875897	876601
01d	127713	127733	750001	1000000	1	877713	877733
01d	127713	144780	750001	1000000	1	877713	894780
01d	134050	135833	750001	1000000	1	884050	885833
01d	134357	135658	750001	1000000	1	884357	885658
01d	134357	134370	750001	1000000	1	884357	884370
01d	136905	137663	750001	1000000	1	886905	887663
01d	140839	144780	750001	1000000	1	890839	894780
01d	144500	146054	750001	1000000	1	894500	896054
01d	148682	174265	750001	1000000	1	898682	924265
01d	149608	165080	750001	1000000	1	899608	915080
01d	149608	156007	750001	1000000	1	899608	906007
01d	151859	168850	750001	1000000	1	901859	918850
01d	159543	159567	750001	1000000	1	909543	909567
01d	160930	199185	750001	1000000	1	910930	949185
01d	160930	165080	750001	1000000	1	910930	915080
01d	168849	169372	750001	1000000	1	918849	919372
01d	168850	169295	750001	1000000	1	918850	919295
01d	174270	174519	750001	1000000	1	924270	924519
01d	175437	176586	750001	1000000	1	925437	926586
01d	177253	192953	750001	1000000	1	927253	942953
01d	183214	203914	750001	1000000	1	933214	953914
01d	183214	199185	750001	1000000	1	933214	949185
01d	186832	199185	750001	1000000	1	936832	949185
01d	194532	204079	750001	1000000	1	944532	954079
01d	205059	215421	750001	1000000	1	955059	965421
01d	205920	207470	750001	1000000	1	955920	957470
01d	207391	215421	750001	1000000	1	957391	965421
01d	214994	218997	750001	1000000	1	964994	968997
01d	215270	215781	750001	1000000	1	965270	965781
01d	223075	233706	750001	1000000	1	973075	983706
01d	224103	224596	750001	1000000	1	974103	974596
01d	224291	224311	750001	1000000	1	974291	974311
01d	225757	225932	750001	1000000	1	975757	975932
01d	225757	233159	750001	1000000	1	975757	983159
01d	225932	233247	750001	1000000	1	975932	983247
01d	229974	235397	750001	1000000	1	979974	985397
01d	229974	236122	750001	1000000	1	979974	986122
01d	233159	233247	750001	1000000	1	983159	983247
01d	233706	234680	750001	1000000	1	983706	984680
01d	243659	243965	750001	1000000	1	993659	993965
01d	243690	243779	750001	1000000	1	993690	993779
01e	1407	1563	1000001	1250000	1	1001407	1001563
01e	1563	3591	1000001	1250000	1	1001563	1003591
01e	1563	2504	1000001	1250000	1	1001563	1002504
01e	2504	3591	1000001	1250000	1	1002504	1003591
01e	3026	5210	1000001	1250000	1	1003026	1005210
01e	3555	6019	1000001	1250000	1	1003555	1006019
01e	3555	3591	1000001	1250000	1	1003555	1003591
01e	9011	12684	1000001	1250000	1	1009011	1012684
01e	10863	27903	1000001	1250000	1	1010863	1027903
01e	12684	25888	1000001	1250000	1	1012684	1025888
01e	12684	12922	1000001	1250000	1	1012684	1012922
01e	15364	25888	1000001	1250000	1	1015364	1025888
01e	15364	18001	1000001	1250000	1	1015364	1018001
01e	15364	25655	1000001	1250000	1	1015364	1025655
01e	15364	26467	1000001	1250000	1	1015364	1026467
01e	24577	25655	1000001	1250000	1	1024577	1025655
01e	26598	27903	1000001	1250000	1	1026598	1027903
01e	31538	31594	1000001	1250000	1	1031538	1031594
01e	31552	31594	1000001	1250000	1	1031552	1031594
01e	32408	47867	1000001	1250000	1	1032408	1047867
01e	46544	47867	1000001	1250000	1	1046544	1047867
01e	46544	49733	1000001	1250000	1	1046544	1049733
01e	46746	47867	1000001	1250000	1	1046746	1047867
01e	46757	47867	1000001	1250000	1	1046757	1047867
01e	46889	47411	1000001	1250000	1	1046889	1047411
01e	47293	47411	1000001	1250000	1	1047293	1047411
01e	52177	52348	1000001	1250000	1	1052177	1052348
01e	65556	72842	1000001	1250000	1	1065556	1072842
01e	72842	76358	1000001	1250000	1	1072842	1076358
01e	72842	75799	1000001	1250000	1	1072842	1075799
01e	75787	76411	1000001	1250000	1	1075787	1076411
01e	78089	78332	1000001	1250000	1	1078089	1078332
01e	78438	78484	1000001	1250000	1	1078438	1078484
01e	82274	85978	1000001	1250000	1	1082274	1085978
01e	82274	82360	1000001	1250000	1	1082274	1082360
01e	82927	88021	1000001	1250000	1	1082927	1088021
01e	82927	93265	1000001	1250000	1	1082927	1093265
01e	82927	84713	1000001	1250000	1	1082927	1084713
01e	82927	83505	1000001	1250000	1	1082927	1083505
01e	85142	89102	1000001	1250000	1	1085142	1089102
01e	85142	85144	1000001	1250000	1	1085142	1085144
01e	87010	88021	1000001	1250000	1	1087010	1088021
01e	87941	95111	1000001	1250000	1	1087941	1095111
01e	92990	92991	1000001	1250000	1	1092990	1092991
01e	93018	93265	1000001	1250000	1	1093018	1093265
01e	93018	93395	1000001	1250000	1	1093018	1093395
01e	99299	101023	1000001	1250000	1	1099299	1101023
01e	101023	103141	1000001	1250000	1	1101023	1103141
01e	109529	109691	1000001	1250000	1	1109529	1109691
01e	110903	110904	1000001	1250000	1	1110903	1110904
01e	110904	122249	1000001	1250000	1	1110904	1122249
01e	122207	122249	1000001	1250000	1	1122207	1122249
01e	122525	123659	1000001	1250000	1	1122525	1123659
01e	123587	123588	1000001	1250000	1	1123587	1123588
01e	127481	127482	1000001	1250000	1	1127481	1127482
01e	133356	134934	1000001	1250000	1	1133356	1134934
01e	133830	134910	1000001	1250000	1	1133830	1134910
01e	133927	137142	1000001	1250000	1	1133927	1137142
01e	134205	134592	1000001	1250000	1	1134205	1134592
01e	134205	134910	1000001	1250000	1	1134205	1134910
01e	136673	136678	1000001	1250000	1	1136673	1136678
01e	139907	140471	1000001	1250000	1	1139907	1140471
01e	140614	140615	1000001	1250000	1	1140614	1140615
01e	140819	141825	1000001	1250000	1	1140819	1141825
01e	141957	144390	1000001	1250000	1	1141957	1144390
01e	143726	153534	1000001	1250000	1	1143726	1153534
01e	145400	145404	1000001	1250000	1	1145400	1145404
01e	146736	147284	1000001	1250000	1	1146736	1147284
01e	147878	148343	1000001	1250000	1	1147878	1148343
01e	148032	148206	1000001	1250000	1	1148032	1148206
01e	148723	153217	1000001	1250000	1	1148723	1153217
01e	149210	149262	1000001	1250000	1	1149210	1149262
01e	153217	154439	1000001	1250000	1	1153217	1154439
01e	153217	153936	1000001	1250000	1	1153217	1153936
01e	154223	154439	1000001	1250000	1	1154223	1154439
01e	155924	158448	1000001	1250000	1	1155924	1158448
01e	158185	163236	1000001	1250000	1	1158185	1163236
01e	158185	158189	1000001	1250000	1	1158185	1158189
01e	158448	158455	1000001	1250000	1	1158448	1158455
01e	161214	162622	1000001	1250000	1	1161214	1162622
01e	162548	162622	1000001	1250000	1	1162548	1162622
01e	163236	171403	1000001	1250000	1	1163236	1171403
01e	168417	168623	1000001	1250000	1	1168417	1168623
01e	173515	174995	1000001	1250000	1	1173515	1174995
01e	178742	181086	1000001	1250000	1	1178742	1181086
01e	180073	180075	1000001	1250000	1	1180073	1180075
01e	180767	183162	1000001	1250000	1	1180767	1183162
01e	188247	189870	1000001	1250000	1	1188247	1189870
01e	190334	191367	1000001	1250000	1	1190334	1191367
01e	190422	190825	1000001	1250000	1	1190422	1190825
01e	192524	192550	1000001	1250000	1	1192524	1192550
01e	192766	193472	1000001	1250000	1	1192766	1193472
01e	196442	198525	1000001	1250000	1	1196442	1198525
01e	197877	198565	1000001	1250000	1	1197877	1198565
01e	197923	199101	1000001	1250000	1	1197923	1199101
01e	198005	199009	1000001	1250000	1	1198005	1199009
01e	221349	221740	1000001	1250000	1	1221349	1221740
01e	221561	222093	1000001	1250000	1	1221561	1222093
01e	222945	225626	1000001	1250000	1	1222945	1225626
01e	222945	248102	1000001	1250000	1	1222945	1248102
01e	229721	229751	1000001	1250000	1	1229721	1229751
01e	230295	248943	1000001	1250000	1	1230295	1248943
01e	230295	248102	1000001	1250000	1	1230295	1248102
01e	240539	244660	1000001	1250000	1	1240539	1244660
01e	242965	242966	1000001	1250000	1	1242965	1242966
01f	463	10249	1250001	1500000	1	1250463	1260249
01f	1233	9562	1250001	1500000	1	1251233	1259562
01f	3595	4909	1250001	1500000	1	1253595	1254909
01f	4281	4601	1250001	1500000	1	1254281	1254601
01f	9448	9474	1250001	1500000	1	1259448	1259474
01f	9689	12503	1250001	1500000	1	1259689	1262503
01f	12096	13756	1250001	1500000	1	1262096	1263756
01f	12752	52927	1250001	1500000	1	1262752	1302927
01f	14388	17868	1250001	1500000	1	1264388	1267868
01f	24421	24648	1250001	1500000	1	1274421	1274648
01f	27590	27756	1250001	1500000	1	1277590	1277756
01f	27675	35584	1250001	1500000	1	1277675	1285584
01f	28215	29706	1250001	1500000	1	1278215	1279706
01f	28215	28297	1250001	1500000	1	1278215	1278297
01f	28297	29706	1250001	1500000	1	1278297	1279706
01f	32117	43025	1250001	1500000	1	1282117	1293025
01f	32730	32862	1250001	1500000	1	1282730	1282862
01f	39990	40396	1250001	1500000	1	1289990	1290396
01f	41783	43025	1250001	1500000	1	1291783	1293025
01f	42241	42288	1250001	1500000	1	1292241	1292288
01f	42749	43160	1250001	1500000	1	1292749	1293160
01f	45193	48385	1250001	1500000	1	1295193	1298385
01f	46878	46881	1250001	1500000	1	1296878	1296881
01f	46878	49075	1250001	1500000	1	1296878	1299075
01f	52150	52927	1250001	1500000	1	1302150	1302927
01f	52750	56051	1250001	1500000	1	1302750	1306051
01f	53579	53643	1250001	1500000	1	1303579	1303643
01f	57015	57546	1250001	1500000	1	1307015	1307546
01f	57015	60612	1250001	1500000	1	1307015	1310612
01f	57069	60612	1250001	1500000	1	1307069	1310612
01f	58459	58690	1250001	1500000	1	1308459	1308690
01f	62114	65536	1250001	1500000	1	1312114	1315536
01f	63182	63353	1250001	1500000	1	1313182	1313353
01f	67158	68401	1250001	1500000	1	1317158	1318401
01f	67906	69178	1250001	1500000	1	1317906	1319178
01f	69178	77923	1250001	1500000	1	1319178	1327923
01f	71679	72076	1250001	1500000	1	1321679	1322076
01f	73892	83485	1250001	1500000	1	1323892	1333485
01f	74115	78778	1250001	1500000	1	1324115	1328778
01f	76940	77164	1250001	1500000	1	1326940	1327164
01f	77124	77164	1250001	1500000	1	1327124	1327164
01f	78376	83485	1250001	1500000	1	1328376	1333485
01f	78376	78565	1250001	1500000	1	1328376	1328565
01f	80454	87628	1250001	1500000	1	1330454	1337628
01f	83472	83485	1250001	1500000	1	1333472	1333485
01f	87181	87532	1250001	1500000	1	1337181	1337532
01f	88086	96666	1250001	1500000	1	1338086	1346666
01f	88086	96232	1250001	1500000	1	1338086	1346232
01f	89052	90912	1250001	1500000	1	1339052	1340912
01f	90200	94956	1250001	1500000	1	1340200	1344956
01f	92418	93229	1250001	1500000	1	1342418	1343229
01f	93682	96666	1250001	1500000	1	1343682	1346666
01f	94410	94619	1250001	1500000	1	1344410	1344619
01f	94618	94619	1250001	1500000	1	1344618	1344619
01f	96666	97353	1250001	1500000	1	1346666	1347353
01f	98202	103014	1250001	1500000	1	1348202	1353014
01f	101540	104593	1250001	1500000	1	1351540	1354593
01f	105953	106335	1250001	1500000	1	1355953	1356335
01f	107139	107994	1250001	1500000	1	1357139	1357994
01f	109762	110058	1250001	1500000	1	1359762	1360058
01f	111190	111402	1250001	1500000	1	1361190	1361402
01f	112736	112737	1250001	1500000	1	1362736	1362737
01f	121136	121153	1250001	1500000	1	1371136	1371153
01f	124470	124472	1250001	1500000	1	1374470	1374472
01f	126104	126133	1250001	1500000	1	1376104	1376133
01f	130368	130478	1250001	1500000	1	1380368	1380478
01f	130934	141156	1250001	1500000	1	1380934	1391156
01f	132121	132442	1250001	1500000	1	1382121	1382442
01f	132121	136369	1250001	1500000	1	1382121	1386369
01f	132934	141156	1250001	1500000	1	1382934	1391156
01f	137216	137242	1250001	1500000	1	1387216	1387242
01f	139201	145317	1250001	1500000	1	1389201	1395317
01f	141138	141156	1250001	1500000	1	1391138	1391156
01f	142688	146628	1250001	1500000	1	1392688	1396628
01f	145317	146628	1250001	1500000	1	1395317	1396628
01f	151042	183292	1250001	1500000	1	1401042	1433292
01f	151042	153145	1250001	1500000	1	1401042	1403145
01f	151042	152506	1250001	1500000	1	1401042	1402506
01f	152708	154995	1250001	1500000	1	1402708	1404995
01f	152801	152819	1250001	1500000	1	1402801	1402819
01f	152803	152819	1250001	1500000	1	1402803	1402819
01f	153790	154995	1250001	1500000	1	1403790	1404995
01f	157230	157403	1250001	1500000	1	1407230	1407403
01f	162991	169617	1250001	1500000	1	1412991	1419617
01f	171409	185569	1250001	1500000	1	1421409	1435569
01f	183282	183292	1250001	1500000	1	1433282	1433292
01f	184027	193185	1250001	1500000	1	1434027	1443185
01f	191472	191751	1250001	1500000	1	1441472	1441751
01f	193254	193354	1250001	1500000	1	1443254	1443354
01f	193883	193889	1250001	1500000	1	1443883	1443889
01f	195573	196586	1250001	1500000	1	1445573	1446586
01f	200046	201555	1250001	1500000	1	1450046	1451555
01f	203495	203583	1250001	1500000	1	1453495	1453583
01f	203913	204869	1250001	1500000	1	1453913	1454869
01f	206738	207072	1250001	1500000	1	1456738	1457072
01f	208152	209591	1250001	1500000	1	1458152	1459591
01f	211770	211888	1250001	1500000	1	1461770	1461888
01f	212130	212462	1250001	1500000	1	1462130	1462462
01f	218375	218499	1250001	1500000	1	1468375	1468499
01f	224406	224935	1250001	1500000	1	1474406	1474935
01f	227415	230556	1250001	1500000	1	1477415	1480556
01f	228497	231199	1250001	1500000	1	1478497	1481199
01f	229334	229404	1250001	1500000	1	1479334	1479404
01f	238081	238090	1250001	1500000	1	1488081	1488090
01f	246328	247018	1250001	1500000	1	1496328	1497018
01f	249052	249132	1250001	1500000	1	1499052	1499132
01g	207	13037	1500001	1768582	1	1500207	1513037
01g	2788	2824	1500001	1768582	1	1502788	1502824
01g	2788	25532	1500001	1768582	1	1502788	1525532
01g	6378	6917	1500001	1768582	1	1506378	1506917
01g	9671	9679	1500001	1768582	1	1509671	1509679
01g	10308	13037	1500001	1768582	1	1510308	1513037
01g	13037	19102	1500001	1768582	1	1513037	1519102
01g	14806	14931	1500001	1768582	1	1514806	1514931
01g	15179	17713	1500001	1768582	1	1515179	1517713
01g	15674	29036	1500001	1768582	1	1515674	1529036
01g	15674	21043	1500001	1768582	1	1515674	1521043
01g	18078	18183	1500001	1768582	1	1518078	1518183
01g	19101	19102	1500001	1768582	1	1519101	1519102
01g	20035	33613	1500001	1768582	1	1520035	1533613
01g	20035	26341	1500001	1768582	1	1520035	1526341
01g	23286	24272	1500001	1768582	1	1523286	1524272
01g	24272	37108	1500001	1768582	1	1524272	1537108
01g	26330	28846	1500001	1768582	1	1526330	1528846
01g	28846	31932	1500001	1768582	1	1528846	1531932
01g	30676	30829	1500001	1768582	1	1530676	1530829
01g	31087	31149	1500001	1768582	1	1531087	1531149
01g	34158	34572	1500001	1768582	1	1534158	1534572
01g	34947	35024	1500001	1768582	1	1534947	1535024
01g	35477	37098	1500001	1768582	1	1535477	1537098
01g	36751	37108	1500001	1768582	1	1536751	1537108
01g	36751	36759	1500001	1768582	1	1536751	1536759
01g	37402	37665	1500001	1768582	1	1537402	1537665
01g	40522	49905	1500001	1768582	1	1540522	1549905
01g	45633	58673	1500001	1768582	1	1545633	1558673
01g	46158	47345	1500001	1768582	1	1546158	1547345
01g	49567	49719	1500001	1768582	1	1549567	1549719
01g	49905	55805	1500001	1768582	1	1549905	1555805
01g	53893	54114	1500001	1768582	1	1553893	1554114
01g	56240	56260	1500001	1768582	1	1556240	1556260
01g	58196	58197	1500001	1768582	1	1558196	1558197
01g	58585	58673	1500001	1768582	1	1558585	1558673
01g	61402	67660	1500001	1768582	1	1561402	1567660
01g	63373	70970	1500001	1768582	1	1563373	1570970
01g	65530	69125	1500001	1768582	1	1565530	1569125
01g	66087	67421	1500001	1768582	1	1566087	1567421
01g	66837	67397	1500001	1768582	1	1566837	1567397
01g	66948	67421	1500001	1768582	1	1566948	1567421
01g	67576	67660	1500001	1768582	1	1567576	1567660
01g	67659	67660	1500001	1768582	1	1567659	1567660
01g	75872	119192	1500001	1768582	1	1575872	1619192
01g	76322	76345	1500001	1768582	1	1576322	1576345
01g	78551	78571	1500001	1768582	1	1578551	1578571
01g	78551	104248	1500001	1768582	1	1578551	1604248
01g	111712	111713	1500001	1768582	1	1611712	1611713
01g	115189	184706	1500001	1768582	1	1615189	1684706
01g	115189	124702	1500001	1768582	1	1615189	1624702
01g	115316	118764	1500001	1768582	1	1615316	1618764
01g	117926	118241	1500001	1768582	1	1617926	1618241
01g	118140	118220	1500001	1768582	1	1618140	1618220
01g	122539	123380	1500001	1768582	1	1622539	1623380
01g	123935	124702	1500001	1768582	1	1623935	1624702
01g	127457	203868	1500001	1768582	1	1627457	1703868
01g	127457	128785	1500001	1768582	1	1627457	1628785
01g	127457	129618	1500001	1768582	1	1627457	1629618
01g	127457	127514	1500001	1768582	1	1627457	1627514
01g	147571	147686	1500001	1768582	1	1647571	1647686
01g	152311	152528	1500001	1768582	1	1652311	1652528
01g	161732	181525	1500001	1768582	1	1661732	1681525
01g	183656	183743	1500001	1768582	1	1683656	1683743
01g	184051	186671	1500001	1768582	1	1684051	1686671
01g	191001	205078	1500001	1768582	1	1691001	1705078
01g	191001	203450	1500001	1768582	1	1691001	1703450
01g	193930	197189	1500001	1768582	1	1693930	1697189
01g	195697	203868	1500001	1768582	1	1695697	1703868
01g	197367	197383	1500001	1768582	1	1697367	1697383
01g	198729	198730	1500001	1768582	1	1698729	1698730
01g	200622	200623	1500001	1768582	1	1700622	1700623
01g	203392	211377	1500001	1768582	1	1703392	1711377
01g	204390	236808	1500001	1768582	1	1704390	1736808
01g	218853	220600	1500001	1768582	1	1718853	1720600
01g	218853	218980	1500001	1768582	1	1718853	1718980
01g	218913	218980	1500001	1768582	1	1718913	1718980
01g	218931	220455	1500001	1768582	1	1718931	1720455
01g	220172	220455	1500001	1768582	1	1720172	1720455
01g	224758	245308	1500001	1768582	1	1724758	1745308
01g	226607	227087	1500001	1768582	1	1726607	1727087
01g	231208	232618	1500001	1768582	1	1731208	1732618
01g	233280	235938	1500001	1768582	1	1733280	1735938
01g	233285	233482	1500001	1768582	1	1733285	1733482
01g	233729	245308	1500001	1768582	1	1733729	1745308
01g	236808	242959	1500001	1768582	1	1736808	1742959
01g	242959	245902	1500001	1768582	1	1742959	1745902
01g	243075	245740	1500001	1768582	1	1743075	1745740
01g	244456	245308	1500001	1768582	1	1744456	1745308
01g	245468	245474	1500001	1768582	1	1745468	1745474
01g	245710	245740	1500001	1768582	1	1745710	1745740
01g	245740	251403	1500001	1768582	1	1745740	1751403
01g	250574	251962	1500001	1768582	1	1750574	1751962
02a	3182	147629	1768583	2000000	1	1771764	1916211
02a	7306	9754	1768583	2000000	1	1775888	1778336
02a	9754	21308	1768583	2000000	1	1778336	1789890
02a	12486	44883	1768583	2000000	1	1781068	1813465
02a	12486	14080	1768583	2000000	1	1781068	1782662
02a	13237	19416	1768583	2000000	1	1781819	1787998
02a	13237	13292	1768583	2000000	1	1781819	1781874
02a	16617	16713	1768583	2000000	1	1785199	1785295
02a	19341	21308	1768583	2000000	1	1787923	1789890
02a	21563	21617	1768583	2000000	1	1790145	1790199
02a	42356	42357	1768583	2000000	1	1810938	1810939
02a	46977	55176	1768583	2000000	1	1815559	1823758
02a	55433	55921	1768583	2000000	1	1824015	1824503
02a	55921	70144	1768583	2000000	1	1824503	1838726
02a	64136	64231	1768583	2000000	1	1832718	1832813
02a	67732	68300	1768583	2000000	1	1836314	1836882
02a	68019	68300	1768583	2000000	1	1836601	1836882
02a	69435	80373	1768583	2000000	1	1838017	1848955
02a	69435	81604	1768583	2000000	1	1838017	1850186
02a	69618	69619	1768583	2000000	1	1838200	1838201
02a	74531	74532	1768583	2000000	1	1843113	1843114
02a	75791	101623	1768583	2000000	1	1844373	1870205
02a	76169	78008	1768583	2000000	1	1844751	1846590
02a	78004	100282	1768583	2000000	1	1846586	1868864
02a	78209	78662	1768583	2000000	1	1846791	1847244
02a	78209	80433	1768583	2000000	1	1846791	1849015
