SubRegion	GC_Beg	GC_End	AR_Beg	AR_End	AR_Ori	ABeg	AEnd
01b	54259	62570	250001	500000	1	304259	312570
01b	54259	91147	250001	500000	1	304259	341147
01b	54375	55282	250001	500000	1	304375	305282
01b	56230	87461	250001	500000	1	306230	337461
01b	59707	138472	250001	500000	1	309707	388472
01b	59707	78546	250001	500000	1	309707	328546
01b	60701	60935	250001	500000	1	310701	310935
01b	61994	64823	250001	500000	1	311994	314823
01b	62618	66295	250001	500000	1	312618	316295
01b	63571	69307	250001	500000	1	313571	319307
01b	63571	93591	250001	500000	1	313571	343591
01b	65716	66503	250001	500000	1	315716	316503
01b	65991	65999	250001	500000	1	315991	315999
01b	65991	88635	250001	500000	1	315991	338635
01b	65991	141209	250001	500000	1	315991	391209
01b	71012	145028	250001	500000	1	321012	395028
01b	74505	83852	250001	500000	1	324505	333852
01b	75922	86354	250001	500000	1	325922	336354
01b	79089	87461	250001	500000	1	329089	337461
01b	79167	87568	250001	500000	1	329167	337568
01b	82592	118780	250001	500000	1	332592	368780
01b	84520	93807	250001	500000	1	334520	343807
01b	87910	91147	250001	500000	1	337910	341147
01b	89866	120210	250001	500000	1	339866	370210
01b	93591	96787	250001	500000	1	343591	346787
01b	93591	188208	250001	500000	1	343591	438208
01b	101588	144868	250001	500000	1	351588	394868
01b	101588	150014	250001	500000	1	351588	400014
01b	101866	156239	250001	500000	1	351866	406239
01b	110217	120210	250001	500000	1	360217	370210
01b	115632	121515	250001	500000	1	365632	371515
01b	116409	249337	250001	500000	1	366409	499337
01b	121168	145028	250001	500000	1	371168	395028
01b	121329	121730	250001	500000	1	371329	371730
01b	122939	172575	250001	500000	1	372939	422575
01b	128587	141249	250001	500000	1	378587	391249
01b	128587	202487	250001	500000	1	378587	452487
01b	133860	176353	250001	500000	1	383860	426353
01b	142023	180533	250001	500000	1	392023	430533
01b	154661	185952	250001	500000	1	404661	435952
01b	165939	168579	250001	500000	1	415939	418579
01b	180533	195324	250001	500000	1	430533	445324
01b	183477	205635	250001	500000	1	433477	455635
01b	188664	191380	250001	500000	1	438664	441380
01b	190756	190980	250001	500000	1	440756	440980
01b	190878	190980	250001	500000	1	440878	440980
01b	196993	197353	250001	500000	1	446993	447353
01b	198947	212063	250001	500000	1	448947	462063
01b	200637	219698	250001	500000	1	450637	469698
01b	200818	200829	250001	500000	1	450818	450829
01b	202240	207715	250001	500000	1	452240	457715
01b	202718	205635	250001	500000	1	452718	455635
01b	203246	205635	250001	500000	1	453246	455635
01b	205377	205434	250001	500000	1	455377	455434
01b	205635	225975	250001	500000	1	455635	475975
01b	207310	217624	250001	500000	1	457310	467624
01b	211773	211863	250001	500000	1	461773	461863
01b	211773	211863	250001	500000	1	461773	461863
01b	211773	211822	250001	500000	1	461773	461822
01b	211773	211822	250001	500000	1	461773	461822
01b	216560	226123	250001	500000	1	466560	476123
01b	216560	236718	250001	500000	1	466560	486718
01b	218969	219173	250001	500000	1	468969	469173
01b	222651	226778	250001	500000	1	472651	476778
01b	222651	229971	250001	500000	1	472651	479971
01b	227705	243193	250001	500000	1	477705	493193
01b	238838	238839	250001	500000	1	488838	488839
01c	1091	24505	500001	750000	1	501091	524505
01c	27546	30656	500001	750000	1	527546	530656
01c	27546	30656	500001	750000	1	527546	530656
01c	27851	28025	500001	750000	1	527851	528025
01c	27851	28025	500001	750000	1	527851	528025
01c	27994	61289	500001	750000	1	527994	561289
01c	27994	65676	500001	750000	1	527994	565676
01c	28355	38125	500001	750000	1	528355	538125
01c	37162	41776	500001	750000	1	537162	541776
01c	66394	113551	500001	750000	1	566394	613551
01c	67232	76853	500001	750000	1	567232	576853
01c	70716	73301	500001	750000	1	570716	573301
01c	74144	77331	500001	750000	1	574144	577331
01c	75606	148235	500001	750000	1	575606	648235
01c	80205	90518	500001	750000	1	580205	590518
01c	82337	181107	500001	750000	1	582337	681107
01c	82427	87729	500001	750000	1	582427	587729
01c	87170	132986	500001	750000	1	587170	632986
01c	87170	118124	500001	750000	1	587170	618124
01c	88388	139279	500001	750000	1	588388	639279
01c	88388	121462	500001	750000	1	588388	621462
01c	100452	100459	500001	750000	1	600452	600459
01c	101409	107332	500001	750000	1	601409	607332
01c	106424	111497	500001	750000	1	606424	611497
01c	115919	121358	500001	750000	1	615919	621358
01c	116600	132986	500001	750000	1	616600	632986
01c	117547	246214	500001	750000	1	617547	746214
01c	117631	117985	500001	750000	1	617631	617985
01c	118123	145793	500001	750000	1	618123	645793
01c	121462	139279	500001	750000	1	621462	639279
01c	122050	129105	500001	750000	1	622050	629105
01c	130666	139553	500001	750000	1	630666	639553
01c	132986	134796	500001	750000	1	632986	634796
01c	138717	165624	500001	750000	1	638717	665624
01c	140010	152201	500001	750000	1	640010	652201
01c	140010	222059	500001	750000	1	640010	722059
01c	141588	180608	500001	750000	1	641588	680608
01c	141588	177318	500001	750000	1	641588	677318
01c	143282	150317	500001	750000	1	643282	650317
01c	146428	164816	500001	750000	1	646428	664816
01c	148299	148315	500001	750000	1	648299	648315
01c	148902	175932	500001	750000	1	648902	675932
01c	153132	153257	500001	750000	1	653132	653257
01c	153681	223569	500001	750000	1	653681	723569
01c	154224	185563	500001	750000	1	654224	685563
01c	158124	173188	500001	750000	1	658124	673188
01c	158822	173922	500001	750000	1	658822	673922
01c	161952	171262	500001	750000	1	661952	671262
01c	162223	172773	500001	750000	1	662223	672773
01c	162223	175712	500001	750000	1	662223	675712
01c	163832	175499	500001	750000	1	663832	675499
01c	164816	165342	500001	750000	1	664816	665342
01c	171244	181436	500001	750000	1	671244	681436
01c	177970	198259	500001	750000	1	677970	698259
01c	178112	235629	500001	750000	1	678112	735629
01c	178851	180659	500001	750000	1	678851	680659
01c	179350	185563	500001	750000	1	679350	685563
01c	180431	185333	500001	750000	1	680431	685333
01c	182770	184932	500001	750000	1	682770	684932
01c	183636	183661	500001	750000	1	683636	683661
01c	185162	220268	500001	750000	1	685162	720268
01c	185563	188651	500001	750000	1	685563	688651
01c	190217	190222	500001	750000	1	690217	690222
01c	190217	192965	500001	750000	1	690217	692965
01c	190580	191164	500001	750000	1	690580	691164
01c	196878	221485	500001	750000	1	696878	721485
01c	197996	198074	500001	750000	1	697996	698074
01c	199149	211047	500001	750000	1	699149	711047
01c	202002	205735	500001	750000	1	702002	705735
01c	202387	202448	500001	750000	1	702387	702448
01c	202448	214066	500001	750000	1	702448	714066
01c	203559	223569	500001	750000	1	703559	723569
01c	205127	235293	500001	750000	1	705127	735293
01c	205372	221485	500001	750000	1	705372	721485
01c	207617	221371	500001	750000	1	707617	721371
01c	207873	219489	500001	750000	1	707873	719489
01c	209407	221576	500001	750000	1	709407	721576
01c	210542	212485	500001	750000	1	710542	712485
01c	212463	212485	500001	750000	1	712463	712485
01c	218782	246402	500001	750000	1	718782	746402
01c	222056	246402	500001	750000	1	722056	746402
01c	222688	234504	500001	750000	1	722688	734504
01c	223569	225176	500001	750000	1	723569	725176
01c	229132	234981	500001	750000	1	729132	734981
01c	229132	249550	500001	750000	1	729132	749550
01c	229676	234504	500001	750000	1	729676	734504
01c	231908	246839	500001	750000	1	731908	746839
01c	232279	246839	500001	750000	1	732279	746839
01c	238079	246307	500001	750000	1	738079	746307
01c	240576	246839	500001	750000	1	740576	746839
01c	242012	248594	500001	750000	1	742012	748594
01c	244994	247340	500001	750000	1	744994	747340
01c	246271	246307	500001	750000	1	746271	746307
01c	246888	247796	500001	750000	1	746888	747796
01d	673	117333	750001	1000000	1	750673	867333
01d	673	73687	750001	1000000	1	750673	823687
01d	673	3445	750001	1000000	1	750673	753445
01d	673	3476	750001	1000000	1	750673	753476
01d	673	43032	750001	1000000	1	750673	793032
01d	673	8411	750001	1000000	1	750673	758411
01d	673	5024	750001	1000000	1	750673	755024
01d	1465	53378	750001	1000000	1	751465	803378
01d	3206	12039	750001	1000000	1	753206	762039
01d	4795	5024	750001	1000000	1	754795	755024
01d	5024	106043	750001	1000000	1	755024	856043
01d	5292	26077	750001	1000000	1	755292	776077
01d	5312	19893	750001	1000000	1	755312	769893
01d	5715	30869	750001	1000000	1	755715	780869
01d	9091	69917	750001	1000000	1	759091	819917
01d	10102	10128	750001	1000000	1	760102	760128
01d	20878	29091	750001	1000000	1	770878	779091
01d	21737	24875	750001	1000000	1	771737	774875
01d	21906	24875	750001	1000000	1	771906	774875
01d	25077	43032	750001	1000000	1	775077	793032
01d	26088	45210	750001	1000000	1	776088	795210
01d	27466	31605	750001	1000000	1	777466	781605
01d	28793	47057	750001	1000000	1	778793	797057
01d	31539	36943	750001	1000000	1	781539	786943
01d	32630	41582	750001	1000000	1	782630	791582
01d	32828	37381	750001	1000000	1	782828	787381
01d	32846	42810	750001	1000000	1	782846	792810
01d	34100	82128	750001	1000000	1	784100	832128
01d	36061	39276	750001	1000000	1	786061	789276
01d	41582	41647	750001	1000000	1	791582	791647
01d	42376	226806	750001	1000000	1	792376	976806
01d	44880	45210	750001	1000000	1	794880	795210
01d	45778	52597	750001	1000000	1	795778	802597
01d	46785	47418	750001	1000000	1	796785	797418
01d	46953	81088	750001	1000000	1	796953	831088
01d	55035	120851	750001	1000000	1	805035	870851
01d	59884	79832	750001	1000000	1	809884	829832
01d	59884	62256	750001	1000000	1	809884	812256
01d	61155	61926	750001	1000000	1	811155	811926
01d	63930	75150	750001	1000000	1	813930	825150
01d	64515	70696	750001	1000000	1	814515	820696
01d	66533	66646	750001	1000000	1	816533	816646
01d	66533	66543	750001	1000000	1	816533	816543
01d	70110	70136	750001	1000000	1	820110	820136
01d	74409	74430	750001	1000000	1	824409	824430
01d	79264	82659	750001	1000000	1	829264	832659
01d	79700	79702	750001	1000000	1	829700	829702
01d	81786	83167	750001	1000000	1	831786	833167
01d	81786	84074	750001	1000000	1	831786	834074
01d	84492	89957	750001	1000000	1	834492	839957
01d	85402	100241	750001	1000000	1	835402	850241
01d	86075	89966	750001	1000000	1	836075	839966
01d	89957	89966	750001	1000000	1	839957	839966
01d	91132	99158	750001	1000000	1	841132	849158
01d	91917	94739	750001	1000000	1	841917	844739
01d	94739	116604	750001	1000000	1	844739	866604
01d	97306	97725	750001	1000000	1	847306	847725
01d	97761	97836	750001	1000000	1	847761	847836
01d	99128	136009	750001	1000000	1	849128	886009
01d	99128	100837	750001	1000000	1	849128	850837
01d	103639	116602	750001	1000000	1	853639	866602
01d	110277	116339	750001	1000000	1	860277	866339
01d	113051	113074	750001	1000000	1	863051	863074
01d	113051	113447	750001	1000000	1	863051	863447
01d	114205	119157	750001	1000000	1	864205	869157
01d	114331	125824	750001	1000000	1	864331	875824
01d	116350	117603	750001	1000000	1	866350	867603
01d	119718	137964	750001	1000000	1	869718	887964
01d	119880	127562	750001	1000000	1	869880	877562
01d	120237	120851	750001	1000000	1	870237	870851
01d	122425	122725	750001	1000000	1	872425	872725
01d	125127	125155	750001	1000000	1	875127	875155
01d	125147	125155	750001	1000000	1	875147	875155
01d	127331	130761	750001	1000000	1	877331	880761
01d	127871	127877	750001	1000000	1	877871	877877
01d	128592	130761	750001	1000000	1	878592	880761
01d	128592	136009	750001	1000000	1	878592	886009
01d	128592	170985	750001	1000000	1	878592	920985
01d	133680	135658	750001	1000000	1	883680	885658
01d	134820	138534	750001	1000000	1	884820	888534
01d	137148	137689	750001	1000000	1	887148	887689
01d	140102	142996	750001	1000000	1	890102	892996
01d	140102	161967	750001	1000000	1	890102	911967
01d	140556	162057	750001	1000000	1	890556	912057
01d	140977	155327	750001	1000000	1	890977	905327
01d	141413	142996	750001	1000000	1	891413	892996
01d	143084	143602	750001	1000000	1	893084	893602
01d	150335	167288	750001	1000000	1	900335	917288
01d	150588	193201	750001	1000000	1	900588	943201
01d	151076	171782	750001	1000000	1	901076	921782
01d	157017	158838	750001	1000000	1	907017	908838
01d	157660	161477	750001	1000000	1	907660	911477
01d	160682	161479	750001	1000000	1	910682	911479
01d	161477	173615	750001	1000000	1	911477	923615
01d	164311	179505	750001	1000000	1	914311	929505
01d	170770	170850	750001	1000000	1	920770	920850
01d	171841	174270	750001	1000000	1	921841	924270
01d	176026	176568	750001	1000000	1	926026	926568
01d	176997	182725	750001	1000000	1	926997	932725
01d	179977	198154	750001	1000000	1	929977	948154
01d	179977	192211	750001	1000000	1	929977	942211
01d	180242	228476	750001	1000000	1	930242	978476
01d	184890	187937	750001	1000000	1	934890	937937
01d	187037	207326	750001	1000000	1	937037	957326
01d	187982	190151	750001	1000000	1	937982	940151
01d	190619	191775	750001	1000000	1	940619	941775
01d	190619	191775	750001	1000000	1	940619	941775
01d	191515	198830	750001	1000000	1	941515	948830
01d	192054	197404	750001	1000000	1	942054	947404
01d	192196	194554	750001	1000000	1	942196	944554
01d	192196	224782	750001	1000000	1	942196	974782
01d	192881	199034	750001	1000000	1	942881	949034
01d	193070	195311	750001	1000000	1	943070	945311
01d	193981	195337	750001	1000000	1	943981	945337
01d	194280	238083	750001	1000000	1	944280	988083
01d	196074	196087	750001	1000000	1	946074	946087
01d	196160	196577	750001	1000000	1	946160	946577
01d	196160	198830	750001	1000000	1	946160	948830
01d	196577	200793	750001	1000000	1	946577	950793
01d	196808	197404	750001	1000000	1	946808	947404
01d	197616	205642	750001	1000000	1	947616	955642
01d	199014	199034	750001	1000000	1	949014	949034
01d	200793	201111	750001	1000000	1	950793	951111
01d	201263	201524	750001	1000000	1	951263	951524
01d	201482	201524	750001	1000000	1	951482	951524
01d	202295	203963	750001	1000000	1	952295	953963
01d	202334	204909	750001	1000000	1	952334	954909
01d	204192	207922	750001	1000000	1	954192	957922
01d	205870	205920	750001	1000000	1	955870	955920
01d	207909	207922	750001	1000000	1	957909	957922
01d	208249	243710	750001	1000000	1	958249	993710
01d	212137	246869	750001	1000000	1	962137	996869
01d	212137	227606	750001	1000000	1	962137	977606
01d	215658	242059	750001	1000000	1	965658	992059
01d	219170	220313	750001	1000000	1	969170	970313
01d	219293	232447	750001	1000000	1	969293	982447
01d	223948	223967	750001	1000000	1	973948	973967
01d	237451	247253	750001	1000000	1	987451	997253
01d	237451	241421	750001	1000000	1	987451	991421
01d	237823	241421	750001	1000000	1	987823	991421
01d	238094	246869	750001	1000000	1	988094	996869
01d	242059	243710	750001	1000000	1	992059	993710
01d	245725	249710	750001	1000000	1	995725	999710
01d	245725	247055	750001	1000000	1	995725	997055
01d	246783	247355	750001	1000000	1	996783	997355
01d	247355	247434	750001	1000000	1	997355	997434
01e	759	6009	1000001	1250000	1	1000759	1006009
01e	2942	4071	1000001	1250000	1	1002942	1004071
01e	3958	5568	1000001	1250000	1	1003958	1005568
01e	3958	6009	1000001	1250000	1	1003958	1006009
01e	4071	178742	1000001	1250000	1	1004071	1178742
01e	4563	81607	1000001	1250000	1	1004563	1081607
01e	5079	106958	1000001	1250000	1	1005079	1106958
01e	5079	18529	1000001	1250000	1	1005079	1018529
01e	5079	52270	1000001	1250000	1	1005079	1052270
01e	5743	6266	1000001	1250000	1	1005743	1006266
01e	7532	19313	1000001	1250000	1	1007532	1019313
01e	8205	30820	1000001	1250000	1	1008205	1030820
01e	10476	12810	1000001	1250000	1	1010476	1012810
01e	13794	15808	1000001	1250000	1	1013794	1015808
01e	14134	17371	1000001	1250000	1	1014134	1017371
01e	14134	18897	1000001	1250000	1	1014134	1018897
01e	15766	19494	1000001	1250000	1	1015766	1019494
01e	20097	20399	1000001	1250000	1	1020097	1020399
01e	20399	46331	1000001	1250000	1	1020399	1046331
01e	23816	54381	1000001	1250000	1	1023816	1054381
01e	24413	25534	1000001	1250000	1	1024413	1025534
01e	25542	30068	1000001	1250000	1	1025542	1030068
01e	26196	41881	1000001	1250000	1	1026196	1041881
01e	29557	43467	1000001	1250000	1	1029557	1043467
01e	29557	43220	1000001	1250000	1	1029557	1043220
01e	29557	49512	1000001	1250000	1	1029557	1049512
01e	29994	30647	1000001	1250000	1	1029994	1030647
01e	30068	52270	1000001	1250000	1	1030068	1052270
01e	30769	30820	1000001	1250000	1	1030769	1030820
01e	30912	32408	1000001	1250000	1	1030912	1032408
01e	31594	68739	1000001	1250000	1	1031594	1068739
01e	31594	32337	1000001	1250000	1	1031594	1032337
01e	31662	130565	1000001	1250000	1	1031662	1130565
01e	32456	81258	1000001	1250000	1	1032456	1081258
01e	41881	43220	1000001	1250000	1	1041881	1043220
01e	49267	78438	1000001	1250000	1	1049267	1078438
01e	51291	57383	1000001	1250000	1	1051291	1057383
01e	54381	85594	1000001	1250000	1	1054381	1085594
01e	56797	60049	1000001	1250000	1	1056797	1060049
01e	58914	60049	1000001	1250000	1	1058914	1060049
01e	60808	67664	1000001	1250000	1	1060808	1067664
01e	61618	89359	1000001	1250000	1	1061618	1089359
01e	61618	81570	1000001	1250000	1	1061618	1081570
01e	65114	68739	1000001	1250000	1	1065114	1068739
01e	66840	70319	1000001	1250000	1	1066840	1070319
01e	73165	74722	1000001	1250000	1	1073165	1074722
01e	73333	73334	1000001	1250000	1	1073333	1073334
01e	74441	74459	1000001	1250000	1	1074441	1074459
01e	76358	77959	1000001	1250000	1	1076358	1077959
01e	76411	77009	1000001	1250000	1	1076411	1077009
01e	76735	78438	1000001	1250000	1	1076735	1078438
01e	76824	77009	1000001	1250000	1	1076824	1077009
01e	79022	81258	1000001	1250000	1	1079022	1081258
01e	81373	81570	1000001	1250000	1	1081373	1081570
01e	82138	82156	1000001	1250000	1	1082138	1082156
01e	82845	83102	1000001	1250000	1	1082845	1083102
01e	82927	97662	1000001	1250000	1	1082927	1097662
01e	83569	85594	1000001	1250000	1	1083569	1085594
01e	86303	86390	1000001	1250000	1	1086303	1086390
01e	87964	125025	1000001	1250000	1	1087964	1125025
01e	88543	90952	1000001	1250000	1	1088543	1090952
01e	91126	95597	1000001	1250000	1	1091126	1095597
01e	91126	97163	1000001	1250000	1	1091126	1097163
01e	91126	97662	1000001	1250000	1	1091126	1097662
01e	93160	108088	1000001	1250000	1	1093160	1108088
01e	93395	97247	1000001	1250000	1	1093395	1097247
01e	95449	97662	1000001	1250000	1	1095449	1097662
01e	95625	124191	1000001	1250000	1	1095625	1124191
01e	95625	105644	1000001	1250000	1	1095625	1105644
01e	97163	97662	1000001	1250000	1	1097163	1097662
01e	101033	103719	1000001	1250000	1	1101033	1103719
01e	101033	111094	1000001	1250000	1	1101033	1111094
01e	106958	107378	1000001	1250000	1	1106958	1107378
01e	108088	121867	1000001	1250000	1	1108088	1121867
01e	109002	110739	1000001	1250000	1	1109002	1110739
01e	109384	128737	1000001	1250000	1	1109384	1128737
01e	110522	110739	1000001	1250000	1	1110522	1110739
01e	110873	110876	1000001	1250000	1	1110873	1110876
01e	111094	111996	1000001	1250000	1	1111094	1111996
01e	111408	124191	1000001	1250000	1	1111408	1124191
01e	122321	122477	1000001	1250000	1	1122321	1122477
01e	123587	123588	1000001	1250000	1	1123587	1123588
01e	125173	127657	1000001	1250000	1	1125173	1127657
01e	126187	134934	1000001	1250000	1	1126187	1134934
01e	126351	136685	1000001	1250000	1	1126351	1136685
01e	126949	131669	1000001	1250000	1	1126949	1131669
01e	127351	127407	1000001	1250000	1	1127351	1127407
01e	128823	128968	1000001	1250000	1	1128823	1128968
01e	130273	130441	1000001	1250000	1	1130273	1130441
01e	130565	133793	1000001	1250000	1	1130565	1133793
01e	131582	131614	1000001	1250000	1	1131582	1131614
01e	132461	133793	1000001	1250000	1	1132461	1133793
01e	134100	138621	1000001	1250000	1	1134100	1138621
01e	134182	137027	1000001	1250000	1	1134182	1137027
01e	134182	134183	1000001	1250000	1	1134182	1134183
01e	134198	134205	1000001	1250000	1	1134198	1134205
01e	136261	139275	1000001	1250000	1	1136261	1139275
01e	136677	136678	1000001	1250000	1	1136677	1136678
01e	138306	146287	1000001	1250000	1	1138306	1146287
01e	138538	139473	1000001	1250000	1	1138538	1139473
01e	138538	143726	1000001	1250000	1	1138538	1143726
01e	138621	140119	1000001	1250000	1	1138621	1140119
01e	139473	141166	1000001	1250000	1	1139473	1141166
01e	139551	139553	1000001	1250000	1	1139551	1139553
01e	140119	140133	1000001	1250000	1	1140119	1140133
01e	141166	146287	1000001	1250000	1	1141166	1146287
01e	142484	146287	1000001	1250000	1	1142484	1146287
01e	143603	143733	1000001	1250000	1	1143603	1143733
01e	143626	144013	1000001	1250000	1	1143626	1144013
01e	144648	145724	1000001	1250000	1	1144648	1145724
01e	145121	145141	1000001	1250000	1	1145121	1145141
01e	147471	147780	1000001	1250000	1	1147471	1147780
01e	147648	147780	1000001	1250000	1	1147648	1147780
01e	149573	153270	1000001	1250000	1	1149573	1153270
01e	149675	151577	1000001	1250000	1	1149675	1151577
01e	151846	161679	1000001	1250000	1	1151846	1161679
01e	152448	155233	1000001	1250000	1	1152448	1155233
01e	153534	161642	1000001	1250000	1	1153534	1161642
01e	153933	153936	1000001	1250000	1	1153933	1153936
01e	154832	161642	1000001	1250000	1	1154832	1161642
01e	155522	160139	1000001	1250000	1	1155522	1160139
01e	156221	158371	1000001	1250000	1	1156221	1158371
01e	156356	156376	1000001	1250000	1	1156356	1156376
01e	156356	156376	1000001	1250000	1	1156356	1156376
01e	156817	161384	1000001	1250000	1	1156817	1161384
01e	156866	159049	1000001	1250000	1	1156866	1159049
01e	156968	160723	1000001	1250000	1	1156968	1160723
01e	157028	157507	1000001	1250000	1	1157028	1157507
01e	157507	159049	1000001	1250000	1	1157507	1159049
01e	158185	158753	1000001	1250000	1	1158185	1158753
01e	158447	158924	1000001	1250000	1	1158447	1158924
01e	158752	158753	1000001	1250000	1	1158752	1158753
01e	159081	159706	1000001	1250000	1	1159081	1159706
01e	159564	160723	1000001	1250000	1	1159564	1160723
01e	159564	161679	1000001	1250000	1	1159564	1161679
01e	159624	167234	1000001	1250000	1	1159624	1167234
01e	160821	164630	1000001	1250000	1	1160821	1164630
01e	162030	167234	1000001	1250000	1	1162030	1167234
01e	165943	174848	1000001	1250000	1	1165943	1174848
01e	165943	172346	1000001	1250000	1	1165943	1172346
01e	166952	173108	1000001	1250000	1	1166952	1173108
01e	169112	173340	1000001	1250000	1	1169112	1173340
01e	170617	171247	1000001	1250000	1	1170617	1171247
01e	170990	171247	1000001	1250000	1	1170990	1171247
01e	170990	171006	1000001	1250000	1	1170990	1171006
01e	173937	176705	1000001	1250000	1	1173937	1176705
01e	174267	186704	1000001	1250000	1	1174267	1186704
01e	175938	176334	1000001	1250000	1	1175938	1176334
01e	175938	180540	1000001	1250000	1	1175938	1180540
01e	176544	178742	1000001	1250000	1	1176544	1178742
01e	178161	178495	1000001	1250000	1	1178161	1178495
01e	178495	189714	1000001	1250000	1	1178495	1189714
01e	178495	178742	1000001	1250000	1	1178495	1178742
01e	180499	180540	1000001	1250000	1	1180499	1180540
01e	180944	181051	1000001	1250000	1	1180944	1181051
01e	181051	182467	1000001	1250000	1	1181051	1182467
01e	181282	186847	1000001	1250000	1	1181282	1186847
01e	181282	191457	1000001	1250000	1	1181282	1191457
01e	183521	183551	1000001	1250000	1	1183521	1183551
01e	184650	184878	1000001	1250000	1	1184650	1184878
01e	187351	187552	1000001	1250000	1	1187351	1187552
01e	188083	211199	1000001	1250000	1	1188083	1211199
01e	190029	193101	1000001	1250000	1	1190029	1193101
01e	191545	191628	1000001	1250000	1	1191545	1191628
01e	192229	192233	1000001	1250000	1	1192229	1192233
01e	193447	194749	1000001	1250000	1	1193447	1194749
01e	193536	194286	1000001	1250000	1	1193536	1194286
01e	194603	196308	1000001	1250000	1	1194603	1196308
01e	195619	195670	1000001	1250000	1	1195619	1195670
01e	201637	206488	1000001	1250000	1	1201637	1206488
01e	203551	204793	1000001	1250000	1	1203551	1204793
01e	203551	206007	1000001	1250000	1	1203551	1206007
01e	204793	209098	1000001	1250000	1	1204793	1209098
01e	205684	216953	1000001	1250000	1	1205684	1216953
01e	206472	206488	1000001	1250000	1	1206472	1206488
01e	207148	207684	1000001	1250000	1	1207148	1207684
01e	207570	243804	1000001	1250000	1	1207570	1243804
01e	212276	212278	1000001	1250000	1	1212276	1212278
01e	217168	217182	1000001	1250000	1	1217168	1217182
01e	217168	244660	1000001	1250000	1	1217168	1244660
01e	217168	246168	1000001	1250000	1	1217168	1246168
01e	220184	230995	1000001	1250000	1	1220184	1230995
01e	221633	221719	1000001	1250000	1	1221633	1221719
01e	227618	242842	1000001	1250000	1	1227618	1242842
01e	228653	229821	1000001	1250000	1	1228653	1229821
01e	228653	228654	1000001	1250000	1	1228653	1228654
01e	231136	231654	1000001	1250000	1	1231136	1231654
01e	241284	242025	1000001	1250000	1	1241284	1242025
01e	244545	246496	1000001	1250000	1	1244545	1246496
01e	245358	246637	1000001	1250000	1	1245358	1246637
01f	1691	4749	1250001	1500000	1	1251691	1254749
01f	3009	4247	1250001	1500000	1	1253009	1254247
01f	3245	6817	1250001	1500000	1	1253245	1256817
01f	4247	40059	1250001	1500000	1	1254247	1290059
01f	5974	6036	1250001	1500000	1	1255974	1256036
01f	8180	20604	1250001	1500000	1	1258180	1270604
01f	12096	12265	1250001	1500000	1	1262096	1262265
01f	12752	32117	1250001	1500000	1	1262752	1282117
01f	14612	24648	1250001	1500000	1	1264612	1274648
01f	17720	43113	1250001	1500000	1	1267720	1293113
01f	19163	22244	1250001	1500000	1	1269163	1272244
01f	19778	27591	1250001	1500000	1	1269778	1277591
01f	20604	22373	1250001	1500000	1	1270604	1272373
01f	22244	34601	1250001	1500000	1	1272244	1284601
01f	22244	22902	1250001	1500000	1	1272244	1272902
01f	22373	32117	1250001	1500000	1	1272373	1282117
01f	22378	32862	1250001	1500000	1	1272378	1282862
01f	23118	38613	1250001	1500000	1	1273118	1288613
