SubRegion	GC_Beg	GC_End	TL_Beg	TL_End	TL_Ori	ABeg	AEnd
01b	122395	154028	250001	500000	1	372395	404028
01b	122671	138030	250001	500000	1	372671	388030
01b	122671	142682	250001	500000	1	372671	392682
01b	123671	225461	250001	500000	1	373671	475461
01b	123885	138030	250001	500000	1	373885	388030
01b	123885	124173	250001	500000	1	373885	374173
01b	125807	125818	250001	500000	1	375807	375818
01b	134122	202731	250001	500000	1	384122	452731
01b	134646	134661	250001	500000	1	384646	384661
01b	136906	142682	250001	500000	1	386906	392682
01b	142677	142682	250001	500000	1	392677	392682
01b	147648	148010	250001	500000	1	397648	398010
01b	147648	149858	250001	500000	1	397648	399858
01b	148009	148010	250001	500000	1	398009	398010
01b	152392	172215	250001	500000	1	402392	422215
01b	158311	172215	250001	500000	1	408311	422215
01b	158311	160030	250001	500000	1	408311	410030
01b	158311	166050	250001	500000	1	408311	416050
01b	164023	172241	250001	500000	1	414023	422241
01b	164023	225461	250001	500000	1	414023	475461
01b	172241	189146	250001	500000	1	422241	439146
01b	172241	193520	250001	500000	1	422241	443520
01b	181258	185162	250001	500000	1	431258	435162
01b	185691	185755	250001	500000	1	435691	435755
01b	188664	191380	250001	500000	1	438664	441380
01b	190756	194262	250001	500000	1	440756	444262
01b	190756	190980	250001	500000	1	440756	440980
01b	196318	197990	250001	500000	1	446318	447990
01b	196338	197124	250001	500000	1	446338	447124
01b	202878	203565	250001	500000	1	452878	453565
01b	223384	244502	250001	500000	1	473384	494502
01b	243193	245018	250001	500000	1	493193	495018
01c	29600	29765	500001	750000	1	529600	529765
01c	29864	35801	500001	750000	1	529864	535801
01c	29864	32689	500001	750000	1	529864	532689
01c	29864	29865	500001	750000	1	529864	529865
01c	30858	32689	500001	750000	1	530858	532689
01c	32689	34802	500001	750000	1	532689	534802
01c	35797	35801	500001	750000	1	535797	535801
01c	37059	49987	500001	750000	1	537059	549987
01c	37059	37661	500001	750000	1	537059	537661
01c	43696	43699	500001	750000	1	543696	543699
01c	50168	137225	500001	750000	1	550168	637225
01c	59684	67475	500001	750000	1	559684	567475
01c	59684	64005	500001	750000	1	559684	564005
01c	59684	67663	500001	750000	1	559684	567663
01c	65658	69389	500001	750000	1	565658	569389
01c	66194	131463	500001	750000	1	566194	631463
01c	66194	66196	500001	750000	1	566194	566196
01c	74432	74780	500001	750000	1	574432	574780
01c	74780	105184	500001	750000	1	574780	605184
01c	75881	88134	500001	750000	1	575881	588134
01c	76464	76637	500001	750000	1	576464	576637
01c	80434	80461	500001	750000	1	580434	580461
01c	89920	91598	500001	750000	1	589920	591598
01c	91598	169359	500001	750000	1	591598	669359
01c	98649	102832	500001	750000	1	598649	602832
01c	100728	102832	500001	750000	1	600728	602832
01c	105184	108323	500001	750000	1	605184	608323
01c	109306	113662	500001	750000	1	609306	613662
01c	114669	114698	500001	750000	1	614669	614698
01c	129016	129042	500001	750000	1	629016	629042
01c	129911	136836	500001	750000	1	629911	636836
01c	129911	139432	500001	750000	1	629911	639432
01c	129911	146428	500001	750000	1	629911	646428
01c	130667	153254	500001	750000	1	630667	653254
01c	131422	140071	500001	750000	1	631422	640071
01c	133180	142565	500001	750000	1	633180	642565
01c	137225	174573	500001	750000	1	637225	674573
01c	140288	146428	500001	750000	1	640288	646428
01c	141588	141719	500001	750000	1	641588	641719
01c	141710	141719	500001	750000	1	641710	641719
01c	142488	142565	500001	750000	1	642488	642565
01c	145793	153254	500001	750000	1	645793	653254
01c	148902	152851	500001	750000	1	648902	652851
01c	148902	149511	500001	750000	1	648902	649511
01c	154722	198074	500001	750000	1	654722	698074
01c	154781	155782	500001	750000	1	654781	655782
01c	155782	157768	500001	750000	1	655782	657768
01c	156721	173922	500001	750000	1	656721	673922
01c	171684	179881	500001	750000	1	671684	679881
01c	173236	177027	500001	750000	1	673236	677027
01c	174573	220429	500001	750000	1	674573	720429
01c	178112	182900	500001	750000	1	678112	682900
01c	179296	202448	500001	750000	1	679296	702448
01c	182277	184932	500001	750000	1	682277	684932
01c	185083	242873	500001	750000	1	685083	742873
01c	185680	188388	500001	750000	1	685680	688388
01c	194800	194825	500001	750000	1	694800	694825
01c	194800	194805	500001	750000	1	694800	694805
01c	198259	221952	500001	750000	1	698259	721952
01c	202448	203949	500001	750000	1	702448	703949
01c	203949	211541	500001	750000	1	703949	711541
01c	205127	222528	500001	750000	1	705127	722528
01c	218268	219088	500001	750000	1	718268	719088
01c	219184	219187	500001	750000	1	719184	719187
01c	219489	244209	500001	750000	1	719489	744209
01c	220429	234557	500001	750000	1	720429	734557
01c	233172	238150	500001	750000	1	733172	738150
01c	235082	246190	500001	750000	1	735082	746190
01c	236710	237187	500001	750000	1	736710	737187
01c	237515	246190	500001	750000	1	737515	746190
01c	238852	240672	500001	750000	1	738852	740672
01c	240596	249990	500001	750000	1	740596	749990
01c	241370	242574	500001	750000	1	741370	742574
01c	242613	244824	500001	750000	1	742613	744824
01c	245251	245252	500001	750000	1	745251	745252
01c	246271	249990	500001	750000	1	746271	749990
01d	386	38994	750001	1000000	1	750386	788994
01d	1471	26558	750001	1000000	1	751471	776558
01d	2017	5023	750001	1000000	1	752017	755023
01d	2017	28834	750001	1000000	1	752017	778834
01d	2240	2633	750001	1000000	1	752240	752633
01d	2240	2270	750001	1000000	1	752240	752270
01d	2614	4074	750001	1000000	1	752614	754074
01d	3206	34032	750001	1000000	1	753206	784032
01d	3395	8411	750001	1000000	1	753395	758411
01d	6084	11410	750001	1000000	1	756084	761410
01d	13947	77582	750001	1000000	1	763947	827582
01d	18081	61039	750001	1000000	1	768081	811039
01d	18081	29918	750001	1000000	1	768081	779918
01d	29480	44880	750001	1000000	1	779480	794880
01d	31421	33717	750001	1000000	1	781421	783717
01d	31539	31605	750001	1000000	1	781539	781605
01d	32933	41839	750001	1000000	1	782933	791839
01d	43940	52326	750001	1000000	1	793940	802326
01d	43943	51120	750001	1000000	1	793943	801120
01d	55021	56033	750001	1000000	1	805021	806033
01d	60439	113247	750001	1000000	1	810439	863247
01d	60734	64116	750001	1000000	1	810734	814116
01d	61731	248853	750001	1000000	1	811731	998853
01d	61731	69989	750001	1000000	1	811731	819989
01d	75179	75201	750001	1000000	1	825179	825201
01d	76292	76322	750001	1000000	1	826292	826322
01d	78889	82891	750001	1000000	1	828889	832891
01d	79733	97725	750001	1000000	1	829733	847725
01d	79827	79856	750001	1000000	1	829827	829856
01d	80454	111251	750001	1000000	1	830454	861251
01d	80920	80959	750001	1000000	1	830920	830959
01d	84342	90814	750001	1000000	1	834342	840814
01d	85930	105843	750001	1000000	1	835930	855843
01d	89836	94625	750001	1000000	1	839836	844625
01d	91132	95999	750001	1000000	1	841132	845999
01d	91917	94739	750001	1000000	1	841917	844739
01d	92874	92886	750001	1000000	1	842874	842886
01d	95693	95969	750001	1000000	1	845693	845969
01d	98858	99184	750001	1000000	1	848858	849184
01d	99158	99495	750001	1000000	1	849158	849495
01d	105843	113447	750001	1000000	1	855843	863447
01d	112812	113074	750001	1000000	1	862812	863074
01d	114777	120435	750001	1000000	1	864777	870435
01d	115264	117603	750001	1000000	1	865264	867603
01d	116604	125208	750001	1000000	1	866604	875208
01d	122932	122967	750001	1000000	1	872932	872967
01d	122932	127835	750001	1000000	1	872932	877835
01d	125674	140977	750001	1000000	1	875674	890977
01d	126914	130701	750001	1000000	1	876914	880701
01d	127590	127598	750001	1000000	1	877590	877598
01d	127835	127955	750001	1000000	1	877835	877955
01d	130875	134820	750001	1000000	1	880875	884820
01d	132278	133680	750001	1000000	1	882278	883680
01d	133680	138534	750001	1000000	1	883680	888534
01d	135833	143134	750001	1000000	1	885833	893134
01d	137148	137277	750001	1000000	1	887148	887277
01d	140556	157017	750001	1000000	1	890556	907017
01d	147873	149760	750001	1000000	1	897873	899760
01d	147873	150137	750001	1000000	1	897873	900137
01d	149513	157605	750001	1000000	1	899513	907605
01d	157660	161477	750001	1000000	1	907660	911477
01d	160048	161859	750001	1000000	1	910048	911859
01d	166946	170428	750001	1000000	1	916946	920428
01d	168471	169325	750001	1000000	1	918471	919325
01d	172362	176545	750001	1000000	1	922362	926545
01d	175315	175868	750001	1000000	1	925315	925868
01d	175315	176545	750001	1000000	1	925315	926545
01d	175364	179756	750001	1000000	1	925364	929756
01d	185389	185397	750001	1000000	1	935389	935397
01d	193770	194024	750001	1000000	1	943770	944024
01d	194976	200063	750001	1000000	1	944976	950063
01d	195311	198024	750001	1000000	1	945311	948024
01d	196021	196087	750001	1000000	1	946021	946087
01d	196160	203963	750001	1000000	1	946160	953963
01d	196577	205059	750001	1000000	1	946577	955059
01d	196577	200856	750001	1000000	1	946577	950856
01d	196654	196655	750001	1000000	1	946654	946655
01d	199014	199034	750001	1000000	1	949014	949034
01d	199334	199748	750001	1000000	1	949334	949748
01d	202334	204909	750001	1000000	1	952334	954909
01d	205772	208590	750001	1000000	1	955772	958590
01d	207326	211087	750001	1000000	1	957326	961087
01d	207616	211087	750001	1000000	1	957616	961087
01d	208567	208590	750001	1000000	1	958567	958590
01d	210139	219170	750001	1000000	1	960139	969170
01d	213657	220307	750001	1000000	1	963657	970307
01d	213706	214618	750001	1000000	1	963706	964618
01d	213801	220307	750001	1000000	1	963801	970307
01d	213801	218908	750001	1000000	1	963801	968908
01d	220029	220307	750001	1000000	1	970029	970307
01d	222233	222865	750001	1000000	1	972233	972865
01d	224578	237957	750001	1000000	1	974578	987957
01d	229129	235397	750001	1000000	1	979129	985397
01d	229253	231126	750001	1000000	1	979253	981126
01d	230234	231066	750001	1000000	1	980234	981066
01d	231126	234070	750001	1000000	1	981126	984070
01d	238965	240129	750001	1000000	1	988965	990129
01d	239518	240952	750001	1000000	1	989518	990952
01d	241147	242982	750001	1000000	1	991147	992982
01d	242922	246051	750001	1000000	1	992922	996051
01d	242922	242999	750001	1000000	1	992922	992999
01e	2942	4752	1000001	1250000	1	1002942	1004752
01e	6899	6971	1000001	1250000	1	1006899	1006971
01e	11788	11789	1000001	1250000	1	1011788	1011789
01e	12517	21737	1000001	1250000	1	1012517	1021737
01e	12517	15172	1000001	1250000	1	1012517	1015172
01e	16495	21737	1000001	1250000	1	1016495	1021737
01e	24413	25534	1000001	1250000	1	1024413	1025534
01e	26086	26101	1000001	1250000	1	1026086	1026101
01e	28383	43049	1000001	1250000	1	1028383	1043049
01e	31360	109279	1000001	1250000	1	1031360	1109279
01e	31360	66582	1000001	1250000	1	1031360	1066582
01e	41915	42434	1000001	1250000	1	1041915	1042434
01e	43320	44166	1000001	1250000	1	1043320	1044166
01e	45420	57383	1000001	1250000	1	1045420	1057383
01e	46953	48582	1000001	1250000	1	1046953	1048582
01e	47404	76358	1000001	1250000	1	1047404	1076358
01e	47404	60808	1000001	1250000	1	1047404	1060808
01e	53676	54663	1000001	1250000	1	1053676	1054663
01e	68162	69644	1000001	1250000	1	1068162	1069644
01e	74441	74459	1000001	1250000	1	1074441	1074459
01e	77686	78097	1000001	1250000	1	1077686	1078097
01e	77934	77953	1000001	1250000	1	1077934	1077953
01e	82845	83102	1000001	1250000	1	1082845	1083102
01e	86539	86583	1000001	1250000	1	1086539	1086583
01e	93023	93156	1000001	1250000	1	1093023	1093156
01e	93723	93726	1000001	1250000	1	1093723	1093726
01e	94547	103719	1000001	1250000	1	1094547	1103719
01e	96278	100022	1000001	1250000	1	1096278	1100022
01e	99276	99748	1000001	1250000	1	1099276	1099748
01e	106661	106664	1000001	1250000	1	1106661	1106664
01e	107869	108260	1000001	1250000	1	1107869	1108260
01e	108615	108687	1000001	1250000	1	1108615	1108687
01e	108968	109279	1000001	1250000	1	1108968	1109279
01e	109690	109691	1000001	1250000	1	1109690	1109691
01e	110552	110903	1000001	1250000	1	1110552	1110903
01e	111007	111008	1000001	1250000	1	1111007	1111008
01e	111094	122083	1000001	1250000	1	1111094	1122083
01e	111526	121637	1000001	1250000	1	1111526	1121637
01e	121867	122321	1000001	1250000	1	1121867	1122321
01e	122083	122502	1000001	1250000	1	1122083	1122502
01e	122083	124191	1000001	1250000	1	1122083	1124191
01e	122217	122321	1000001	1250000	1	1122217	1122321
01e	122243	122249	1000001	1250000	1	1122243	1122249
01e	122443	124191	1000001	1250000	1	1122443	1124191
01e	128807	128816	1000001	1250000	1	1128807	1128816
01e	128816	128911	1000001	1250000	1	1128816	1128911
01e	130930	132286	1000001	1250000	1	1130930	1132286
01e	130958	132286	1000001	1250000	1	1130958	1132286
01e	131669	132115	1000001	1250000	1	1131669	1132115
01e	131870	132115	1000001	1250000	1	1131870	1132115
01e	132326	134205	1000001	1250000	1	1132326	1134205
01e	134156	141957	1000001	1250000	1	1134156	1141957
01e	137581	148247	1000001	1250000	1	1137581	1148247
01e	138313	139716	1000001	1250000	1	1138313	1139716
01e	139716	141825	1000001	1250000	1	1139716	1141825
01e	140471	243199	1000001	1250000	1	1140471	1243199
01e	140599	140601	1000001	1250000	1	1140599	1140601
01e	142426	149658	1000001	1250000	1	1142426	1149658
01e	147608	147648	1000001	1250000	1	1147608	1147648
01e	148150	149771	1000001	1250000	1	1148150	1149771
01e	149210	149262	1000001	1250000	1	1149210	1149262
01e	149573	153654	1000001	1250000	1	1149573	1153654
01e	152448	152490	1000001	1250000	1	1152448	1152490
01e	156015	156570	1000001	1250000	1	1156015	1156570
01e	156556	156580	1000001	1250000	1	1156556	1156580
01e	157077	157081	1000001	1250000	1	1157077	1157081
01e	157565	171793	1000001	1250000	1	1157565	1171793
01e	159348	163191	1000001	1250000	1	1159348	1163191
01e	160476	162142	1000001	1250000	1	1160476	1162142
01e	162404	162990	1000001	1250000	1	1162404	1162990
01e	162531	164813	1000001	1250000	1	1162531	1164813
01e	167208	173624	1000001	1250000	1	1167208	1173624
01e	175661	176523	1000001	1250000	1	1175661	1176523
01e	176439	183318	1000001	1250000	1	1176439	1183318
01e	177245	178814	1000001	1250000	1	1177245	1178814
01e	179102	183214	1000001	1250000	1	1179102	1183214
01e	179811	180073	1000001	1250000	1	1179811	1180073
01e	179811	179838	1000001	1250000	1	1179811	1179838
01e	181768	181907	1000001	1250000	1	1181768	1181907
01e	182675	183249	1000001	1250000	1	1182675	1183249
01e	183214	184878	1000001	1250000	1	1183214	1184878
01e	183318	191484	1000001	1250000	1	1183318	1191484
01e	184294	184650	1000001	1250000	1	1184294	1184650
01e	186847	194249	1000001	1250000	1	1186847	1194249
01e	189091	189114	1000001	1250000	1	1189091	1189114
01e	189091	189823	1000001	1250000	1	1189091	1189823
01e	190334	195930	1000001	1250000	1	1190334	1195930
01e	191484	198864	1000001	1250000	1	1191484	1198864
01e	196009	197726	1000001	1250000	1	1196009	1197726
01e	196953	198565	1000001	1250000	1	1196953	1198565
01e	199764	201100	1000001	1250000	1	1199764	1201100
01e	200583	200588	1000001	1250000	1	1200583	1200588
01e	201182	203675	1000001	1250000	1	1201182	1203675
01e	204394	204401	1000001	1250000	1	1204394	1204401
01e	205051	206488	1000001	1250000	1	1205051	1206488
01e	206472	206488	1000001	1250000	1	1206472	1206488
01e	206719	206997	1000001	1250000	1	1206719	1206997
01e	208884	213251	1000001	1250000	1	1208884	1213251
01e	210071	211199	1000001	1250000	1	1210071	1211199
01e	210071	213800	1000001	1250000	1	1210071	1213800
01e	210481	213972	1000001	1250000	1	1210481	1213972
01e	210481	212497	1000001	1250000	1	1210481	1212497
01e	212497	224734	1000001	1250000	1	1212497	1224734
01e	214254	214259	1000001	1250000	1	1214254	1214259
01e	214438	215548	1000001	1250000	1	1214438	1215548
01e	222945	227618	1000001	1250000	1	1222945	1227618
01e	228768	229034	1000001	1250000	1	1228768	1229034
01e	229721	229821	1000001	1250000	1	1229721	1229821
01e	232050	232067	1000001	1250000	1	1232050	1232067
01e	240595	240610	1000001	1250000	1	1240595	1240610
01e	246209	246468	1000001	1250000	1	1246209	1246468
01e	249009	249019	1000001	1250000	1	1249009	1249019
01e	249096	249109	1000001	1250000	1	1249096	1249109
01f	1771	29654	1250001	1500000	1	1251771	1279654
01f	3208	3595	1250001	1500000	1	1253208	1253595
01f	5509	22746	1250001	1500000	1	1255509	1272746
01f	5509	20029	1250001	1500000	1	1255509	1270029
01f	9639	9640	1250001	1500000	1	1259639	1259640
01f	10041	13088	1250001	1500000	1	1260041	1263088
01f	12297	28918	1250001	1500000	1	1262297	1278918
01f	12297	37325	1250001	1500000	1	1262297	1287325
01f	15459	39432	1250001	1500000	1	1265459	1289432
01f	19593	19843	1250001	1500000	1	1269593	1269843
01f	19778	20074	1250001	1500000	1	1269778	1270074
01f	20029	22746	1250001	1500000	1	1270029	1272746
01f	21693	27675	1250001	1500000	1	1271693	1277675
01f	25489	29654	1250001	1500000	1	1275489	1279654
01f	26331	28415	1250001	1500000	1	1276331	1278415
01f	28425	28547	1250001	1500000	1	1278425	1278547
01f	30614	30620	1250001	1500000	1	1280614	1280620
01f	31471	33567	1250001	1500000	1	1281471	1283567
01f	32892	32965	1250001	1500000	1	1282892	1282965
01f	32959	32965	1250001	1500000	1	1282959	1282965
01f	33556	33567	1250001	1500000	1	1283556	1283567
01f	34284	35281	1250001	1500000	1	1284284	1285281
01f	37179	37325	1250001	1500000	1	1287179	1287325
01f	38834	39432	1250001	1500000	1	1288834	1289432
01f	39406	39432	1250001	1500000	1	1289406	1289432
01f	41263	44611	1250001	1500000	1	1291263	1294611
01f	43160	44611	1250001	1500000	1	1293160	1294611
01f	43312	49335	1250001	1500000	1	1293312	1299335
01f	52054	52103	1250001	1500000	1	1302054	1302103
01f	52150	57546	1250001	1500000	1	1302150	1307546
01f	52836	64365	1250001	1500000	1	1302836	1314365
01f	55182	59741	1250001	1500000	1	1305182	1309741
01f	56045	57546	1250001	1500000	1	1306045	1307546
01f	56208	57546	1250001	1500000	1	1306208	1307546
01f	59155	59483	1250001	1500000	1	1309155	1309483
01f	60822	61863	1250001	1500000	1	1310822	1311863
01f	60876	63914	1250001	1500000	1	1310876	1313914
01f	62664	186943	1250001	1500000	1	1312664	1436943
01f	63815	69248	1250001	1500000	1	1313815	1319248
01f	64365	69248	1250001	1500000	1	1314365	1319248
01f	66913	73169	1250001	1500000	1	1316913	1323169
01f	66913	67054	1250001	1500000	1	1316913	1317054
01f	67158	67759	1250001	1500000	1	1317158	1317759
01f	67670	80015	1250001	1500000	1	1317670	1330015
01f	68511	68602	1250001	1500000	1	1318511	1318602
01f	69200	69557	1250001	1500000	1	1319200	1319557
01f	72061	72216	1250001	1500000	1	1322061	1322216
01f	75233	75341	1250001	1500000	1	1325233	1325341
01f	75287	75341	1250001	1500000	1	1325287	1325341
01f	77164	77195	1250001	1500000	1	1327164	1327195
01f	77498	77503	1250001	1500000	1	1327498	1327503
01f	79883	80526	1250001	1500000	1	1329883	1330526
01f	82340	91150	1250001	1500000	1	1332340	1341150
01f	82573	84057	1250001	1500000	1	1332573	1334057
01f	83432	83512	1250001	1500000	1	1333432	1333512
01f	87628	89361	1250001	1500000	1	1337628	1339361
01f	87790	93682	1250001	1500000	1	1337790	1343682
01f	92418	93229	1250001	1500000	1	1342418	1343229
01f	96471	102145	1250001	1500000	1	1346471	1352145
01f	97353	100301	1250001	1500000	1	1347353	1350301
01f	97545	97546	1250001	1500000	1	1347545	1347546
01f	99588	99698	1250001	1500000	1	1349588	1349698
01f	102334	107696	1250001	1500000	1	1352334	1357696
01f	105172	106335	1250001	1500000	1	1355172	1356335
01f	106335	112509	1250001	1500000	1	1356335	1362509
01f	107118	107119	1250001	1500000	1	1357118	1357119
01f	110579	112162	1250001	1500000	1	1360579	1362162
01f	111390	112085	1250001	1500000	1	1361390	1362085
01f	115807	151257	1250001	1500000	1	1365807	1401257
01f	117937	118658	1250001	1500000	1	1367937	1368658
01f	120651	125410	1250001	1500000	1	1370651	1375410
01f	122603	127192	1250001	1500000	1	1372603	1377192
01f	126652	134057	1250001	1500000	1	1376652	1384057
01f	135615	164694	1250001	1500000	1	1385615	1414694
01f	141438	144025	1250001	1500000	1	1391438	1394025
01f	141799	143974	1250001	1500000	1	1391799	1393974
01f	142558	143541	1250001	1500000	1	1392558	1393541
01f	143617	166456	1250001	1500000	1	1393617	1416456
01f	146138	146390	1250001	1500000	1	1396138	1396390
01f	147209	150080	1250001	1500000	1	1397209	1400080
01f	150249	152670	1250001	1500000	1	1400249	1402670
01f	152801	152819	1250001	1500000	1	1402801	1402819
01f	152803	152819	1250001	1500000	1	1402803	1402819
01f	153262	155641	1250001	1500000	1	1403262	1405641
01f	161288	162991	1250001	1500000	1	1411288	1412991
01f	161783	162991	1250001	1500000	1	1411783	1412991
01f	164336	179627	1250001	1500000	1	1414336	1429627
01f	164468	185562	1250001	1500000	1	1414468	1435562
01f	166432	166495	1250001	1500000	1	1416432	1416495
01f	172454	179040	1250001	1500000	1	1422454	1429040
01f	174589	175240	1250001	1500000	1	1424589	1425240
01f	178803	191424	1250001	1500000	1	1428803	1441424
01f	183418	194064	1250001	1500000	1	1433418	1444064
01f	183775	184351	1250001	1500000	1	1433775	1434351
01f	189397	190742	1250001	1500000	1	1439397	1440742
01f	190335	191424	1250001	1500000	1	1440335	1441424
01f	191005	193090	1250001	1500000	1	1441005	1443090
01f	193254	193354	1250001	1500000	1	1443254	1443354
01f	194064	199651	1250001	1500000	1	1444064	1449651
01f	196421	204460	1250001	1500000	1	1446421	1454460
01f	197065	197066	1250001	1500000	1	1447065	1447066
01f	199041	199596	1250001	1500000	1	1449041	1449596
01f	200207	201253	1250001	1500000	1	1450207	1451253
01f	204869	233502	1250001	1500000	1	1454869	1483502
01f	205118	205120	1250001	1500000	1	1455118	1455120
01f	205546	206310	1250001	1500000	1	1455546	1456310
01f	209589	225544	1250001	1500000	1	1459589	1475544
01f	211607	211636	1250001	1500000	1	1461607	1461636
01f	212308	212537	1250001	1500000	1	1462308	1462537
01f	218375	218495	1250001	1500000	1	1468375	1468495
01f	223280	224565	1250001	1500000	1	1473280	1474565
01f	225826	226528	1250001	1500000	1	1475826	1476528
01f	228114	230429	1250001	1500000	1	1478114	1480429
01f	230538	230660	1250001	1500000	1	1480538	1480660
01f	238048	240039	1250001	1500000	1	1488048	1490039
01f	244494	249963	1250001	1500000	1	1494494	1499963
01f	247394	247397	1250001	1500000	1	1497394	1497397
01g	549	848	1500001	1768582	1	1500549	1500848
01g	848	37134	1500001	1768582	1	1500848	1537134
01g	848	4554	1500001	1768582	1	1500848	1504554
01g	1879	1915	1500001	1768582	1	1501879	1501915
01g	2989	4063	1500001	1768582	1	1502989	1504063
01g	3644	3784	1500001	1768582	1	1503644	1503784
01g	5637	9955	1500001	1768582	1	1505637	1509955
01g	5998	28387	1500001	1768582	1	1505998	1528387
01g	6291	7145	1500001	1768582	1	1506291	1507145
01g	6291	6899	1500001	1768582	1	1506291	1506899
01g	10308	11086	1500001	1768582	1	1510308	1511086
01g	12931	28387	1500001	1768582	1	1512931	1528387
01g	12931	20035	1500001	1768582	1	1512931	1520035
01g	14856	19459	1500001	1768582	1	1514856	1519459
01g	14931	19623	1500001	1768582	1	1514931	1519623
01g	15869	16160	1500001	1768582	1	1515869	1516160
01g	17927	18025	1500001	1768582	1	1517927	1518025
01g	22698	24664	1500001	1768582	1	1522698	1524664
01g	28245	35372	1500001	1768582	1	1528245	1535372
01g	29234	29437	1500001	1768582	1	1529234	1529437
01g	29438	31110	1500001	1768582	1	1529438	1531110
01g	30281	30829	1500001	1768582	1	1530281	1530829
01g	31733	41204	1500001	1768582	1	1531733	1541204
01g	31733	31869	1500001	1768582	1	1531733	1531869
01g	31925	31932	1500001	1768582	1	1531925	1531932
01g	35766	36475	1500001	1768582	1	1535766	1536475
01g	35996	35997	1500001	1768582	1	1535996	1535997
01g	37131	37134	1500001	1768582	1	1537131	1537134
01g	37585	53160	1500001	1768582	1	1537585	1553160
01g	41099	53160	1500001	1768582	1	1541099	1553160
01g	44079	44439	1500001	1768582	1	1544079	1544439
01g	45006	46293	1500001	1768582	1	1545006	1546293
01g	45563	48323	1500001	1768582	1	1545563	1548323
01g	54170	54272	1500001	1768582	1	1554170	1554272
01g	56257	56597	1500001	1768582	1	1556257	1556597
01g	56338	57165	1500001	1768582	1	1556338	1557165
01g	56553	57059	1500001	1768582	1	1556553	1557059
01g	57788	57802	1500001	1768582	1	1557788	1557802
01g	60099	60136	1500001	1768582	1	1560099	1560136
01g	61347	61888	1500001	1768582	1	1561347	1561888
01g	63373	75909	1500001	1768582	1	1563373	1575909
01g	63432	64110	1500001	1768582	1	1563432	1564110
01g	64469	65229	1500001	1768582	1	1564469	1565229
01g	67397	67463	1500001	1768582	1	1567397	1567463
01g	67576	69003	1500001	1768582	1	1567576	1569003
01g	69090	69226	1500001	1768582	1	1569090	1569226
01g	71353	71531	1500001	1768582	1	1571353	1571531
01g	99985	245282	1500001	1768582	1	1599985	1745282
01g	102527	104332	1500001	1768582	1	1602527	1604332
01g	103805	183225	1500001	1768582	1	1603805	1683225
01g	103883	104364	1500001	1768582	1	1603883	1604364
01g	107918	115189	1500001	1768582	1	1607918	1615189
01g	108703	108711	1500001	1768582	1	1608703	1608711
01g	114778	114792	1500001	1768582	1	1614778	1614792
01g	121022	122157	1500001	1768582	1	1621022	1622157
01g	129701	131182	1500001	1768582	1	1629701	1631182
01g	140317	140339	1500001	1768582	1	1640317	1640339
01g	155067	155070	1500001	1768582	1	1655067	1655070
01g	156141	156165	1500001	1768582	1	1656141	1656165
01g	162227	184328	1500001	1768582	1	1662227	1684328
01g	181474	183225	1500001	1768582	1	1681474	1683225
01g	182180	182807	1500001	1768582	1	1682180	1682807
01g	184144	184146	1500001	1768582	1	1684144	1684146
01g	184328	194537	1500001	1768582	1	1684328	1694537
