SubRegion	GC_Beg	GC_End	CH_Beg	CH_End	CH_Ori	ABeg	AEnd
01c	75211	227429	500001	750000	1	575211	727429
01c	76332	76429	500001	750000	1	576332	576429
01c	80929	105184	500001	750000	1	580929	605184
01c	81682	81690	500001	750000	1	581682	581690
01c	84383	94944	500001	750000	1	584383	594944
01c	97680	119432	500001	750000	1	597680	619432
01c	98649	99862	500001	750000	1	598649	599862
01c	106861	106897	500001	750000	1	606861	606897
01c	112079	114698	500001	750000	1	612079	614698
01c	113234	119432	500001	750000	1	613234	619432
01c	114669	114698	500001	750000	1	614669	614698
01c	116986	148315	500001	750000	1	616986	648315
01c	124195	127763	500001	750000	1	624195	627763
01c	130667	132315	500001	750000	1	630667	632315
01c	131422	141689	500001	750000	1	631422	641689
01c	132305	132315	500001	750000	1	632305	632315
01c	133614	133635	500001	750000	1	633614	633635
01c	135934	135938	500001	750000	1	635934	635938
01c	139553	141689	500001	750000	1	639553	641689
01c	146428	158549	500001	750000	1	646428	658549
01c	150132	150411	500001	750000	1	650132	650411
01c	150153	150411	500001	750000	1	650153	650411
01c	154781	154784	500001	750000	1	654781	654784
01c	156978	158995	500001	750000	1	656978	658995
01c	165324	165624	500001	750000	1	665324	665624
01c	173723	187250	500001	750000	1	673723	687250
01c	177773	187250	500001	750000	1	677773	687250
01c	177773	211235	500001	750000	1	677773	711235
01c	180361	180895	500001	750000	1	680361	680895
01c	189173	190755	500001	750000	1	689173	690755
01c	190217	190222	500001	750000	1	690217	690222
01c	195977	215849	500001	750000	1	695977	715849
01c	198124	246190	500001	750000	1	698124	746190
01c	198124	201775	500001	750000	1	698124	701775
01c	211047	211235	500001	750000	1	711047	711235
01c	219606	221644	500001	750000	1	719606	721644
01c	219606	225176	500001	750000	1	719606	725176
01c	221644	245962	500001	750000	1	721644	745962
01c	227429	237997	500001	750000	1	727429	737997
01c	229108	243891	500001	750000	1	729108	743891
01c	229108	237187	500001	750000	1	729108	737187
01c	229108	240436	500001	750000	1	729108	740436
01c	232276	232277	500001	750000	1	732276	732277
01c	235064	244824	500001	750000	1	735064	744824
01c	237515	237997	500001	750000	1	737515	737997
01c	238150	240436	500001	750000	1	738150	740436
01c	244994	247340	500001	750000	1	744994	747340
01c	244994	245252	500001	750000	1	744994	745252
01c	245926	247666	500001	750000	1	745926	747666
01c	245962	247666	500001	750000	1	745962	747666
01c	246188	246307	500001	750000	1	746188	746307
01c	246271	246307	500001	750000	1	746271	746307
01c	246888	247052	500001	750000	1	746888	747052
01d	1402	3580	750001	1000000	1	751402	753580
01d	1402	43032	750001	1000000	1	751402	793032
01d	1402	6125	750001	1000000	1	751402	756125
01d	3395	4391	750001	1000000	1	753395	754391
01d	5023	8530	750001	1000000	1	755023	758530
01d	7543	16363	750001	1000000	1	757543	766363
01d	8495	53496	750001	1000000	1	758495	803496
01d	8495	8530	750001	1000000	1	758495	758530
01d	8629	8680	750001	1000000	1	758629	758680
01d	8680	159046	750001	1000000	1	758680	909046
01d	12345	28793	750001	1000000	1	762345	778793
01d	20878	27901	750001	1000000	1	770878	777901
01d	25077	43032	750001	1000000	1	775077	793032
01d	25405	27500	750001	1000000	1	775405	777500
01d	37381	66543	750001	1000000	1	787381	816543
01d	52498	53206	750001	1000000	1	802498	803206
01d	52970	55021	750001	1000000	1	802970	805021
01d	68682	68729	750001	1000000	1	818682	818729
01d	70150	73448	750001	1000000	1	820150	823448
01d	70898	98126	750001	1000000	1	820898	848126
01d	70898	73448	750001	1000000	1	820898	823448
01d	75124	75146	750001	1000000	1	825124	825146
01d	78534	78714	750001	1000000	1	828534	828714
01d	79827	79856	750001	1000000	1	829827	829856
01d	80092	82659	750001	1000000	1	830092	832659
01d	90808	90814	750001	1000000	1	840808	840814
01d	91132	91545	750001	1000000	1	841132	841545
01d	97306	97725	750001	1000000	1	847306	847725
01d	98251	98838	750001	1000000	1	848251	848838
01d	99158	99495	750001	1000000	1	849158	849495
01d	106131	133698	750001	1000000	1	856131	883698
01d	106926	110373	750001	1000000	1	856926	860373
01d	106926	114331	750001	1000000	1	856926	864331
01d	108049	108160	750001	1000000	1	858049	858160
01d	113051	113074	750001	1000000	1	863051	863074
01d	113670	114153	750001	1000000	1	863670	864153
01d	114153	119625	750001	1000000	1	864153	869625
01d	115264	117603	750001	1000000	1	865264	867603
01d	125208	125289	750001	1000000	1	875208	875289
01d	125289	128686	750001	1000000	1	875289	878686
01d	127331	129876	750001	1000000	1	877331	879876
01d	127871	139579	750001	1000000	1	877871	889579
01d	127986	133698	750001	1000000	1	877986	883698
01d	130701	130782	750001	1000000	1	880701	880782
01d	133698	141152	750001	1000000	1	883698	891152
01d	139579	166239	750001	1000000	1	889579	916239
01d	140977	142996	750001	1000000	1	890977	892996
01d	141172	159417	750001	1000000	1	891172	909417
01d	141172	167288	750001	1000000	1	891172	917288
01d	142784	166239	750001	1000000	1	892784	916239
01d	144430	150137	750001	1000000	1	894430	900137
01d	146950	146951	750001	1000000	1	896950	896951
01d	151563	156580	750001	1000000	1	901563	906580
01d	154461	162057	750001	1000000	1	904461	912057
01d	154461	159046	750001	1000000	1	904461	909046
01d	159543	179963	750001	1000000	1	909543	929963
01d	161477	183544	750001	1000000	1	911477	933544
01d	162194	163161	750001	1000000	1	912194	913161
01d	162194	162195	750001	1000000	1	912194	912195
01d	165239	166946	750001	1000000	1	915239	916946
01d	166239	168849	750001	1000000	1	916239	918849
01d	172362	176870	750001	1000000	1	922362	926870
01d	173189	185184	750001	1000000	1	923189	935184
01d	174270	174519	750001	1000000	1	924270	924519
01d	176579	188437	750001	1000000	1	926579	938437
01d	176927	176934	750001	1000000	1	926927	926934
01d	179861	180639	750001	1000000	1	929861	930639
01d	185040	188580	750001	1000000	1	935040	938580
01d	185389	185397	750001	1000000	1	935389	935397
01d	186759	187038	750001	1000000	1	936759	937038
01d	187752	188083	750001	1000000	1	937752	938083
01d	190619	194153	750001	1000000	1	940619	944153
01d	191901	194218	750001	1000000	1	941901	944218
01d	198024	199748	750001	1000000	1	948024	949748
01d	198111	198112	750001	1000000	1	948111	948112
01d	198776	198830	750001	1000000	1	948776	948830
01d	198776	200063	750001	1000000	1	948776	950063
01d	199493	210970	750001	1000000	1	949493	960970
01d	200311	208375	750001	1000000	1	950311	958375
01d	201172	201173	750001	1000000	1	951172	951173
01d	202341	202351	750001	1000000	1	952341	952351
01d	203872	203917	750001	1000000	1	953872	953917
01d	203914	204079	750001	1000000	1	953914	954079
01d	205870	205920	750001	1000000	1	955870	955920
01d	207391	207470	750001	1000000	1	957391	957470
01d	208375	210139	750001	1000000	1	958375	960139
01d	210380	227011	750001	1000000	1	960380	977011
01d	210951	210970	750001	1000000	1	960951	960970
01d	212668	214611	750001	1000000	1	962668	964611
01d	213311	215781	750001	1000000	1	963311	965781
01d	213311	214994	750001	1000000	1	963311	964994
01d	215080	224811	750001	1000000	1	965080	974811
01d	218451	243690	750001	1000000	1	968451	993690
01d	218997	219482	750001	1000000	1	968997	969482
01d	219028	219507	750001	1000000	1	969028	969507
01d	219028	219482	750001	1000000	1	969028	969482
01d	219288	219507	750001	1000000	1	969288	969507
01d	222233	224103	750001	1000000	1	972233	974103
01d	225508	238525	750001	1000000	1	975508	988525
01d	227900	230523	750001	1000000	1	977900	980523
01d	231983	242350	750001	1000000	1	981983	992350
01d	238965	240129	750001	1000000	1	988965	990129
01d	241032	243690	750001	1000000	1	991032	993690
01d	241032	246869	750001	1000000	1	991032	996869
01d	242922	243239	750001	1000000	1	992922	993239
01d	242922	242999	750001	1000000	1	992922	992999
01e	328	4127	1000001	1250000	1	1000328	1004127
01e	759	2942	1000001	1250000	1	1000759	1002942
01e	1464	6009	1000001	1250000	1	1001464	1006009
01e	3026	5210	1000001	1250000	1	1003026	1005210
01e	7192	7213	1000001	1250000	1	1007192	1007213
01e	9344	32389	1000001	1250000	1	1009344	1032389
01e	11574	11577	1000001	1250000	1	1011574	1011577
01e	15257	26086	1000001	1250000	1	1015257	1026086
01e	23302	24889	1000001	1250000	1	1023302	1024889
01e	24604	55570	1000001	1250000	1	1024604	1055570
01e	25779	25780	1000001	1250000	1	1025779	1025780
01e	31538	31539	1000001	1250000	1	1031538	1031539
01e	31702	45420	1000001	1250000	1	1031702	1045420
01e	41686	60818	1000001	1250000	1	1041686	1060818
01e	42558	55570	1000001	1250000	1	1042558	1055570
01e	43547	47086	1000001	1250000	1	1043547	1047086
01e	52707	57414	1000001	1250000	1	1052707	1057414
01e	54890	87010	1000001	1250000	1	1054890	1087010
01e	58355	58625	1000001	1250000	1	1058355	1058625
01e	62179	69841	1000001	1250000	1	1062179	1069841
01e	66523	69841	1000001	1250000	1	1066523	1069841
01e	74441	74459	1000001	1250000	1	1074441	1074459
01e	74472	82360	1000001	1250000	1	1074472	1082360
01e	76453	77959	1000001	1250000	1	1076453	1077959
01e	79022	79903	1000001	1250000	1	1079022	1079903
01e	80540	80541	1000001	1250000	1	1080540	1080541
01e	83265	83275	1000001	1250000	1	1083265	1083275
01e	85142	85144	1000001	1250000	1	1085142	1085144
01e	85142	85968	1000001	1250000	1	1085142	1085968
01e	85978	87010	1000001	1250000	1	1085978	1087010
01e	86539	86755	1000001	1250000	1	1086539	1086755
01e	86641	87010	1000001	1250000	1	1086641	1087010
01e	87964	91109	1000001	1250000	1	1087964	1091109
01e	92605	92609	1000001	1250000	1	1092605	1092609
01e	94410	102929	1000001	1250000	1	1094410	1102929
01e	99299	103665	1000001	1250000	1	1099299	1103665
01e	104879	106661	1000001	1250000	1	1104879	1106661
01e	107191	107193	1000001	1250000	1	1107191	1107193
01e	108615	108687	1000001	1250000	1	1108615	1108687
01e	122249	129492	1000001	1250000	1	1122249	1129492
01e	123587	123671	1000001	1250000	1	1123587	1123671
01e	130285	130656	1000001	1250000	1	1130285	1130656
01e	131223	131231	1000001	1250000	1	1131223	1131231
01e	133830	133886	1000001	1250000	1	1133830	1133886
01e	139121	139517	1000001	1250000	1	1139121	1139517
01e	139887	139889	1000001	1250000	1	1139887	1139889
01e	139887	144013	1000001	1250000	1	1139887	1144013
01e	140599	146066	1000001	1250000	1	1140599	1146066
01e	141302	145789	1000001	1250000	1	1141302	1145789
01e	143603	146345	1000001	1250000	1	1143603	1146345
01e	148723	154209	1000001	1250000	1	1148723	1154209
01e	148972	153654	1000001	1250000	1	1148972	1153654
01e	149646	149771	1000001	1250000	1	1149646	1149771
01e	149675	153456	1000001	1250000	1	1149675	1153456
01e	151846	244545	1000001	1250000	1	1151846	1244545
01e	154209	156201	1000001	1250000	1	1154209	1156201
01e	154832	155522	1000001	1250000	1	1154832	1155522
01e	155522	156248	1000001	1250000	1	1155522	1156248
01e	156556	156580	1000001	1250000	1	1156556	1156580
01e	157081	157517	1000001	1250000	1	1157081	1157517
01e	158411	158447	1000001	1250000	1	1158411	1158447
01e	158447	158646	1000001	1250000	1	1158447	1158646
01e	158636	158646	1000001	1250000	1	1158636	1158646
01e	161665	162548	1000001	1250000	1	1161665	1162548
01e	165893	165909	1000001	1250000	1	1165893	1165909
01e	167208	172335	1000001	1250000	1	1167208	1172335
01e	176594	187456	1000001	1250000	1	1176594	1187456
01e	176636	176637	1000001	1250000	1	1176636	1176637
01e	176957	180075	1000001	1250000	1	1176957	1180075
01e	178685	180075	1000001	1250000	1	1178685	1180075
01e	178689	178692	1000001	1250000	1	1178689	1178692
01e	178689	201569	1000001	1250000	1	1178689	1201569
01e	178689	183290	1000001	1250000	1	1178689	1183290
01e	179930	186964	1000001	1250000	1	1179930	1186964
01e	180327	180387	1000001	1250000	1	1180327	1180387
01e	183081	186275	1000001	1250000	1	1183081	1186275
01e	183201	185894	1000001	1250000	1	1183201	1185894
01e	185577	187456	1000001	1250000	1	1185577	1187456
01e	187456	191457	1000001	1250000	1	1187456	1191457
01e	188083	188247	1000001	1250000	1	1188083	1188247
01e	189091	189114	1000001	1250000	1	1189091	1189114
01e	189870	190679	1000001	1250000	1	1189870	1190679
01e	191274	191367	1000001	1250000	1	1191274	1191367
01e	191478	191484	1000001	1250000	1	1191478	1191484
01e	195839	201182	1000001	1250000	1	1195839	1201182
01e	196571	198648	1000001	1250000	1	1196571	1198648
01e	196953	198175	1000001	1250000	1	1196953	1198175
01e	197704	201182	1000001	1250000	1	1197704	1201182
01e	197928	202959	1000001	1250000	1	1197928	1202959
01e	202232	202637	1000001	1250000	1	1202232	1202637
01e	202634	202637	1000001	1250000	1	1202634	1202637
01e	203388	203404	1000001	1250000	1	1203388	1203404
01e	203388	209202	1000001	1250000	1	1203388	1209202
01e	206294	206331	1000001	1250000	1	1206294	1206331
01e	206719	207679	1000001	1250000	1	1206719	1207679
01e	211554	240792	1000001	1250000	1	1211554	1240792
01e	211554	212497	1000001	1250000	1	1211554	1212497
01e	221561	222093	1000001	1250000	1	1221561	1222093
01e	224734	231419	1000001	1250000	1	1224734	1231419
01e	224734	225183	1000001	1250000	1	1224734	1225183
01e	224968	231419	1000001	1250000	1	1224968	1231419
01e	225915	229558	1000001	1250000	1	1225915	1229558
01e	225915	242823	1000001	1250000	1	1225915	1242823
01e	229821	241284	1000001	1250000	1	1229821	1241284
01e	231927	232083	1000001	1250000	1	1231927	1232083
01e	240595	240610	1000001	1250000	1	1240595	1240610
01e	242677	242823	1000001	1250000	1	1242677	1242823
01e	246209	246468	1000001	1250000	1	1246209	1246468
01e	248943	249555	1000001	1250000	1	1248943	1249555
01e	249096	249109	1000001	1250000	1	1249096	1249109
01f	780	10829	1250001	1500000	1	1250780	1260829
01f	1233	10829	1250001	1500000	1	1251233	1260829
01f	1771	5894	1250001	1500000	1	1251771	1255894
01f	3595	10829	1250001	1500000	1	1253595	1260829
01f	5974	12752	1250001	1500000	1	1255974	1262752
01f	9448	9474	1250001	1500000	1	1259448	1259474
01f	14388	15689	1250001	1500000	1	1264388	1265689
01f	17071	25619	1250001	1500000	1	1267071	1275619
01f	20221	28783	1250001	1500000	1	1270221	1278783
01f	22378	24648	1250001	1500000	1	1272378	1274648
01f	22902	33497	1250001	1500000	1	1272902	1283497
01f	22902	48971	1250001	1500000	1	1272902	1298971
01f	28425	29148	1250001	1500000	1	1278425	1279148
01f	29034	35508	1250001	1500000	1	1279034	1285508
01f	29082	35508	1250001	1500000	1	1279082	1285508
01f	29082	60464	1250001	1500000	1	1279082	1310464
01f	30609	33273	1250001	1500000	1	1280609	1283273
01f	33556	33567	1250001	1500000	1	1283556	1283567
01f	39593	40223	1250001	1500000	1	1289593	1290223
01f	43553	45131	1250001	1500000	1	1293553	1295131
01f	46826	50491	1250001	1500000	1	1296826	1300491
01f	48385	52103	1250001	1500000	1	1298385	1302103
01f	48836	59155	1250001	1500000	1	1298836	1309155
01f	48905	48971	1250001	1500000	1	1298905	1298971
01f	49075	49155	1250001	1500000	1	1299075	1299155
01f	50773	199295	1250001	1500000	1	1300773	1449295
01f	51342	52103	1250001	1500000	1	1301342	1302103
01f	51342	51357	1250001	1500000	1	1301342	1301357
01f	52150	62370	1250001	1500000	1	1302150	1312370
01f	52657	73728	1250001	1500000	1	1302657	1323728
01f	52785	60531	1250001	1500000	1	1302785	1310531
01f	54942	55017	1250001	1500000	1	1304942	1305017
01f	60822	62370	1250001	1500000	1	1310822	1312370
01f	60876	63170	1250001	1500000	1	1310876	1313170
01f	60876	61842	1250001	1500000	1	1310876	1311842
01f	63366	63675	1250001	1500000	1	1313366	1313675
01f	67670	71673	1250001	1500000	1	1317670	1321673
01f	68602	69740	1250001	1500000	1	1318602	1319740
01f	71679	72076	1250001	1500000	1	1321679	1322076
01f	72167	72832	1250001	1500000	1	1322167	1322832
01f	74697	74703	1250001	1500000	1	1324697	1324703
01f	74899	78310	1250001	1500000	1	1324899	1328310
01f	75233	75480	1250001	1500000	1	1325233	1325480
01f	75327	75480	1250001	1500000	1	1325327	1325480
01f	76940	90200	1250001	1500000	1	1326940	1340200
01f	77111	91515	1250001	1500000	1	1327111	1341515
01f	83432	83512	1250001	1500000	1	1333432	1333512
01f	84902	85489	1250001	1500000	1	1334902	1335489
01f	85850	87532	1250001	1500000	1	1335850	1337532
01f	87010	100301	1250001	1500000	1	1337010	1350301
01f	89011	89917	1250001	1500000	1	1339011	1339917
01f	91251	93709	1250001	1500000	1	1341251	1343709
01f	92806	97353	1250001	1500000	1	1342806	1347353
01f	96738	100301	1250001	1500000	1	1346738	1350301
01f	97545	97546	1250001	1500000	1	1347545	1347546
01f	99218	103014	1250001	1500000	1	1349218	1353014
01f	101539	102552	1250001	1500000	1	1351539	1352552
01f	104198	104248	1250001	1500000	1	1354198	1354248
01f	108706	108947	1250001	1500000	1	1358706	1358947
01f	112736	112737	1250001	1500000	1	1362736	1362737
01f	113209	114608	1250001	1500000	1	1363209	1364608
01f	114284	119176	1250001	1500000	1	1364284	1369176
01f	121136	121153	1250001	1500000	1	1371136	1371153
01f	122589	126022	1250001	1500000	1	1372589	1376022
01f	126110	126133	1250001	1500000	1	1376110	1376133
01f	128469	129655	1250001	1500000	1	1378469	1379655
01f	128818	130414	1250001	1500000	1	1378818	1380414
01f	130478	136369	1250001	1500000	1	1380478	1386369
01f	132449	132479	1250001	1500000	1	1382449	1382479
01f	135206	135355	1250001	1500000	1	1385206	1385355
01f	136888	136898	1250001	1500000	1	1386888	1386898
01f	141574	141578	1250001	1500000	1	1391574	1391578
01f	141780	142688	1250001	1500000	1	1391780	1392688
01f	142688	150718	1250001	1500000	1	1392688	1400718
01f	143111	145582	1250001	1500000	1	1393111	1395582
01f	145392	146628	1250001	1500000	1	1395392	1396628
01f	146628	147998	1250001	1500000	1	1396628	1397998
01f	148265	148517	1250001	1500000	1	1398265	1398517
01f	150249	150718	1250001	1500000	1	1400249	1400718
01f	152817	152819	1250001	1500000	1	1402817	1402819
01f	156234	164218	1250001	1500000	1	1406234	1414218
01f	156234	158953	1250001	1500000	1	1406234	1408953
01f	156234	172343	1250001	1500000	1	1406234	1422343
01f	156718	158336	1250001	1500000	1	1406718	1408336
01f	164051	183775	1250001	1500000	1	1414051	1433775
01f	167104	169373	1250001	1500000	1	1417104	1419373
01f	169973	170043	1250001	1500000	1	1419973	1420043
01f	170526	170726	1250001	1500000	1	1420526	1420726
01f	171285	172343	1250001	1500000	1	1421285	1422343
01f	174046	174532	1250001	1500000	1	1424046	1424532
01f	174929	190370	1250001	1500000	1	1424929	1440370
01f	176758	183008	1250001	1500000	1	1426758	1433008
01f	180548	183008	1250001	1500000	1	1430548	1433008
01f	190370	193231	1250001	1500000	1	1440370	1443231
01f	191751	193254	1250001	1500000	1	1441751	1443254
01f	200214	203805	1250001	1500000	1	1450214	1453805
01f	201982	201999	1250001	1500000	1	1451982	1451999
01f	201999	210806	1250001	1500000	1	1451999	1460806
01f	203799	203805	1250001	1500000	1	1453799	1453805
01f	204460	205175	1250001	1500000	1	1454460	1455175
01f	204538	204948	1250001	1500000	1	1454538	1454948
01f	205118	205120	1250001	1500000	1	1455118	1455120
01f	207325	207483	1250001	1500000	1	1457325	1457483
01f	207919	210111	1250001	1500000	1	1457919	1460111
01f	209656	213895	1250001	1500000	1	1459656	1463895
01f	209807	212378	1250001	1500000	1	1459807	1462378
01f	210111	213895	1250001	1500000	1	1460111	1463895
01f	210806	211469	1250001	1500000	1	1460806	1461469
01f	211607	211731	1250001	1500000	1	1461607	1461731
01f	212187	216620	1250001	1500000	1	1462187	1466620
01f	212308	216620	1250001	1500000	1	1462308	1466620
01f	213733	227122	1250001	1500000	1	1463733	1477122
01f	213733	213895	1250001	1500000	1	1463733	1463895
01f	214165	232601	1250001	1500000	1	1464165	1482601
01f	215111	216620	1250001	1500000	1	1465111	1466620
01f	225883	225892	1250001	1500000	1	1475883	1475892
01f	226164	226184	1250001	1500000	1	1476164	1476184
01f	226164	238007	1250001	1500000	1	1476164	1488007
01f	226184	231652	1250001	1500000	1	1476184	1481652
01f	232535	235859	1250001	1500000	1	1482535	1485859
01f	232601	235859	1250001	1500000	1	1482601	1485859
01f	247394	247397	1250001	1500000	1	1497394	1497397
01g	2947	4500	1500001	1768582	1	1502947	1504500
01g	4044	7803	1500001	1768582	1	1504044	1507803
01g	5793	11025	1500001	1768582	1	1505793	1511025
01g	9252	11580	1500001	1768582	1	1509252	1511580
01g	9423	224758	1500001	1768582	1	1509423	1724758
01g	12566	20453	1500001	1768582	1	1512566	1520453
01g	12566	16810	1500001	1768582	1	1512566	1516810
01g	12566	16806	1500001	1768582	1	1512566	1516806
01g	13729	40522	1500001	1768582	1	1513729	1540522
01g	20453	22129	1500001	1768582	1	1520453	1522129
01g	22127	23286	1500001	1768582	1	1522127	1523286
01g	24272	33245	1500001	1768582	1	1524272	1533245
01g	24272	28846	1500001	1768582	1	1524272	1528846
01g	29254	29447	1500001	1768582	1	1529254	1529447
01g	33775	35389	1500001	1768582	1	1533775	1535389
01g	38444	38471	1500001	1768582	1	1538444	1538471
01g	39470	54114	1500001	1768582	1	1539470	1554114
01g	40022	49905	1500001	1768582	1	1540022	1549905
01g	42105	44439	1500001	1768582	1	1542105	1544439
01g	44628	45159	1500001	1768582	1	1544628	1545159
01g	45006	46293	1500001	1768582	1	1545006	1546293
01g	49371	49767	1500001	1768582	1	1549371	1549767
01g	49371	49422	1500001	1768582	1	1549371	1549422
01g	54170	56185	1500001	1768582	1	1554170	1556185
01g	61191	64110	1500001	1768582	1	1561191	1564110
01g	62704	64175	1500001	1768582	1	1562704	1564175
01g	63571	63598	1500001	1768582	1	1563571	1563598
01g	67003	69090	1500001	1768582	1	1567003	1569090
01g	67985	69003	1500001	1768582	1	1567985	1569003
01g	70685	70964	1500001	1768582	1	1570685	1570964
01g	71396	71972	1500001	1768582	1	1571396	1571972
01g	75479	107382	1500001	1768582	1	1575479	1607382
01g	75479	76139	1500001	1768582	1	1575479	1576139
01g	76139	108636	1500001	1768582	1	1576139	1608636
01g	76139	106345	1500001	1768582	1	1576139	1606345
01g	98751	119557	1500001	1768582	1	1598751	1619557
01g	103182	104284	1500001	1768582	1	1603182	1604284
01g	107767	108636	1500001	1768582	1	1607767	1608636
01g	112094	115238	1500001	1768582	1	1612094	1615238
01g	117784	118358	1500001	1768582	1	1617784	1618358
01g	129618	132518	1500001	1768582	1	1629618	1632518
01g	137177	140339	1500001	1768582	1	1637177	1640339
01g	138547	155067	1500001	1768582	1	1638547	1655067
01g	151946	201055	1500001	1768582	1	1651946	1701055
01g	162227	182766	1500001	1768582	1	1662227	1682766
01g	182766	194537	1500001	1768582	1	1682766	1694537
01g	186671	186850	1500001	1768582	1	1686671	1686850
01g	189216	189245	1500001	1768582	1	1689216	1689245
01g	190723	198965	1500001	1768582	1	1690723	1698965
01g	191349	243075	1500001	1768582	1	1691349	1743075
01g	193930	194537	1500001	1768582	1	1693930	1694537
01g	194507	194633	1500001	1768582	1	1694507	1694633
01g	198729	198730	1500001	1768582	1	1698729	1698730
01g	201055	201429	1500001	1768582	1	1701055	1701429
01g	201429	201775	1500001	1768582	1	1701429	1701775
01g	217692	218048	1500001	1768582	1	1717692	1718048
01g	231875	245308	1500001	1768582	1	1731875	1745308
01g	239620	243075	1500001	1768582	1	1739620	1743075
01g	241396	242359	1500001	1768582	1	1741396	1742359
01g	244456	250236	1500001	1768582	1	1744456	1750236
01g	245308	245902	1500001	1768582	1	1745308	1745902
01g	248641	251389	1500001	1768582	1	1748641	1751389
01g	254034	255493	1500001	1768582	1	1754034	1755493
01g	259964	260943	1500001	1768582	1	1759964	1760943
01g	260910	261856	1500001	1768582	1	1760910	1761856
02a	2769	2889	1768583	2000000	1	1771351	1771471
02a	4866	5067	1768583	2000000	1	1773448	1773649
02a	6082	21491	1768583	2000000	1	1774664	1790073
