SubRegion	GC_Beg	GC_End	ST_Beg	ST_End	ST_Ori	ABeg	AEnd
01d	197899	199034	750001	1000000	1	947899	949034
01d	197899	240185	750001	1000000	1	947899	990185
01d	203890	204028	750001	1000000	1	953890	954028
01d	207145	207166	750001	1000000	1	957145	957166
01d	207470	230928	750001	1000000	1	957470	980928
01d	214829	231133	750001	1000000	1	964829	981133
01d	215658	224754	750001	1000000	1	965658	974754
01d	224730	224754	750001	1000000	1	974730	974754
01d	228719	241923	750001	1000000	1	978719	991923
01d	228719	233574	750001	1000000	1	978719	983574
01d	238094	244486	750001	1000000	1	988094	994486
01e	3958	13586	1000001	1250000	1	1003958	1013586
01e	5467	20638	1000001	1250000	1	1005467	1020638
01e	5743	17843	1000001	1250000	1	1005743	1017843
01e	12306	17371	1000001	1250000	1	1012306	1017371
01e	42847	43220	1000001	1250000	1	1042847	1043220
01e	48243	74134	1000001	1250000	1	1048243	1074134
01e	48570	48582	1000001	1250000	1	1048570	1048582
01e	56352	69271	1000001	1250000	1	1056352	1069271
01e	62622	66523	1000001	1250000	1	1062622	1066523
01e	74441	76824	1000001	1250000	1	1074441	1076824
01e	74862	109369	1000001	1250000	1	1074862	1109369
01e	80335	80339	1000001	1250000	1	1080335	1080339
01e	82845	82927	1000001	1250000	1	1082845	1082927
01e	83102	83273	1000001	1250000	1	1083102	1083273
01e	86641	86653	1000001	1250000	1	1086641	1086653
01e	86653	88376	1000001	1250000	1	1086653	1088376
01e	89249	89352	1000001	1250000	1	1089249	1089352
01e	90908	97662	1000001	1250000	1	1090908	1097662
01e	93039	93227	1000001	1250000	1	1093039	1093227
01e	94661	95111	1000001	1250000	1	1094661	1095111
01e	97584	97662	1000001	1250000	1	1097584	1097662
01e	108036	111981	1000001	1250000	1	1108036	1111981
01e	132461	132503	1000001	1250000	1	1132461	1132503
01e	134166	134484	1000001	1250000	1	1134166	1134484
01e	137092	137305	1000001	1250000	1	1137092	1137305
01e	137305	141166	1000001	1250000	1	1137305	1141166
01e	140471	147258	1000001	1250000	1	1140471	1147258
01e	143950	143955	1000001	1250000	1	1143950	1143955
01e	145891	147258	1000001	1250000	1	1145891	1147258
01e	146066	148978	1000001	1250000	1	1146066	1148978
01e	148247	164813	1000001	1250000	1	1148247	1164813
01e	148906	148978	1000001	1250000	1	1148906	1148978
01e	152706	156010	1000001	1250000	1	1152706	1156010
01e	156356	156376	1000001	1250000	1	1156356	1156376
01e	157086	158661	1000001	1250000	1	1157086	1158661
01e	158371	158387	1000001	1250000	1	1158371	1158387
01e	160723	161800	1000001	1250000	1	1160723	1161800
01e	161375	168478	1000001	1250000	1	1161375	1168478
01e	164110	168478	1000001	1250000	1	1164110	1168478
01e	165943	165983	1000001	1250000	1	1165943	1165983
01e	168003	171047	1000001	1250000	1	1168003	1171047
01e	168942	168943	1000001	1250000	1	1168942	1168943
01e	171247	176705	1000001	1250000	1	1171247	1176705
01e	173468	174276	1000001	1250000	1	1173468	1174276
01e	173468	173481	1000001	1250000	1	1173468	1173481
01e	173468	181745	1000001	1250000	1	1173468	1181745
01e	179205	189809	1000001	1250000	1	1179205	1189809
01e	180181	202156	1000001	1250000	1	1180181	1202156
01e	181088	192638	1000001	1250000	1	1181088	1192638
01e	182826	182867	1000001	1250000	1	1182826	1182867
01e	189804	189809	1000001	1250000	1	1189804	1189809
01e	195289	199101	1000001	1250000	1	1195289	1199101
01e	200187	202156	1000001	1250000	1	1200187	1202156
01e	201721	204338	1000001	1250000	1	1201721	1204338
01e	203388	203404	1000001	1250000	1	1203388	1203404
01e	207475	207477	1000001	1250000	1	1207475	1207477
01e	215548	218535	1000001	1250000	1	1215548	1218535
01e	223928	228988	1000001	1250000	1	1223928	1228988
01f	1771	18340	1250001	1500000	1	1251771	1268340
01f	5891	48003	1250001	1500000	1	1255891	1298003
01f	12114	12115	1250001	1500000	1	1262114	1262115
01f	33273	43466	1250001	1500000	1	1283273	1293466
01f	36041	36043	1250001	1500000	1	1286041	1286043
01f	51729	52054	1250001	1500000	1	1301729	1302054
01f	56208	57546	1250001	1500000	1	1306208	1307546
01f	56208	57015	1250001	1500000	1	1306208	1307015
01f	57015	57546	1250001	1500000	1	1307015	1307546
01f	63182	66860	1250001	1500000	1	1313182	1316860
01f	64604	65305	1250001	1500000	1	1314604	1315305
01f	69556	69557	1250001	1500000	1	1319556	1319557
01f	71335	71338	1250001	1500000	1	1321335	1321338
01f	71335	74703	1250001	1500000	1	1321335	1324703
01f	74057	82526	1250001	1500000	1	1324057	1332526
01f	82526	85905	1250001	1500000	1	1332526	1335905
01f	85659	85905	1250001	1500000	1	1335659	1335905
01f	85659	87412	1250001	1500000	1	1335659	1337412
01f	85997	87799	1250001	1500000	1	1335997	1337799
01f	97545	97546	1250001	1500000	1	1347545	1347546
01f	102339	113719	1250001	1500000	1	1352339	1363719
01f	104801	112340	1250001	1500000	1	1354801	1362340
01f	135302	135842	1250001	1500000	1	1385302	1385842
01f	135842	152819	1250001	1500000	1	1385842	1402819
01f	137242	174029	1250001	1500000	1	1387242	1424029
01f	137242	154995	1250001	1500000	1	1387242	1404995
01f	154440	154866	1250001	1500000	1	1404440	1404866
01f	160965	163065	1250001	1500000	1	1410965	1413065
01f	163063	163268	1250001	1500000	1	1413063	1413268
01f	174476	174532	1250001	1500000	1	1424476	1424532
01f	194137	197346	1250001	1500000	1	1444137	1447346
01f	208879	212130	1250001	1500000	1	1458879	1462130
01f	208879	213851	1250001	1500000	1	1458879	1463851
01f	208879	209377	1250001	1500000	1	1458879	1459377
01f	225783	249283	1250001	1500000	1	1475783	1499283
01f	225783	244121	1250001	1500000	1	1475783	1494121
01f	225783	225806	1250001	1500000	1	1475783	1475806
01f	225783	232535	1250001	1500000	1	1475783	1482535
01f	230082	231505	1250001	1500000	1	1480082	1481505
01f	244121	249283	1250001	1500000	1	1494121	1499283
01f	249214	249283	1250001	1500000	1	1499214	1499283
01g	433	18355	1500001	1768582	1	1500433	1518355
01g	2629	4554	1500001	1768582	1	1502629	1504554
01g	2947	6988	1500001	1768582	1	1502947	1506988
01g	5998	19417	1500001	1768582	1	1505998	1519417
01g	15265	15296	1500001	1768582	1	1515265	1515296
01g	18937	28387	1500001	1768582	1	1518937	1528387
01g	35769	35772	1500001	1768582	1	1535769	1535772
01g	36124	36759	1500001	1768582	1	1536124	1536759
01g	36751	36759	1500001	1768582	1	1536751	1536759
01g	45633	52479	1500001	1768582	1	1545633	1552479
01g	58559	62233	1500001	1768582	1	1558559	1562233
01g	60961	61182	1500001	1768582	1	1560961	1561182
01g	66706	67503	1500001	1768582	1	1566706	1567503
01g	67901	67936	1500001	1768582	1	1567901	1567936
01g	67933	71353	1500001	1768582	1	1567933	1571353
01g	68961	68964	1500001	1768582	1	1568961	1568964
01g	69584	78408	1500001	1768582	1	1569584	1578408
01g	75311	123942	1500001	1768582	1	1575311	1623942
01g	78396	78571	1500001	1768582	1	1578396	1578571
01g	98592	110168	1500001	1768582	1	1598592	1610168
01g	104307	112413	1500001	1768582	1	1604307	1612413
01g	104332	112413	1500001	1768582	1	1604332	1612413
01g	112287	112308	1500001	1768582	1	1612287	1612308
01g	122867	123058	1500001	1768582	1	1622867	1623058
01g	123059	140720	1500001	1768582	1	1623059	1640720
01g	123935	123942	1500001	1768582	1	1623935	1623942
01g	126587	126981	1500001	1768582	1	1626587	1626981
01g	127122	135439	1500001	1768582	1	1627122	1635439
01g	135366	135439	1500001	1768582	1	1635366	1635439
01g	152137	152528	1500001	1768582	1	1652137	1652528
01g	152137	159764	1500001	1768582	1	1652137	1659764
01g	155070	184706	1500001	1768582	1	1655070	1684706
01g	193088	198965	1500001	1768582	1	1693088	1698965
01g	221433	221533	1500001	1768582	1	1721433	1721533
01g	229213	234602	1500001	1768582	1	1729213	1734602
01g	232285	246822	1500001	1768582	1	1732285	1746822
01g	242191	245559	1500001	1768582	1	1742191	1745559
01g	245239	263622	1500001	1768582	1	1745239	1763622
01g	245468	245740	1500001	1768582	1	1745468	1745740
01g	245556	245559	1500001	1768582	1	1745556	1745559
01g	260910	261856	1500001	1768582	1	1760910	1761856
02a	2259	60369	1768583	2000000	1	1770841	1828951
02a	7525	7617	1768583	2000000	1	1776107	1776199
02a	12976	20404	1768583	2000000	1	1781558	1788986
02a	14242	16678	1768583	2000000	1	1782824	1785260
02a	20315	20404	1768583	2000000	1	1788897	1788986
02a	60303	61637	1768583	2000000	1	1828885	1830219
02a	64619	64620	1768583	2000000	1	1833201	1833202
02a	68210	68211	1768583	2000000	1	1836792	1836793
02a	78004	78662	1768583	2000000	1	1846586	1847244
02a	78599	78662	1768583	2000000	1	1847181	1847244
02a	81115	94175	1768583	2000000	1	1849697	1862757
02a	83727	152303	1768583	2000000	1	1852309	1920885
02a	86502	101442	1768583	2000000	1	1855084	1870024
02a	100282	100648	1768583	2000000	1	1868864	1869230
02a	120204	120901	1768583	2000000	1	1888786	1889483
02a	138550	145199	1768583	2000000	1	1907132	1913781
02a	139467	139472	1768583	2000000	1	1908049	1908054
02a	146116	146121	1768583	2000000	1	1914698	1914703
02a	147638	147667	1768583	2000000	1	1916220	1916249
02a	150801	150802	1768583	2000000	1	1919383	1919384
02a	157155	161275	1768583	2000000	1	1925737	1929857
02a	161029	161275	1768583	2000000	1	1929611	1929857
02a	165206	195207	1768583	2000000	1	1933788	1963789
02a	173090	204180	1768583	2000000	1	1941672	1972762
02a	173394	173615	1768583	2000000	1	1941976	1942197
02a	175985	204113	1768583	2000000	1	1944567	1972695
02a	175985	176696	1768583	2000000	1	1944567	1945278
02a	182236	182305	1768583	2000000	1	1950818	1950887
02a	195207	196072	1768583	2000000	1	1963789	1964654
02a	198923	199897	1768583	2000000	1	1967505	1968479
02a	198923	204113	1768583	2000000	1	1967505	1972695
02a	200132	208655	1768583	2000000	1	1968714	1977237
02a	200919	201035	1768583	2000000	1	1969501	1969617
02a	206825	209124	1768583	2000000	1	1975407	1977706
02a	217593	218592	1768583	2000000	1	1986175	1987174
02a	224162	224406	1768583	2000000	1	1992744	1992988
02a	224406	224891	1768583	2000000	1	1992988	1993473
02a	224891	225165	1768583	2000000	1	1993473	1993747
02b	1896	1900	2000001	2250000	1	2001896	2001900
02b	5734	7458	2000001	2250000	1	2005734	2007458
02b	15003	15005	2000001	2250000	1	2015003	2015005
02b	15994	58289	2000001	2250000	1	2015994	2058289
02b	44317	45998	2000001	2250000	1	2044317	2045998
02b	44317	171741	2000001	2250000	1	2044317	2171741
02b	46928	54000	2000001	2250000	1	2046928	2054000
02b	53958	54406	2000001	2250000	1	2053958	2054406
02b	54406	61810	2000001	2250000	1	2054406	2061810
02b	61645	61810	2000001	2250000	1	2061645	2061810
02b	61810	61869	2000001	2250000	1	2061810	2061869
02b	66232	66478	2000001	2250000	1	2066232	2066478
02b	66252	66264	2000001	2250000	1	2066252	2066264
02b	66478	69262	2000001	2250000	1	2066478	2069262
02b	67127	68418	2000001	2250000	1	2067127	2068418
02b	68877	75822	2000001	2250000	1	2068877	2075822
02b	69300	69301	2000001	2250000	1	2069300	2069301
02b	69947	69974	2000001	2250000	1	2069947	2069974
02b	71344	71346	2000001	2250000	1	2071344	2071346
02b	72533	72565	2000001	2250000	1	2072533	2072565
02b	73244	75764	2000001	2250000	1	2073244	2075764
02b	74447	76434	2000001	2250000	1	2074447	2076434
02b	74447	74755	2000001	2250000	1	2074447	2074755
02b	74604	74788	2000001	2250000	1	2074604	2074788
02b	75428	76434	2000001	2250000	1	2075428	2076434
02b	75717	75764	2000001	2250000	1	2075717	2075764
02b	76434	201574	2000001	2250000	1	2076434	2201574
02b	79956	81034	2000001	2250000	1	2079956	2081034
02b	80022	80028	2000001	2250000	1	2080022	2080028
02b	80968	83078	2000001	2250000	1	2080968	2083078
02b	81867	81873	2000001	2250000	1	2081867	2081873
02b	85800	94347	2000001	2250000	1	2085800	2094347
02b	85800	157548	2000001	2250000	1	2085800	2157548
02b	89785	93155	2000001	2250000	1	2089785	2093155
02b	93911	94013	2000001	2250000	1	2093911	2094013
02b	97907	98132	2000001	2250000	1	2097907	2098132
02b	100818	102611	2000001	2250000	1	2100818	2102611
02b	100818	100932	2000001	2250000	1	2100818	2100932
02b	106235	106416	2000001	2250000	1	2106235	2106416
02b	106301	106416	2000001	2250000	1	2106301	2106416
02b	108944	109639	2000001	2250000	1	2108944	2109639
02b	108944	119128	2000001	2250000	1	2108944	2119128
02b	110565	112737	2000001	2250000	1	2110565	2112737
02b	111322	111326	2000001	2250000	1	2111322	2111326
02b	111942	120105	2000001	2250000	1	2111942	2120105
02b	115331	119839	2000001	2250000	1	2115331	2119839
02b	119839	131412	2000001	2250000	1	2119839	2131412
02b	121149	122305	2000001	2250000	1	2121149	2122305
02b	121196	122721	2000001	2250000	1	2121196	2122721
02b	126681	128153	2000001	2250000	1	2126681	2128153
02b	136623	137422	2000001	2250000	1	2136623	2137422
02b	143875	150774	2000001	2250000	1	2143875	2150774
02b	145959	145986	2000001	2250000	1	2145959	2145986
02b	146509	146899	2000001	2250000	1	2146509	2146899
02b	146509	147088	2000001	2250000	1	2146509	2147088
02b	146698	147088	2000001	2250000	1	2146698	2147088
02b	150603	150685	2000001	2250000	1	2150603	2150685
02b	154939	154990	2000001	2250000	1	2154939	2154990
02b	154939	181147	2000001	2250000	1	2154939	2181147
02b	154985	154990	2000001	2250000	1	2154985	2154990
02b	155934	156145	2000001	2250000	1	2155934	2156145
02b	160312	237560	2000001	2250000	1	2160312	2237560
02b	161879	166404	2000001	2250000	1	2161879	2166404
02b	163450	163452	2000001	2250000	1	2163450	2163452
02b	163473	163491	2000001	2250000	1	2163473	2163491
02b	166304	166635	2000001	2250000	1	2166304	2166635
02b	168968	168972	2000001	2250000	1	2168968	2168972
02b	169572	169840	2000001	2250000	1	2169572	2169840
02b	175233	176594	2000001	2250000	1	2175233	2176594
02b	176571	176594	2000001	2250000	1	2176571	2176594
02b	177713	180757	2000001	2250000	1	2177713	2180757
02b	180757	181147	2000001	2250000	1	2180757	2181147
02b	182412	183423	2000001	2250000	1	2182412	2183423
02b	186393	186406	2000001	2250000	1	2186393	2186406
02b	188985	191863	2000001	2250000	1	2188985	2191863
02b	190323	190648	2000001	2250000	1	2190323	2190648
02b	195559	195876	2000001	2250000	1	2195559	2195876
02b	195559	196040	2000001	2250000	1	2195559	2196040
02b	197086	197088	2000001	2250000	1	2197086	2197088
02b	197851	197859	2000001	2250000	1	2197851	2197859
02b	201423	201520	2000001	2250000	1	2201423	2201520
02b	201526	201627	2000001	2250000	1	2201526	2201627
02b	202625	204056	2000001	2250000	1	2202625	2204056
02b	202681	206901	2000001	2250000	1	2202681	2206901
02b	204101	204167	2000001	2250000	1	2204101	2204167
02b	205693	205741	2000001	2250000	1	2205693	2205741
02b	209279	223510	2000001	2250000	1	2209279	2223510
02b	211212	211306	2000001	2250000	1	2211212	2211306
02b	212068	217945	2000001	2250000	1	2212068	2217945
02b	212422	212591	2000001	2250000	1	2212422	2212591
02b	212666	213086	2000001	2250000	1	2212666	2213086
02b	214110	214167	2000001	2250000	1	2214110	2214167
02b	229002	231883	2000001	2250000	1	2229002	2231883
02b	230087	231004	2000001	2250000	1	2230087	2231004
02b	231524	231535	2000001	2250000	1	2231524	2231535
02b	231823	232996	2000001	2250000	1	2231823	2232996
02b	233640	233651	2000001	2250000	1	2233640	2233651
02b	236595	236600	2000001	2250000	1	2236595	2236600
02b	237644	237679	2000001	2250000	1	2237644	2237679
02b	238310	241410	2000001	2250000	1	2238310	2241410
02b	238310	239108	2000001	2250000	1	2238310	2239108
02b	238915	241516	2000001	2250000	1	2238915	2241516
02b	241410	249461	2000001	2250000	1	2241410	2249461
02b	243743	245862	2000001	2250000	1	2243743	2245862
02b	249354	249385	2000001	2250000	1	2249354	2249385
02c	3980	4021	2250001	2504966	1	2253980	2254021
02c	3991	12091	2250001	2504966	1	2253991	2262091
02c	3991	4021	2250001	2504966	1	2253991	2254021
02c	7072	10311	2250001	2504966	1	2257072	2260311
02c	8729	223907	2250001	2504966	1	2258729	2473907
02c	8729	8777	2250001	2504966	1	2258729	2258777
02c	8783	9089	2250001	2504966	1	2258783	2259089
02c	9089	19006	2250001	2504966	1	2259089	2269006
02c	19384	19651	2250001	2504966	1	2269384	2269651
02c	21925	35434	2250001	2504966	1	2271925	2285434
02c	21925	21926	2250001	2504966	1	2271925	2271926
02c	21925	22525	2250001	2504966	1	2271925	2272525
02c	22560	22638	2250001	2504966	1	2272560	2272638
02c	25053	26571	2250001	2504966	1	2275053	2276571
02c	26571	26762	2250001	2504966	1	2276571	2276762
02c	27066	27087	2250001	2504966	1	2277066	2277087
02c	30422	30475	2250001	2504966	1	2280422	2280475
02c	35434	35491	2250001	2504966	1	2285434	2285491
02c	35869	35880	2250001	2504966	1	2285869	2285880
02c	43783	44131	2250001	2504966	1	2293783	2294131
02c	45846	45959	2250001	2504966	1	2295846	2295959
02c	45846	48420	2250001	2504966	1	2295846	2298420
02c	45856	45959	2250001	2504966	1	2295856	2295959
02c	46304	60488	2250001	2504966	1	2296304	2310488
02c	46304	46636	2250001	2504966	1	2296304	2296636
02c	47841	48530	2250001	2504966	1	2297841	2298530
02c	48701	48778	2250001	2504966	1	2298701	2298778
02c	49708	97570	2250001	2504966	1	2299708	2347570
02c	49708	57761	2250001	2504966	1	2299708	2307761
02c	49708	52430	2250001	2504966	1	2299708	2302430
02c	50071	50476	2250001	2504966	1	2300071	2300476
02c	52295	52430	2250001	2504966	1	2302295	2302430
02c	55055	55081	2250001	2504966	1	2305055	2305081
02c	56926	57761	2250001	2504966	1	2306926	2307761
02c	59782	61794	2250001	2504966	1	2309782	2311794
02c	60236	60488	2250001	2504966	1	2310236	2310488
02c	68201	68276	2250001	2504966	1	2318201	2318276
02c	68878	68976	2250001	2504966	1	2318878	2318976
02c	70522	70585	2250001	2504966	1	2320522	2320585
02c	71817	72170	2250001	2504966	1	2321817	2322170
02c	76802	76929	2250001	2504966	1	2326802	2326929
02c	79266	79449	2250001	2504966	1	2329266	2329449
02c	80170	95371	2250001	2504966	1	2330170	2345371
02c	86129	86280	2250001	2504966	1	2336129	2336280
02c	86890	87110	2250001	2504966	1	2336890	2337110
02c	87320	95371	2250001	2504966	1	2337320	2345371
02c	92229	92233	2250001	2504966	1	2342229	2342233
02c	95543	95557	2250001	2504966	1	2345543	2345557
02c	97239	97515	2250001	2504966	1	2347239	2347515
02c	98093	98113	2250001	2504966	1	2348093	2348113
02c	103717	103778	2250001	2504966	1	2353717	2353778
02c	105318	236520	2250001	2504966	1	2355318	2486520
02c	105828	106936	2250001	2504966	1	2355828	2356936
02c	105828	105829	2250001	2504966	1	2355828	2355829
02c	109925	109935	2250001	2504966	1	2359925	2359935
02c	109987	110002	2250001	2504966	1	2359987	2360002
02c	115198	116335	2250001	2504966	1	2365198	2366335
02c	116271	116444	2250001	2504966	1	2366271	2366444
02c	116459	116711	2250001	2504966	1	2366459	2366711
02c	116563	116616	2250001	2504966	1	2366563	2366616
02c	117235	117452	2250001	2504966	1	2367235	2367452
02c	117551	117599	2250001	2504966	1	2367551	2367599
02c	119194	119195	2250001	2504966	1	2369194	2369195
02c	119194	119302	2250001	2504966	1	2369194	2369302
02c	120486	120548	2250001	2504966	1	2370486	2370548
02c	125299	125385	2250001	2504966	1	2375299	2375385
02c	125385	127175	2250001	2504966	1	2375385	2377175
02c	128686	128740	2250001	2504966	1	2378686	2378740
02c	131026	131736	2250001	2504966	1	2381026	2381736
02c	131218	131221	2250001	2504966	1	2381218	2381221
02c	131717	131736	2250001	2504966	1	2381717	2381736
02c	132256	133994	2250001	2504966	1	2382256	2383994
02c	132795	133219	2250001	2504966	1	2382795	2383219
02c	134843	134910	2250001	2504966	1	2384843	2384910
02c	135456	135585	2250001	2504966	1	2385456	2385585
02c	135463	137285	2250001	2504966	1	2385463	2387285
02c	136517	136558	2250001	2504966	1	2386517	2386558
02c	138391	143819	2250001	2504966	1	2388391	2393819
02c	139886	140437	2250001	2504966	1	2389886	2390437
02c	140384	140437	2250001	2504966	1	2390384	2390437
02c	141313	141325	2250001	2504966	1	2391313	2391325
02c	142476	142548	2250001	2504966	1	2392476	2392548
02c	142476	142553	2250001	2504966	1	2392476	2392553
02c	143430	143750	2250001	2504966	1	2393430	2393750
02c	143464	143819	2250001	2504966	1	2393464	2393819
02c	143464	143750	2250001	2504966	1	2393464	2393750
02c	143890	143973	2250001	2504966	1	2393890	2393973
02c	144337	145388	2250001	2504966	1	2394337	2395388
02c	148366	148372	2250001	2504966	1	2398366	2398372
02c	150172	165725	2250001	2504966	1	2400172	2415725
02c	152301	161747	2250001	2504966	1	2402301	2411747
02c	156369	159055	2250001	2504966	1	2406369	2409055
02c	156383	156862	2250001	2504966	1	2406383	2406862
02c	157799	157844	2250001	2504966	1	2407799	2407844
02c	158974	159039	2250001	2504966	1	2408974	2409039
02c	158974	159055	2250001	2504966	1	2408974	2409055
02c	163235	163236	2250001	2504966	1	2413235	2413236
02c	168351	173996	2250001	2504966	1	2418351	2423996
02c	171724	171730	2250001	2504966	1	2421724	2421730
02c	176149	176184	2250001	2504966	1	2426149	2426184
02c	176718	178249	2250001	2504966	1	2426718	2428249
02c	177579	187544	2250001	2504966	1	2427579	2437544
02c	178178	178249	2250001	2504966	1	2428178	2428249
02c	180878	189843	2250001	2504966	1	2430878	2439843
02c	183069	183166	2250001	2504966	1	2433069	2433166
02c	185314	206120	2250001	2504966	1	2435314	2456120
02c	205720	206057	2250001	2504966	1	2455720	2456057
02c	207372	207377	2250001	2504966	1	2457372	2457377
02c	207380	207384	2250001	2504966	1	2457380	2457384
02c	210283	210523	2250001	2504966	1	2460283	2460523
02c	215154	217375	2250001	2504966	1	2465154	2467375
