"","Tract","freq"
"56","01a_PP_DM1020_ 564_65491",1
"57","01a_PP_DM1020_ 6305_57061",1
"58","01a_PP_DM1038_ 83462_219540",1
"59","01a_PP_DM1054_ 143964_206815",1
"60","01a_PP_DM1054_ 202124_206815",1
"61","01a_PP_DM1084_ 152056_152059",1
"62","01a_ST_JR138_ 80063_88800",1
"63","01a_ST_JR138_ 82300_88800",1
"64","01a_ST_JR158_ 205531_238923",1
"65","01a_ST_JR158_ 208001_238923",1
"66","01a_ST_JR158_ 227866_238923",2
"67","01a_ST_JR158_ 232281_238923",1
"68","01a_ST_JR209_ 185693_200704",1
"69","01a_ST_MSH177_ 102818_110260",1
"70","01a_ST_MSH177_ 115201_168900",1
"71","01a_ST_MSH177_ 167908_206815",1
"72","01a_ST_MSH177_ 168900_198245",1
"73","01a_ST_MSH177_ 201575_206815",1
"74","01a_ST_MSH177_ 91387_110260",1
"75","01a_ST_MSH217_ 126252_148568",1
"76","01a_ST_MSH217_ 130586_146318",1
"77","01a_TL_MA1959_ 118727_118872",1
"78","01a_TL_MSH130_ 185693_208001",1
"79","01a_TL_MSH130_ 74671_170982",1
"80","01a_TL_MSH76_ 163694_199117",1
"81","01a_TL_SPE123_2-3_ 165809_170383",1
"82","01a_TL_SPE123_2-3_ 165809_189422",1
"83","01a_TL_SPE123_5-1_ 205531_222499",1
"84","01a_TL_SPE123_5-1_ 6305_61027",1
"85","01a_TL_SPE123_5-1_ 6305_8248",1
"86","01a_TL_SPE123_5-1_ 65491_82831",1
"87","01a_TL_SPE123_5-1_ 8248_109178",1
"88","01a_TL_SPE123_5-1_ 83557_88435",1
"89","01a_TL_SPE123_5-1_ 92297_95186",1
"90","01a_TL_SPE123_5-1_ 95848_109178",1
"91","01a_TL_SPE123_6-3_ 3873_3905",3
"92","01a_TL_SPE123_6-3_ 70134_78660",1
"93","01a_TL_SPE123_6-3_ 78660_80063",1
"94","01a_TL_SPE123_6-3_ 80063_103696",1
"95","01a_TL_SPE123_7-1_ 134298_139892",1
"96","01b_AR_DM1005_ 154661_185952",1
"97","01b_AR_DM1005_ 188664_191380",1
"98","01b_AR_DM1005_ 211773_211822",1
"99","01b_AR_DM1005_ 211773_211863",1
"100","01b_AR_DM1005_ 63571_69307",1
"101","01b_AR_DM1005_ 84520_93807",1
"102","01b_AR_DM1005_ 89866_120210",1
"103","01b_AR_DM1015_ 190878_190980",1
"104","01b_AR_DM1015_ 196993_197353",1
"105","01b_AR_DM1015_ 50430_50440",2
"106","01b_AR_DM1015_ 50430_91147",1
"107","01b_AR_DM1015_ 54259_62570",1
"108","01b_AR_DM1015_ 54259_91147",1
"109","01b_AR_DM1015_ 87910_91147",1
"110","01b_AR_DM1050_ 121329_121730",1
"111","01b_AR_DM1050_ 128587_141249",1
"112","01b_AR_DM1050_ 128587_202487",1
"113","01b_AR_DM1056_ 101588_144868",1
"114","01b_AR_DM1056_ 101588_150014",1
"115","01b_AR_DM1056_ 101866_156239",1
"116","01b_AR_DM1056_ 115632_121515",1
"117","01b_AR_DM1056_ 198947_212063",1
"118","01b_AR_DM1056_ 200637_219698",1
"119","01b_AR_DM1056_ 207310_217624",1
"120","01b_AR_DM1056_ 59707_138472",1
"121","01b_AR_DM1056_ 59707_78546",1
"122","01b_AR_DM1088_ 1352_56230",1
"123","01b_AR_DM1088_ 222651_226778",1
"124","01b_AR_DM1088_ 56230_87461",1
"125","01b_AR_DM1088_ 6796_55709",1
"126","01b_AR_KB635_ 205377_205434",1
"127","01b_AR_KB635_ 211773_211822",1
"128","01b_AR_KB635_ 211773_211863",1
"129","01b_AR_KB652_ 122939_172575",1
"130","01b_AR_KB652_ 202240_207715",1
"131","01b_AR_KB652_ 62618_66295",1
"132","01b_AR_KB652_ 6796_66295",1
"133","01b_AR_KB754_ 110217_120210",1
"134","01b_AR_KB754_ 133860_176353",1
"135","01b_AR_KB754_ 190756_190980",1
"136","01b_AR_KB754_ 45969_219173",1
"137","01b_AR_KB754_ 61994_64823",1
"138","01b_AR_KB819_ 200818_200829",1
"139","01b_AR_KB820_ 183477_205635",1
"140","01b_AR_KB820_ 202718_205635",1
"141","01b_AR_KB820_ 203246_205635",1
"142","01b_AR_KB820_ 205635_225975",1
"143","01b_AR_KB820_ 238838_238839",1
"144","01b_AR_KB820_ 63571_93591",1
"145","01b_AR_KB820_ 65716_66503",1
"146","01b_AR_KB820_ 93591_188208",1
"147","01b_AR_KB820_ 93591_96787",1
"148","01b_AR_KB827_ 13397_15537",1
"149","01b_AR_KB827_ 222651_229971",1
"150","01b_AR_KB827_ 52114_55282",1
"151","01b_AR_KB827_ 54375_55282",1
"152","01b_AR_KB827_ 79089_87461",1
"153","01b_AR_KB945_ 227705_243193",2
"154","01b_AR_KB945_ 53140_55695",1
"155","01b_AR_KB945_ 6011_37944",1
"156","01b_AR_KB945_ 75922_86354",1
"157","01b_AR_KB945_ 79167_87568",1
"158","01b_AR_MSH126_ 116409_249337",1
"159","01b_AR_MSH126_ 216560_226123",1
"160","01b_AR_MSH126_ 216560_236718",1
"161","01b_AR_MSH126_ 48798_55709",1
"162","01b_AR_MSH126_ 573_11851",1
"163","01b_AR_MSH126_ 573_2889",1
"164","01b_AR_MSH126_ 65991_141209",1
"165","01b_AR_MSH126_ 65991_65999",1
"166","01b_AR_MSH126_ 65991_88635",1
"167","01b_AR_MSH126_ 82592_118780",1
"168","01b_AR_MSH51_ 121168_145028",1
"169","01b_AR_MSH51_ 142023_180533",1
"170","01b_AR_MSH51_ 165939_168579",1
"171","01b_AR_MSH51_ 218969_219173",1
"172","01b_AR_MSH51_ 71012_145028",1
"173","01b_AR_MSH51_ 74505_83852",1
"174","01b_AR_REF_ 180533_195324",1
"175","01b_AR_REF_ 52183_60935",1
"176","01b_AR_REF_ 60701_60935",1
"177","01b_CH_JR198_ 191290_191330",3
"178","01b_CH_JR198_ 6796_55709",2
"179","01b_CH_JR198_ 80719_191330",1
"180","01b_CH_JR20_ 167_52114",1
"181","01b_CH_JR20_ 211091_225461",1
"182","01b_CH_JR272_ 114652_160878",1
"183","01b_CH_JR272_ 185691_187235",1
"184","01b_CH_JR272_ 186809_187235",1
"185","01b_CH_JR32_ 124552_133594",1
"186","01b_CH_JR32_ 129721_133569",1
"187","01b_CH_JR32_ 81632_81633",1
"188","01b_CH_JR356_ 123458_158302",1
"189","01b_CH_JR356_ 164023_206154",1
"190","01b_CH_JR356_ 196359_196993",1
"191","01b_CH_JR356_ 196359_206154",1
"192","01b_CH_JR356_ 196359_224526",1
"193","01b_CH_JR356_ 219522_219523",1
"194","01b_CH_JR356_ 50072_50096",1
"195","01b_CH_JR356_ 78902_78904",1
"196","01b_CH_JR356_ 82313_133787",1
"197","01b_CH_JR356_ 84354_93424",1
"198","01b_CH_JR356_ 91408_102780",1
"199","01b_CH_JR356_ 93059_93424",1
"200","01b_CH_JR377_ 237778_239358",2
"201","01b_CH_JR377_ 55380_74877",1
"202","01b_CH_JR377_ 66001_66727",1
"203","01b_CH_JR377_ 74857_74877",1
"204","01b_CH_JR377_ 84225_84226",1
"205","01b_CH_JR4_ 115519_138397",1
"206","01b_CH_JR4_ 136278_166050",1
"207","01b_CH_JR4_ 138558_151498",1
"208","01b_CH_JR4_ 158332_160030",1
"209","01b_CH_JR4_ 211773_211863",1
"210","01b_CH_JR4_ 211773_211946",1
"211","01b_CH_JR4_ 48204_69248",1
"212","01b_CH_JR4_ 6011_64556",1
"213","01b_CH_JR4_ 69248_78044",1
"214","01b_CH_JR4_ 73252_73359",1
"215","01b_CH_JR4_ 77956_160030",1
"216","01b_CH_JR4_ 93957_94689",2
"217","01b_CH_JR4_ 94689_211863",1
"218","01b_CH_JR4_ 98738_101588",1
"219","01b_CH_KB888_ 61353_114852",1
"220","01b_CH_MSH202_ 196318_199267",1
"221","01b_CH_MSH202_ 65991_65999",1
"222","01b_CH_MSH202_ 71929_71934",3
"223","01b_CH_MSH202_ 71929_79816",1
"224","01b_PP_BdA1134-13_ 141172_141174",2
"225","01b_PP_BdA1134-13_ 141172_163800",2
"226","01b_PP_BdA1137-10_ 150079_165195",3
"227","01b_PP_DM1020_ 138723_141200",1
"228","01b_PP_DM1020_ 198149_212301",1
"229","01b_PP_DM1020_ 206862_212301",1
"230","01b_PP_DM1020_ 212301_214098",2
"231","01b_PP_DM1020_ 214034_215353",1
"232","01b_PP_DM1020_ 243193_245018",1
"233","01b_PP_DM1020_ 73252_125807",1
"234","01b_PP_DM1020_ 73252_73359",1
"235","01b_PP_DM1020_ 81403_125807",1
"236","01b_PP_DM1020_ 81403_245018",1
"237","01b_PP_DM1020_ 81403_90025",1
"238","01b_PP_DM1020_ 8629_39192",1
"239","01b_PP_DM1020_ 92212_133578",1
"240","01b_PP_DM1038_ 12086_52953",1
"241","01b_PP_DM1038_ 121764_176353",1
"242","01b_PP_DM1038_ 127664_127840",1
"243","01b_PP_DM1038_ 176353_185402",1
"244","01b_PP_DM1038_ 182267_185402",1
"245","01b_PP_DM1038_ 44961_52953",1
"246","01b_PP_DM1038_ 44961_84354",1
"247","01b_PP_DM1038_ 49561_56230",2
"248","01b_PP_DM1038_ 56061_56230",1
"249","01b_PP_DM1038_ 70843_70861",1
"250","01b_PP_DM1038_ 76712_76718",1
"251","01b_PP_DM1054_ 202731_243173",1
"252","01b_PP_DM1054_ 212495_212633",1
"253","01b_PP_DM1054_ 212495_243173",1
"254","01b_PP_DM1054_ 212633_214431",1
"255","01b_PP_DM1054_ 237778_238306",1
"256","01b_PP_DM1054_ 237778_243173",1
"257","01b_PP_DM1054_ 242583_243173",2
"258","01b_PP_DM1054_ 74786_74820",4
"259","01b_PP_DM1054_ 74786_87910",1
"260","01b_PP_DM1084_ 14005_56240",1
"261","01b_PP_DM1084_ 211348_211391",2
"262","01b_PP_DM1084_ 2337_2582",2
"263","01b_PP_DM1084_ 91088_91147",1
"264","01b_PP_JR83_ 106446_117268",1
"265","01b_ST_JR138_ 38322_54375",1
"266","01b_ST_JR138_ 50119_50898",1
"267","01b_ST_JR138_ 50119_50966",2
"268","01b_ST_JR138_ 56989_59611",1
"269","01b_ST_JR138_ 97790_121475",1
"270","01b_ST_JR209_ 213300_215081",1
"271","01b_ST_JR209_ 79816_79866",1
"272","01b_ST_JR72_ 58065_87461",1
"273","01b_ST_JR72_ 71474_145575",1
"274","01b_ST_JR84_ 228662_237734",1
"275","01b_ST_JR84_ 228662_249971",3
"276","01b_ST_JR84_ 229745_237734",1
"277","01b_ST_JR84_ 76994_80902",1
"278","01b_ST_JR91_ 106033_116238",1
"279","01b_ST_JR91_ 106033_136723",1
"280","01b_ST_JR91_ 136723_174070",1
"281","01b_ST_JR91_ 84390_201959",1
"282","01b_ST_JR91_ 84390_86571",1
"283","01b_ST_MSH177_ 107824_117367",1
"284","01b_ST_MSH177_ 59819_63241",1
"285","01b_TL_MA1959_ 118513_133787",1
"286","01b_TL_MA1959_ 123671_225461",1
"287","01b_TL_MA1959_ 164023_172241",1
"288","01b_TL_MA1959_ 164023_225461",1
"289","01b_TL_MA1959_ 172241_189146",1
"290","01b_TL_MA1959_ 172241_193520",1
"291","01b_TL_MA1959_ 64750_64751",2
"292","01b_TL_MA1959_ 69919_91420",1
"293","01b_TL_MA1959_ 86570_92340",1
"294","01b_TL_MSH130_ 102254_109045",1
"295","01b_TL_MSH130_ 103088_181195",1
"296","01b_TL_MSH130_ 114852_141174",1
"297","01b_TL_MSH130_ 122395_154028",1
"298","01b_TL_MSH130_ 134122_202731",1
"299","01b_TL_MSH130_ 196338_197124",1
"300","01b_TL_MSH130_ 86958_87572",1
"301","01b_TL_MSH76_ 147648_148010",1
"302","01b_TL_MSH76_ 147648_149858",1
"303","01b_TL_MSH76_ 148009_148010",2
"304","01b_TL_MSH76_ 196318_197990",1
"305","01b_TL_MSH76_ 61331_61339",1
"306","01b_TL_MSH76_ 85516_85605",1
"307","01b_TL_SCI12-2_ 223384_244502",1
"308","01b_TL_SPE123_2-3_ 125807_125818",1
"309","01b_TL_SPE123_2-3_ 185691_185755",1
"310","01b_TL_SPE123_2-3_ 202878_203565",1
"311","01b_TL_SPE123_2-3_ 53886_76705",1
"312","01b_TL_SPE123_2-3_ 6208_74778",1
"313","01b_TL_SPE123_2-3_ 73289_73359",1
"314","01b_TL_SPE123_2-3_ 74778_76705",1
"315","01b_TL_SPE123_5-1_ 134646_134661",1
"316","01b_TL_SPE123_5-1_ 243193_245018",1
"317","01b_TL_SPE123_5-1_ 76478_78044",1
"318","01b_TL_SPE123_5-1_ 78044_82313",1
"319","01b_TL_SPE123_5-1_ 79731_81217",1
"320","01b_TL_SPE123_6-3_ 102852_107827",1
"321","01b_TL_SPE123_6-3_ 105961_118967",1
"322","01b_TL_SPE123_6-3_ 152392_172215",1
"323","01b_TL_SPE123_6-3_ 158311_160030",1
"324","01b_TL_SPE123_6-3_ 158311_166050",1
"325","01b_TL_SPE123_6-3_ 158311_172215",1
"326","01b_TL_SPE123_6-3_ 190756_190980",1
"327","01b_TL_SPE123_6-3_ 190756_194262",1
"328","01b_TL_SPE123_6-3_ 52114_54657",1
"329","01b_TL_SPE123_6-3_ 60878_66729",1
"330","01b_TL_SPE123_6-3_ 70856_71098",1
"331","01b_TL_SPE123_6-3_ 75725_75922",1
"332","01b_TL_SPE123_6-3_ 99787_120246",1
"333","01b_TL_SPE123_7-1_ 15537_55282",1
"334","01b_TL_SPE123_8-1_ 11269_14005",1
"335","01b_TL_SPE123_8-1_ 11269_85268",1
"336","01b_TL_SPE123_8-1_ 113584_117367",1
"337","01b_TL_SPE123_8-1_ 122671_138030",1
"338","01b_TL_SPE123_8-1_ 122671_142682",1
"339","01b_TL_SPE123_8-1_ 123885_124173",1
"340","01b_TL_SPE123_8-1_ 123885_138030",1
"341","01b_TL_SPE123_8-1_ 136906_142682",1
"342","01b_TL_SPE123_8-1_ 142677_142682",1
"343","01b_TL_SPE123_8-1_ 181258_185162",1
"344","01b_TL_SPE123_8-1_ 188664_191380",1
"345","01c_AR_DM1005_ 148299_148315",1
"346","01c_AR_DM1005_ 161952_171262",1
"347","01c_AR_DM1005_ 27546_30656",1
"348","01c_AR_DM1005_ 27994_61289",1
"349","01c_AR_DM1015_ 1091_24505",1
"350","01c_AR_DM1015_ 141588_177318",1
"351","01c_AR_DM1015_ 141588_180608",1
"352","01c_AR_DM1015_ 153681_223569",1
"353","01c_AR_DM1015_ 185162_220268",1
"354","01c_AR_DM1015_ 203559_223569",1
"355","01c_AR_DM1015_ 207873_219489",1
"356","01c_AR_DM1015_ 223569_225176",1
"357","01c_AR_DM1015_ 242012_248594",1
"358","01c_AR_DM1015_ 246888_247796",1
"359","01c_AR_DM1050_ 178851_180659",1
"360","01c_AR_DM1050_ 182770_184932",1
"361","01c_AR_DM1056_ 100452_100459",1
"362","01c_AR_DM1056_ 101409_107332",1
"363","01c_AR_DM1056_ 153132_153257",1
"364","01c_AR_DM1056_ 154224_185563",1
"365","01c_AR_DM1056_ 177970_198259",1
"366","01c_AR_DM1056_ 199149_211047",1
"367","01c_AR_DM1056_ 67232_76853",1
"368","01c_AR_DM1088_ 202387_202448",1
"369","01c_AR_DM1088_ 202448_214066",1
"370","01c_AR_DM1088_ 27851_28025",1
"371","01c_AR_KB635_ 117631_117985",1
"372","01c_AR_KB635_ 122050_129105",1
"373","01c_AR_KB635_ 179350_185563",1
"374","01c_AR_KB635_ 185563_188651",1
"375","01c_AR_KB635_ 209407_221576",1
"376","01c_AR_KB652_ 138717_165624",1
"377","01c_AR_KB652_ 148902_175932",1
"378","01c_AR_KB652_ 197996_198074",1
"379","01c_AR_KB652_ 202002_205735",1
"380","01c_AR_KB652_ 222688_234504",1
"381","01c_AR_KB652_ 229676_234504",1
"382","01c_AR_KB652_ 246271_246307",1
"383","01c_AR_KB652_ 80205_90518",1
"384","01c_AR_KB652_ 82337_181107",1
"385","01c_AR_KB754_ 106424_111497",1
"386","01c_AR_KB754_ 146428_164816",1
"387","01c_AR_KB754_ 164816_165342",1
"388","01c_AR_KB754_ 210542_212485",1
"389","01c_AR_KB754_ 212463_212485",3
"390","01c_AR_KB819_ 158124_173188",1
"391","01c_AR_KB819_ 171244_181436",1
"392","01c_AR_KB819_ 183636_183661",1
"393","01c_AR_KB819_ 70716_73301",1
"394","01c_AR_KB819_ 82427_87729",3
"395","01c_AR_KB820_ 118123_145793",1
"396","01c_AR_KB820_ 190217_190222",1
"397","01c_AR_KB827_ 121462_139279",1
"398","01c_AR_KB827_ 130666_139553",1
"399","01c_AR_KB827_ 231908_246839",1
"400","01c_AR_KB827_ 232279_246839",1
"401","01c_AR_KB827_ 240576_246839",1
"402","01c_AR_KB827_ 27851_28025",1
"403","01c_AR_KB827_ 74144_77331",1
"404","01c_AR_KB827_ 88388_121462",1
"405","01c_AR_KB827_ 88388_139279",1
"406","01c_AR_KB945_ 115919_121358",1
"407","01c_AR_KB945_ 190580_191164",1
"408","01c_AR_KB945_ 196878_221485",1
"409","01c_AR_KB945_ 205127_235293",1
"410","01c_AR_KB945_ 205372_221485",1
"411","01c_AR_KB945_ 229132_234981",1
"412","01c_AR_KB945_ 229132_249550",1
"413","01c_AR_KB945_ 238079_246307",1
"414","01c_AR_KB945_ 75606_148235",1
"415","01c_AR_MSH126_ 116600_132986",1
"416","01c_AR_MSH126_ 117547_246214",1
"417","01c_AR_MSH126_ 140010_152201",1
"418","01c_AR_MSH126_ 140010_222059",1
"419","01c_AR_MSH126_ 158822_173922",1
"420","01c_AR_MSH126_ 178112_235629",1
"421","01c_AR_MSH126_ 218782_246402",1
"422","01c_AR_MSH126_ 222056_246402",1
"423","01c_AR_MSH126_ 244994_247340",2
"424","01c_AR_MSH126_ 37162_41776",1
"425","01c_AR_MSH126_ 66394_113551",1
"426","01c_AR_MSH51_ 162223_172773",1
"427","01c_AR_MSH51_ 162223_175712",1
"428","01c_AR_MSH51_ 207617_221371",1
"429","01c_AR_MSH51_ 27546_30656",1
"430","01c_AR_MSH51_ 27994_65676",1
"431","01c_AR_REF_ 132986_134796",2
"432","01c_AR_REF_ 143282_150317",1
"433","01c_AR_REF_ 163832_175499",1
"434","01c_AR_REF_ 180431_185333",1
"435","01c_AR_REF_ 190217_192965",1
"436","01c_AR_REF_ 28355_38125",1
"437","01c_AR_REF_ 87170_118124",1
"438","01c_AR_REF_ 87170_132986",1
"439","01c_CH_JR198_ 133614_133635",1
"440","01c_CH_JR198_ 154781_154784",1
"441","01c_CH_JR198_ 235064_244824",1
"442","01c_CH_JR198_ 70551_74222",1
"443","01c_CH_JR198_ 71676_72880",1
"444","01c_CH_JR198_ 71676_73325",1
"445","01c_CH_JR198_ 72880_218684",1
"446","01c_CH_JR198_ 98649_99862",1
"447","01c_CH_JR20_ 112079_114698",1
"448","01c_CH_JR20_ 114669_114698",1
"449","01c_CH_JR20_ 124195_127763",1
"450","01c_CH_JR20_ 57049_60957",1
"451","01c_CH_JR20_ 59570_60957",1
"452","01c_CH_JR20_ 67819_67835",1
"453","01c_CH_JR20_ 74714_114669",1
"454","01c_CH_JR272_ 113234_119432",1
"455","01c_CH_JR272_ 116986_148315",1
"456","01c_CH_JR272_ 131422_141689",1
"457","01c_CH_JR272_ 139553_141689",1
"458","01c_CH_JR272_ 195977_215849",1
"459","01c_CH_JR272_ 198124_201775",1
"460","01c_CH_JR272_ 198124_246190",1
"461","01c_CH_JR272_ 246188_246307",1
"462","01c_CH_JR272_ 246271_246307",1
"463","01c_CH_JR272_ 33494_46888",1
"464","01c_CH_JR272_ 42645_43186",1
"465","01c_CH_JR272_ 42645_43485",1
"466","01c_CH_JR272_ 50889_59788",2
"467","01c_CH_JR272_ 55884_59788",2
"468","01c_CH_JR272_ 97680_119432",1
"469","01c_CH_JR32_ 135934_135938",1
"470","01c_CH_JR32_ 173723_187250",1
"471","01c_CH_JR32_ 177773_187250",1
"472","01c_CH_JR32_ 177773_211235",1
"473","01c_CH_JR32_ 180361_180895",1
"474","01c_CH_JR32_ 211047_211235",1
"475","01c_CH_JR32_ 61186_74057",1
"476","01c_CH_JR356_ 130667_132315",1
"477","01c_CH_JR356_ 132305_132315",3
"478","01c_CH_JR356_ 32432_34820",1
"479","01c_CH_JR356_ 68347_68932",1
"480","01c_CH_JR356_ 68770_68932",3
"481","01c_CH_JR356_ 72915_72921",2
"482","01c_CH_JR377_ 219606_221644",1
"483","01c_CH_JR377_ 219606_225176",1
"484","01c_CH_JR377_ 221644_245962",1
"485","01c_CH_JR377_ 245926_247666",1
"486","01c_CH_JR377_ 245962_247666",1
"487","01c_CH_JR377_ 26834_30702",1
"488","01c_CH_JR377_ 26834_55594",1
"489","01c_CH_JR377_ 39306_55594",1
"490","01c_CH_JR377_ 80929_105184",1
"491","01c_CH_JR4_ 106861_106897",1
"492","01c_CH_JR4_ 190217_190222",2
"493","01c_CH_JR4_ 232276_232277",1
"494","01c_CH_JR4_ 244994_245252",1
"495","01c_CH_JR4_ 244994_247340",1
"496","01c_CH_JR4_ 81682_81690",1
"497","01c_CH_JR4_ 84383_94944",1
"498","01c_CH_KB888_ 150132_150411",2
"499","01c_CH_KB888_ 150153_150411",1
"500","01c_CH_KB888_ 229108_237187",1
"501","01c_CH_KB888_ 229108_240436",1
"502","01c_CH_KB888_ 229108_243891",1
"503","01c_CH_KB888_ 238150_240436",1
"504","01c_CH_KB888_ 34136_37195",1
"505","01c_CH_KB888_ 58421_62143",1
"506","01c_CH_MSH202_ 146428_158549",1
"507","01c_CH_MSH202_ 156978_158995",1
"508","01c_CH_MSH202_ 165324_165624",1
"509","01c_CH_MSH202_ 189173_190755",1
"510","01c_CH_MSH202_ 227429_237997",1
"511","01c_CH_MSH202_ 237515_237997",1
"512","01c_CH_MSH202_ 246888_247052",1
"513","01c_CH_MSH202_ 75211_227429",1
"514","01c_CH_MSH202_ 75211_75239",1
"515","01c_CH_MSH202_ 75211_75367",2
"516","01c_CH_MSH202_ 76332_76429",1
"517","01c_PP_BdA1134-13_ 174573_177842",1
"518","01c_PP_BdA1134-13_ 174573_184824",1
"519","01c_PP_BdA1134-13_ 177773_183456",1
"520","01c_PP_BdA1134-13_ 177773_184824",1
"521","01c_PP_BdA1134-13_ 177780_177785",1
"522","01c_PP_BdA1134-13_ 184600_184824",1
"523","01c_PP_BdA1134-13_ 184600_185083",1
"524","01c_PP_BdA1134-13_ 190755_195135",1
"525","01c_PP_BdA1134-13_ 198775_206305",1
"526","01c_PP_BdA1134-13_ 203941_228254",1
"527","01c_PP_BdA1134-13_ 211876_231908",1
"528","01c_PP_BdA1134-13_ 216853_231908",1
"529","01c_PP_BdA1134-13_ 221586_228254",1
"530","01c_PP_BdA1134-13_ 221586_231908",1
"531","01c_PP_BdA1134-13_ 233217_242955",1
"532","01c_PP_BdA1134-13_ 233217_246888",3
"533","01c_PP_BdA1134-13_ 233602_246888",1
"534","01c_PP_BdA1134-13_ 244509_246888",1
"535","01c_PP_BdA1134-13_ 26583_32432",1
"536","01c_PP_BdA1137-10_ 81690_82337",1
"537","01c_PP_DM1020_ 154781_156978",1
"538","01c_PP_DM1020_ 77565_82331",1
"539","01c_PP_DM1038_ 137263_137347",2
"540","01c_PP_DM1038_ 137263_169359",1
"541","01c_PP_DM1038_ 168625_175851",1
"542","01c_PP_DM1038_ 173236_175851",1
"543","01c_PP_DM1038_ 210968_211507",1
"544","01c_PP_DM1038_ 214325_214346",1
"545","01c_PP_DM1038_ 221371_221485",1
"546","01c_PP_DM1038_ 221371_221576",3
"547","01c_PP_DM1038_ 29600_59684",1
"548","01c_PP_DM1038_ 32161_44732",1
"549","01c_PP_DM1038_ 36547_61202",1
"550","01c_PP_DM1038_ 52772_66622",1
"551","01c_PP_DM1038_ 58902_59684",1
"552","01c_PP_DM1038_ 58902_61202",1
"553","01c_PP_DM1038_ 69777_69781",1
"554","01c_PP_DM1038_ 74148_74667",1
"555","01c_PP_DM1038_ 84383_91598",1
"556","01c_PP_DM1038_ 91401_91760",1
"557","01c_PP_DM1038_ 97790_98649",1
"558","01c_PP_DM1054_ 100960_101277",1
"559","01c_PP_DM1054_ 100960_101402",1
"560","01c_PP_DM1054_ 101197_101402",1
"561","01c_PP_DM1054_ 26433_28645",2
"562","01c_PP_DM1054_ 26433_39306",2
"563","01c_PP_DM1054_ 74780_75276",1
"564","01c_PP_DM1054_ 75276_79290",1
"565","01c_PP_DM1081_ 135501_135594",1
"566","01c_PP_DM1084_ 118123_118124",1
"567","01c_PP_DM1084_ 155222_155475",2
"568","01c_PP_DM1084_ 237281_237394",1
"569","01c_PP_DM1084_ 237281_246041",1
"570","01c_PP_DM1084_ 237941_246041",1
"571","01c_PP_DM1084_ 237997_249550",1
"572","01c_PP_DM1084_ 241970_247052",1
"573","01c_PP_DM1084_ 50889_53316",2
"574","01c_PP_DM1084_ 71773_74222",1
"575","01c_PP_DM1084_ 76332_76429",1
"576","01c_PP_JR83_ 112581_127763",1
"577","01c_PP_JR83_ 135865_175660",1
"578","01c_PP_JR83_ 144578_175660",1
"579","01c_PP_JR83_ 145755_146864",1
"580","01c_PP_JR83_ 145755_166740",1
"581","01c_PP_JR83_ 146864_198224",1
"582","01c_PP_JR83_ 175509_176767",1
