Transcript_ID,Ori,Exon,Pos_Beg,Pos_End
GA15847-RC ,-1,12,135152,135374
GA15847-RC ,-1,13,136424,136536
GA15847-RC ,-1,14,136592,136741
GA15847-RC ,-1,15,136819,137049
GA15847-RC ,-1,16,137127,137217
GA15847-RC ,-1,17,137284,137830
GA15847-RC ,-1,18,138740,138770
GA15847-RC ,-1,19,138849,138878
GA15847-RF ,-1,1,106732,106835
GA15847-RF ,-1,2,106969,107095
GA15847-RF ,-1,3,108716,109168
GA15847-RF ,-1,4,109249,109446
GA15847-RF ,-1,5,109507,109824
GA15847-RF ,-1,6,109886,110071
GA15847-RF ,-1,7,111741,111836
GA15847-RF ,-1,8,111961,112074
GA15847-RF ,-1,9,127990,128130
GA15847-RG ,-1,1,106732,106835
GA15847-RG ,-1,2,106969,107095
GA15847-RG ,-1,3,108716,109168
GA15847-RG ,-1,4,109249,109446
GA15847-RG ,-1,5,109507,109824
GA15847-RG ,-1,6,109886,110071
GA15847-RG ,-1,7,111741,111836
GA15847-RG ,-1,8,111961,112074
GA15847-RG ,-1,9,127990,128160
GA15847-RG ,-1,10,134503,134712
GA15847-RG ,-1,11,134776,135084
GA15847-RG ,-1,12,135152,135272
GA15847-RG ,-1,13,136424,136536
GA15847-RG ,-1,14,136592,136741
GA15847-RG ,-1,15,136819,137049
GA15847-RG ,-1,16,137127,137217
GA15847-RG ,-1,17,137284,137830
GA15847-RG ,-1,18,142764,142998
GA15847-RB ,-1,1,107909,108004
GA15847-RB ,-1,2,108716,109168
GA15847-RB ,-1,3,109249,109446
GA15847-RB ,-1,4,109507,109824
GA15847-RB ,-1,5,109886,110071
GA15847-RB ,-1,6,111741,111836
GA15847-RB ,-1,7,111961,112074
GA15847-RB ,-1,8,127990,128160
GA15847-RB ,-1,9,134503,134712
GA15847-RB ,-1,10,134776,135084
GA15847-RB ,-1,11,135152,135374
GA15847-RB ,-1,12,136424,136536
GA15847-RB ,-1,13,136592,136741
GA15847-RB ,-1,14,136819,137049
GA15847-RB ,-1,15,137127,137217
GA15847-RB ,-1,16,137284,137830
GA15847-RB ,-1,17,142764,142998
GA15847-RD ,-1,1,117961,118002
GA15847-RD ,-1,2,127990,128160
GA15847-RD ,-1,3,134503,134712
GA15847-RD ,-1,4,134776,135084
GA15847-RD ,-1,5,135152,135374
GA15847-RD ,-1,6,136424,136536
GA15847-RD ,-1,7,136592,136741
GA15847-RD ,-1,8,136819,137049
GA15847-RD ,-1,9,137127,137217
GA15847-RD ,-1,10,137284,137830
GA15847-RD ,-1,11,142764,142998
GA15847-RH ,-1,1,118044,118058
GA15847-RH ,-1,2,127990,128160
GA15847-RH ,-1,3,134503,134712
GA15847-RH ,-1,4,134776,135084
GA15847-RH ,-1,5,135152,135374
GA15847-RH ,-1,6,136424,136536
GA15847-RH ,-1,7,136592,136741
GA15847-RH ,-1,8,136819,137049
GA15847-RH ,-1,9,137127,137217
GA15847-RH ,-1,10,137284,137830
GA15847-RH ,-1,11,142764,142998
GA24592-RA ,1,1,122030,122287
GA24592-RA ,1,2,122347,122503
GA24592-RA ,1,3,122558,122808
GA24592-RA ,1,4,122868,123006
GA24592-RA ,1,5,123105,123724
GA24592-RA ,1,6,123777,123891
GA24592-RA ,1,7,123951,124354
GA24593-RA ,1,1,144388,145124
GA24593-RA ,1,2,145182,145272
GA24594-RA ,1,1,146848,146861
GA24594-RA ,1,2,156039,156121
GA24594-RA ,1,3,156284,156341
GA24594-RA ,1,4,157085,157268
GA24594-RA ,1,5,159073,159369
GA24594-RA ,1,6,159428,160215
GA24594-RA ,1,7,160293,160461
GA24594-RB ,1,1,156043,156121
GA24594-RB ,1,2,156284,156341
GA24594-RB ,1,3,157085,157268
GA24594-RB ,1,4,159073,159369
GA24594-RB ,1,5,159428,160215
GA24594-RB ,1,6,160293,160461
GA24586-RB ,-1,1,164137,164335
GA24586-RB ,-1,2,164397,165008
GA24586-RB ,-1,3,165269,165294
GA10737-RA ,1,1,199040,199372
GA10737-RA ,1,2,202577,202765
GA10737-RA ,1,3,208233,208987
GA10737-RA ,1,4,209058,209210
GA10737-RA ,1,5,209274,209542
GA10737-RA ,1,6,209602,209894
GA14468-RA ,1,1,230514,230551
GA14468-RA ,1,2,231019,231787
GA14468-RA ,1,3,231851,231918
GA14468-RA ,1,4,231982,232246
GA14468-RA ,1,5,232312,232563
GA14468-RA ,1,6,232621,232665
GA14932-RA ,1,1,239270,239478
GA14932-RA ,1,2,241011,241359
GA14578-RB ,1,1,239875,240612
GA18965-RB ,-1,1,243333,243773
GA18965-RB ,-1,2,244015,244189
GA18965-RB ,-1,3,244257,244418
GA18965-RB ,-1,4,244726,244877
GA10816-RA ,1,1,245761,246022
GA10816-RA ,1,2,246095,246675
GA18393-RA ,1,1,247801,247856
GA18393-RA ,1,2,247925,248675
GA18393-RA ,1,3,248746,249264
GA24584-RB ,-1,1,249642,249989
GA24584-RB ,-1,2,250064,250084
GA18963-RB ,-1,1,257477,257890
GA18963-RB ,-1,2,257949,258158
GA18963-RB ,-1,3,258224,258590
GA18963-RB ,-1,4,258645,258748
GA18963-RB ,-1,5,258805,259072
GA18963-RB ,-1,6,259136,259289
GA18963-RB ,-1,7,264751,265029
GA18963-RB ,-1,8,265390,265609
GA11789-RA ,1,1,289508,289516
GA11789-RA ,1,2,289581,289667
GA11789-RA ,1,3,289733,290044
GA18958-RA ,-1,1,290139,292073
GA18454-RA ,1,1,292622,292675
GA18454-RA ,1,2,292744,294321
GA18454-RA ,1,3,294378,294929
GA12362-RB ,1,1,295202,295258
GA12362-RB ,1,2,295317,295472
GA12362-RB ,1,3,296931,297095
GA12362-RB ,1,4,297183,297338
GA18956-RB ,-1,1,295768,296634
GA24601-RD ,1,1,310959,311027
GA24601-RD ,1,2,317508,317948
GA24601-RD ,1,3,326373,326468
GA24601-RD ,1,4,337359,337488
GA24601-RD ,1,5,338090,338364
GA24601-RD ,1,6,339219,339323
GA24601-RD ,1,7,345720,345862
GA24601-RD ,1,8,346051,346103
GA24601-RD ,1,9,348358,348484
GA24601-RD ,1,10,348839,349003
GA24601-RD ,1,11,349077,349308
GA24601-RD ,1,12,349392,349471
GA24601-RD ,1,13,349685,350496
GA24601-RD ,1,14,352561,352589
GA24601-RC ,1,1,310959,311027
GA24601-RC ,1,2,317508,317948
GA24601-RC ,1,3,326373,326468
GA24601-RC ,1,4,337359,337488
GA24601-RC ,1,5,338090,338364
GA24601-RC ,1,6,339219,339323
GA24601-RC ,1,7,345720,345862
GA24601-RC ,1,8,346964,347019
GA24601-RC ,1,9,348358,348484
GA24601-RC ,1,10,348839,349003
GA24601-RC ,1,11,349077,349308
GA24601-RC ,1,12,349392,349471
GA24601-RC ,1,13,352561,352567
GA24583-RA ,-1,1,356609,356874
GA24583-RA ,-1,2,356970,357045
GA21334-RA ,1,1,357936,358250
GA21334-RA ,1,2,358309,358704
GA21216-RA ,1,1,361338,361385
GA21216-RA ,1,2,361492,361736
GA21216-RA ,1,3,361799,362053
GA21216-RA ,1,4,362114,364229
GA21216-RA ,1,5,364298,364458
GA21216-RA ,1,6,364529,364811
GA21321-RA ,-1,1,365536,366496
GA21321-RA ,-1,2,366568,366689
GA21321-RA ,-1,3,367463,367697
GA21321-RA ,-1,4,367773,367888
GA21314-RA ,-1,1,376406,376983
GA21314-RA ,-1,2,377042,377360
GA21223-RB ,1,1,377886,378696
GA21223-RB ,1,2,378771,378897
GA21223-RB ,1,3,378955,379361
GA21223-RB ,1,4,379429,379757
GA21223-RB ,1,5,379821,379895
GA21223-RB ,1,6,379955,380068
GA21223-RB ,1,7,380133,380177
GA21235-RC ,1,1,384453,384605
GA21235-RC ,1,2,384667,384826
GA21235-RC ,1,3,384889,384976
GA21235-RC ,1,4,385041,385432
GA21235-RC ,1,5,385506,386256
GA21235-RC ,1,6,386318,386507
GA21235-RB ,1,1,384498,384605
GA21235-RB ,1,2,384667,384826
GA21235-RB ,1,3,384889,384976
GA21235-RB ,1,4,385041,385432
GA21235-RB ,1,5,385506,386256
GA21235-RB ,1,6,386318,386507
GA30787-RA ,1,1,388945,389142
GA24602-RA ,1,1,389126,389524
GA24581-RA ,-1,1,389596,389771
GA24581-RA ,-1,2,389824,390793
GA11585-RA ,1,1,391395,391619
GA11585-RA ,1,2,397467,397636
GA11585-RA ,1,3,399265,400021
GA21385-RB ,-1,1,392314,392832
GA21385-RB ,-1,2,392894,394932
GA21385-RB ,-1,3,394991,395146
GA21385-RB ,-1,4,395220,395616
GA21385-RA ,-1,1,392314,392829
GA21385-RA ,-1,2,392894,394932
GA21385-RA ,-1,3,394991,395146
GA21385-RA ,-1,4,395220,395616
GA21054-RA ,1,1,400895,400963
GA21054-RA ,1,2,401036,401119
GA21054-RA ,1,3,401179,401343
GA21384-RA ,-1,1,401714,403042
GA21384-RA ,-1,2,403116,404731
GA21384-RA ,-1,3,404798,405089
GA21384-RA ,-1,4,405161,405337
GA21384-RA ,-1,5,405398,405548
GA21384-RA ,-1,6,405615,406188
GA21384-RA ,-1,7,406440,406632
GA21384-RA ,-1,8,406696,407747
GA21384-RA ,-1,9,407831,408048
GA21384-RA ,-1,10,408228,408647
GA21384-RA ,-1,11,408960,409085
GA21384-RA ,-1,12,409147,409359
GA21384-RA ,-1,13,409431,409646
GA21384-RA ,-1,14,409710,410326
GA24603-RA ,1,1,413338,413346
GA24603-RA ,1,2,413419,413481
GA24603-RA ,1,3,413553,413738
GA24580-RA ,-1,1,414228,414611
GA24580-RA ,-1,2,414759,414770
GA24579-RB ,-1,1,416682,417208
GA24579-RB ,-1,2,417274,417480
GA24579-RB ,-1,3,419559,419599
GA24604-RA ,1,1,418051,418369
GA24604-RA ,1,2,418444,418577
GA24605-RA ,1,1,426449,427363
GA21078-RA ,-1,1,427599,428137
GA21078-RA ,-1,2,428199,429180
GA21078-RA ,-1,3,429636,429743
GA13220-RB ,-1,1,439877,440219
GA13220-RB ,-1,2,440293,440476
GA13220-RB ,-1,3,440865,441070
GA13220-RB ,-1,4,441133,441280
GA13220-RB ,-1,5,441343,441660
GA13220-RB ,-1,6,441723,442061
GA13220-RB ,-1,7,442139,443383
GA13220-RB ,-1,8,446471,446554
GA13220-RB ,-1,9,446621,447633
GA13220-RB ,-1,10,447731,447866
GA13220-RB ,-1,11,448991,449123
GA13220-RA ,-1,1,439877,440219
GA13220-RA ,-1,2,440293,440476
GA13220-RA ,-1,3,440865,441070
GA13220-RA ,-1,4,441133,441280
GA13220-RA ,-1,5,441343,441660
GA13220-RA ,-1,6,441723,442061
GA13220-RA ,-1,7,442139,443383
GA13220-RA ,-1,8,443874,444039
GA13224-RA ,1,1,454786,454806
GA13224-RA ,1,2,455054,455115
GA13224-RA ,1,3,455580,455835
GA24576-RA ,-1,1,456556,457047
GA24576-RA ,-1,2,457115,457129
GA21290-RA ,-1,1,459479,459729
GA21290-RA ,-1,2,459787,459966
GA21290-RA ,-1,3,460032,460407
GA21290-RA ,-1,4,460473,460605
GA21290-RA ,-1,5,460680,460909
GA21290-RA ,-1,6,460981,461007
GA20808-RC ,1,1,462892,463089
GA20808-RC ,1,2,463145,463256
GA20808-RC ,1,3,465500,465636
GA20808-RC ,1,4,465807,465902
GA20808-RC ,1,5,466117,466525
GA20808-RC ,1,6,466631,467116
GA20808-RC ,1,7,467205,467328
GA20808-RC ,1,8,467402,467507
GA20808-RC ,1,9,467582,467743
GA20808-RB ,1,1,462892,463089
GA20808-RB ,1,2,463145,463256
GA20808-RB ,1,3,465500,465636
GA20808-RB ,1,4,465807,465902
GA20808-RB ,1,5,465973,466054
GA20808-RB ,1,6,466631,467116
GA20808-RB ,1,7,467205,467328
GA20808-RB ,1,8,467402,467507
GA20808-RB ,1,9,467582,467743
GA20820-RA ,-1,1,463291,464655
GA20808-RD ,1,1,465154,465178
GA20808-RD ,1,2,465500,465636
GA20808-RD ,1,3,465807,465902
GA20808-RD ,1,4,466117,466525
GA20808-RD ,1,5,466631,467116
GA20808-RD ,1,6,467205,467328
GA20808-RD ,1,7,467402,467507
GA20808-RD ,1,8,467582,467743
GA24574-RA ,-1,1,468405,468518
GA24574-RA ,-1,2,468582,468700
GA24574-RA ,-1,3,472986,473216
GA24574-RA ,-1,4,474447,474585
GA24574-RA ,-1,5,474716,475836
GA24574-RA ,-1,6,476917,477102
GA24574-RA ,-1,7,477703,478267
GA24574-RC ,-1,1,468405,468518
GA24574-RC ,-1,2,468582,468700
GA24574-RC ,-1,3,472986,473216
GA24574-RC ,-1,4,474447,474585
GA24574-RC ,-1,5,474716,475836
GA24574-RC ,-1,6,500686,500871
GA24574-RC ,-1,7,501475,502039
GA24574-RB ,-1,1,468405,468518
GA24574-RB ,-1,2,468582,468700
GA24574-RB ,-1,3,472986,473216
GA24574-RB ,-1,4,474447,474585
GA24574-RB ,-1,5,474716,475836
GA24574-RB ,-1,6,476917,477102
GA24574-RB ,-1,7,477703,478189
GA24574-RD ,-1,1,468405,468518
GA24574-RD ,-1,2,468582,468700
GA24574-RD ,-1,3,472986,473216
GA24574-RD ,-1,4,474447,474582
GA24574-RD ,-1,5,474716,475836
GA24574-RD ,-1,6,476917,477102
GA24574-RD ,-1,7,477703,478267
GA24606-RA ,1,1,523965,524121
GA24606-RA ,1,2,524725,524910
GA24606-RA ,1,3,527478,527494
GA24606-RB ,1,1,523965,524121
GA24606-RB ,1,2,524725,524910
GA24606-RB ,1,3,527182,527186
GA20821-RC ,1,1,534180,534403
GA20821-RC ,1,2,538101,539085
GA20821-RC ,1,3,539190,539292
GA20821-RC ,1,4,539357,539941
GA20821-RC ,1,5,540006,540135
GA20821-RC ,1,6,540195,540557
GA20821-RC ,1,7,540620,541508
GA20821-RC ,1,8,541574,541678
GA20821-RB ,1,1,537100,537293
GA20821-RB ,1,2,538101,539085
GA20821-RB ,1,3,539190,539292
GA20821-RB ,1,4,539357,539941
GA20821-RB ,1,5,540006,540135
GA20821-RB ,1,6,540195,540557
GA20821-RB ,1,7,540620,541508
GA20821-RB ,1,8,541574,541678
GA15628-RO ,-1,1,543585,544667
GA15628-RO ,-1,2,544741,544898
GA15628-RO ,-1,3,545156,545293
GA15628-RO ,-1,4,545537,545746
GA15628-RO ,-1,5,545931,546315
GA15628-RO ,-1,6,546380,546655
GA15628-RO ,-1,7,546919,547151
GA15628-RO ,-1,8,547563,547686
GA15628-RO ,-1,9,547768,547889
GA15628-RO ,-1,10,547952,548051
GA15628-RO ,-1,11,549476,549802
GA15628-RO ,-1,12,550465,550610
GA15628-RO ,-1,13,550674,550864
GA15628-RO ,-1,14,551079,551236
GA15628-RO ,-1,15,551371,551520
GA15628-RO ,-1,16,552101,552139
GA15628-RO ,-1,17,552523,552579
GA15628-RO ,-1,18,553375,553437
GA15628-RO ,-1,19,554525,554599
GA15628-RO ,-1,20,554881,555033
GA15628-RO ,-1,21,555098,555309
GA15628-RO ,-1,22,555373,555562
GA15628-RO ,-1,23,555622,555814
GA15628-RO ,-1,24,558039,558140
GA15628-RO ,-1,25,558236,558392
GA15628-RO ,-1,26,558476,558662
GA15628-RO ,-1,27,559331,559478
GA15628-RO ,-1,28,559922,560078
GA15628-RO ,-1,29,560385,560521
GA15628-RO ,-1,30,560631,560790
GA15628-RO ,-1,31,561385,561457
GA15628-RO ,-1,32,561607,561747
GA15628-RO ,-1,33,561830,561992
GA15628-RO ,-1,34,562658,562740
GA15628-RO ,-1,35,563789,564121
GA15628-RS ,-1,1,543585,544667
GA15628-RS ,-1,2,544741,544898
GA15628-RS ,-1,3,545156,545293
GA15628-RS ,-1,4,545537,545746
GA15628-RS ,-1,5,545931,546315
GA15628-RS ,-1,6,546380,546655
GA15628-RS ,-1,7,546919,547151
GA15628-RS ,-1,8,547563,547686
GA15628-RS ,-1,9,547768,547889
GA15628-RS ,-1,10,547952,548051
GA15628-RS ,-1,11,549476,549802
GA15628-RS ,-1,12,550465,550610
GA15628-RS ,-1,13,550674,550864
GA15628-RS ,-1,14,551079,551236
GA15628-RS ,-1,15,551371,551520
GA15628-RS ,-1,16,552101,552139
GA15628-RS ,-1,17,552523,552579
GA15628-RS ,-1,18,553375,553437
GA15628-RS ,-1,19,554525,554599
GA15628-RS ,-1,20,554881,555033
GA15628-RS ,-1,21,555098,555309
GA15628-RS ,-1,22,555373,555562
GA15628-RS ,-1,23,555622,555814
GA15628-RS ,-1,24,558039,558140
GA15628-RS ,-1,25,558236,558392
GA15628-RS ,-1,26,558476,558662
GA15628-RS ,-1,27,559331,559478
GA15628-RS ,-1,28,559922,560078
GA15628-RS ,-1,29,560385,560521
GA15628-RS ,-1,30,560631,560790
GA15628-RS ,-1,31,561385,561457
GA15628-RS ,-1,32,561607,561747
GA15628-RS ,-1,33,561830,561992
GA15628-RS ,-1,34,562658,562740
GA15628-RS ,-1,35,563789,564121
GA15628-RB ,-1,1,543585,544667
GA15628-RB ,-1,2,544741,544898
GA15628-RB ,-1,3,545156,545293
GA15628-RB ,-1,4,545537,545746
GA15628-RB ,-1,5,545931,546315
GA15628-RB ,-1,6,546380,546655
GA15628-RB ,-1,7,546919,547151
GA15628-RB ,-1,8,547563,547686
GA15628-RB ,-1,9,547768,547889
GA15628-RB ,-1,10,547952,548051
GA15628-RB ,-1,11,549476,549802
GA15628-RB ,-1,12,550465,550610
GA15628-RB ,-1,13,550674,550864
GA15628-RB ,-1,14,551079,551236
GA15628-RB ,-1,15,551371,551520
GA15628-RB ,-1,16,552101,552139
GA15628-RB ,-1,17,552523,552579
GA15628-RB ,-1,18,554881,555033
GA15628-RB ,-1,19,555098,555309
GA15628-RB ,-1,20,555373,555562
GA15628-RB ,-1,21,555622,555814
GA15628-RB ,-1,22,558039,558140
GA15628-RB ,-1,23,558236,558392
GA15628-RB ,-1,24,558476,558662
GA15628-RB ,-1,25,559331,559478
GA15628-RB ,-1,26,559922,560078
GA15628-RB ,-1,27,560385,560521
GA15628-RB ,-1,28,560631,560790
GA15628-RB ,-1,29,561385,561457
GA15628-RB ,-1,30,561607,561747
GA15628-RB ,-1,31,561830,561992
GA15628-RB ,-1,32,562658,562740
GA15628-RB ,-1,33,563789,564121
GA15628-RC ,-1,1,543585,544667
GA15628-RC ,-1,2,544741,544898
GA15628-RC ,-1,3,545156,545293
GA15628-RC ,-1,4,545537,545746
GA15628-RC ,-1,5,545931,546315
GA15628-RC ,-1,6,546380,546655
GA15628-RC ,-1,7,546919,547151
GA15628-RC ,-1,8,547563,547686
GA15628-RC ,-1,9,547768,547889
GA15628-RC ,-1,10,547952,548051
GA15628-RC ,-1,11,549476,549802
GA15628-RC ,-1,12,550465,550610
GA15628-RC ,-1,13,550674,550864
GA15628-RC ,-1,14,551079,551236
GA15628-RC ,-1,15,551371,551520
GA15628-RC ,-1,16,554525,554599
GA15628-RC ,-1,17,554881,555033
GA15628-RC ,-1,18,555098,555309
GA15628-RC ,-1,19,555373,555562
GA15628-RC ,-1,20,555622,555814
GA15628-RC ,-1,21,558039,558140
GA15628-RC ,-1,22,558236,558392
GA15628-RC ,-1,23,558476,558662
GA15628-RC ,-1,24,559331,559478
GA15628-RC ,-1,25,559922,560078
GA15628-RC ,-1,26,560385,560521
GA15628-RC ,-1,27,560631,560790
GA15628-RC ,-1,28,561385,561457
GA15628-RC ,-1,29,561607,561747
GA15628-RC ,-1,30,561830,561992
GA15628-RC ,-1,31,562658,562740
GA15628-RC ,-1,32,563789,564121
GA15628-RD ,-1,1,543585,544667
GA15628-RD ,-1,2,544741,544898
GA15628-RD ,-1,3,545156,545293
GA15628-RD ,-1,4,545537,545746
GA15628-RD ,-1,5,545931,546315
GA15628-RD ,-1,6,546380,546655
GA15628-RD ,-1,7,546919,547151
GA15628-RD ,-1,8,547563,547686
GA15628-RD ,-1,9,547768,547889
GA15628-RD ,-1,10,547952,548051
GA15628-RD ,-1,11,550465,550610
GA15628-RD ,-1,12,550674,550864
GA15628-RD ,-1,13,551079,551236
GA15628-RD ,-1,14,551371,551520
GA15628-RD ,-1,15,552101,552139
GA15628-RD ,-1,16,552523,552579
GA15628-RD ,-1,17,553375,553437
GA15628-RD ,-1,18,554525,554599
GA15628-RD ,-1,19,554881,555033
GA15628-RD ,-1,20,555098,555309
GA15628-RD ,-1,21,555373,555562
GA15628-RD ,-1,22,555622,555814
GA15628-RD ,-1,23,558039,558140
GA15628-RD ,-1,24,558236,558392
GA15628-RD ,-1,25,558476,558662
GA15628-RD ,-1,26,559331,559478
GA15628-RD ,-1,27,559922,560078
GA15628-RD ,-1,28,560385,560521
GA15628-RD ,-1,29,560631,560790
GA15628-RD ,-1,30,561385,561457
GA15628-RD ,-1,31,561607,561747
GA15628-RD ,-1,32,561830,561992
GA15628-RD ,-1,33,562658,562740
GA15628-RD ,-1,34,563789,564121
GA15628-RE ,-1,1,543585,544667
GA15628-RE ,-1,2,544741,544898
GA15628-RE ,-1,3,545156,545293
GA15628-RE ,-1,4,545537,545746
GA15628-RE ,-1,5,545931,546315
GA15628-RE ,-1,6,546380,546655
GA15628-RE ,-1,7,546919,547151
GA15628-RE ,-1,8,547563,547686
GA15628-RE ,-1,9,547768,547889
GA15628-RE ,-1,10,547952,548051
GA15628-RE ,-1,11,549476,549802
GA15628-RE ,-1,12,550465,550610
GA15628-RE ,-1,13,550674,550864
GA15628-RE ,-1,14,551079,551236
GA15628-RE ,-1,15,551371,551520
GA15628-RE ,-1,16,554881,555033
GA15628-RE ,-1,17,555098,555309
GA15628-RE ,-1,18,555373,555562
GA15628-RE ,-1,19,555622,555814
GA15628-RE ,-1,20,558039,558140
GA15628-RE ,-1,21,558236,558392
GA15628-RE ,-1,22,558476,558662
GA15628-RE ,-1,23,559331,559478
GA15628-RE ,-1,24,559922,560078
GA15628-RE ,-1,25,560385,560521
GA15628-RE ,-1,26,560631,560790
GA15628-RE ,-1,27,561385,561457
GA15628-RE ,-1,28,561607,561747
GA15628-RE ,-1,29,561830,561992
GA15628-RE ,-1,30,562658,562740
GA15628-RE ,-1,31,563789,564121
GA15628-RF ,-1,1,543585,544667
GA15628-RF ,-1,2,544741,544898
GA15628-RF ,-1,3,545156,545293
GA15628-RF ,-1,4,545537,545746
GA15628-RF ,-1,5,545931,546315
GA15628-RF ,-1,6,546380,546655
GA15628-RF ,-1,7,546919,547151
GA15628-RF ,-1,8,547563,547686
GA15628-RF ,-1,9,547768,547889
GA15628-RF ,-1,10,547952,548051
GA15628-RF ,-1,11,549476,549802
GA15628-RF ,-1,12,550465,550610
GA15628-RF ,-1,13,550674,550864
GA15628-RF ,-1,14,551079,551236
GA15628-RF ,-1,15,551371,551520
GA15628-RF ,-1,16,552101,552139
GA15628-RF ,-1,17,552523,552579
GA15628-RF ,-1,18,553375,553437
GA15628-RF ,-1,19,554881,555033
GA15628-RF ,-1,20,555098,555309
GA15628-RF ,-1,21,555373,555562
GA15628-RF ,-1,22,555622,555814
GA15628-RF ,-1,23,558039,558140
GA15628-RF ,-1,24,558236,558392
GA15628-RF ,-1,25,558476,558662
GA15628-RF ,-1,26,559331,559478
GA15628-RF ,-1,27,559922,560078
GA15628-RF ,-1,28,560385,560521
GA15628-RF ,-1,29,560631,560790
GA15628-RF ,-1,30,561385,561457
GA15628-RF ,-1,31,561607,561747
GA15628-RF ,-1,32,561830,561992
GA15628-RF ,-1,33,562658,562740
GA15628-RF ,-1,34,563789,564121
GA15628-RG ,-1,1,543585,544667
GA15628-RG ,-1,2,544741,544898
GA15628-RG ,-1,3,545156,545293
GA15628-RG ,-1,4,545537,545746
GA15628-RG ,-1,5,545931,546315
GA15628-RG ,-1,6,546380,546655
GA15628-RG ,-1,7,546919,547151
GA15628-RG ,-1,8,547563,547686
GA15628-RG ,-1,9,547768,547889
GA15628-RG ,-1,10,547952,548051
GA15628-RG ,-1,11,549476,549802
GA15628-RG ,-1,12,550465,550610
GA15628-RG ,-1,13,550674,550864
GA15628-RG ,-1,14,551079,551236
GA15628-RG ,-1,15,551371,551520
GA15628-RG ,-1,16,552101,552139
GA15628-RG ,-1,17,552523,552579
GA15628-RG ,-1,18,553375,553437
GA15628-RG ,-1,19,554525,554599
GA15628-RG ,-1,20,554881,555033
GA15628-RG ,-1,21,555098,555309
GA15628-RG ,-1,22,555373,555562
GA15628-RG ,-1,23,555622,555814
GA15628-RG ,-1,24,558039,558140
GA15628-RG ,-1,25,558236,558392
GA15628-RG ,-1,26,558476,558662
GA15628-RG ,-1,27,559331,559478
GA15628-RG ,-1,28,559922,560078
GA15628-RG ,-1,29,560385,560521
GA15628-RG ,-1,30,560631,560790
GA15628-RG ,-1,31,561385,561457
GA15628-RG ,-1,32,561607,561747
GA15628-RG ,-1,33,561830,561992
GA15628-RG ,-1,34,562059,562090
GA15628-RH ,-1,1,543585,544667
GA15628-RH ,-1,2,544741,544898
GA15628-RH ,-1,3,545537,545746
GA15628-RH ,-1,4,545931,546315
GA15628-RH ,-1,5,546380,546655
GA15628-RH ,-1,6,546919,547151
GA15628-RH ,-1,7,547563,547686
